DateTime,AddedIPs,RemovedIPs
1478267224,857,484
1478267293,158,101
1478281663,201,102
1478347232,98,115
1478356740,568,383
1478358548,141,67
1478433632,217,268
1478520033,87,174
1478531248,553,573
1478555294,114,91
1478606433,122,100
1478617803,237,359
1478648618,248,230
1478692832,120,126
1478699272,672,474
1478699511,110,70
1478737748,136,130
1478779247,136,126
1478779999,468,465
1478807799,1024,0
1478865632,265,234
1478878849,712,663
1478891204,651,386
1478952033,119,111
1479038439,306,221
1479124844,110,83
1479145364,453,187
1479211247,764,553
1479226718,289,549
1479234019,485,200
1479297636,207,90
1479313256,473,460
1479314539,97,225
1479370917,190,109
1479384033,139,91
1479396540,320,288
1479397060,203,139
1479417629,6144,0
1479423045,269,137
1479470448,118,123
1479474200,284,259
1479479325,143,157
1479486868,341,414
1479556833,117,114
1479602104,644,456
1479643233,152,134
1479650846,285,244
1479660652,90,93
1479675797,200,104
1479729634,149,108
1479733351,244,241
1479746116,76,173
1479753989,212,121
1479816038,125,119
1479818121,314,258
1479831359,444,292
1479835114,205,39
1479853237,16383,0
1479902434,110,113
1479920000,495,369
1479942078,433,264
1479988833,135,109
1479989392,261,255
1480008944,108,105
1480009434,268,229
1480075233,120,132
1480092495,412,98
1480093283,132,157
1480161633,407,437
1480174736,201,112
1480177955,381,250
1480248033,81,136
1480259205,113,95
1480261692,65,145
1480264342,186,295
1480288837,4093,0
1480334433,108,140
1480347485,506,366
1480347953,291,372
1480420833,441,168
1480425669,149,192
1480434954,471,432
1480438207,181,164
1480507233,148,157
1480521450,551,445
1480588386,355,257
1480593633,213,163
1480607083,274,210
1480617692,1416,546
1480680033,142,132
1480693300,222,408
1480695774,135,95
1480766433,284,317
1480795948,393,236
1480852834,134,125
1480869097,369,323
1480872825,186,50
1480939234,416,323
1480946644,330,346
1481025634,285,306
1481062591,466,254
1481113835,154,87
1481128655,696,419
1481147160,308,309
1481162314,124,144
1481200235,134,123
1481207195,91,225
1481218777,271,271
1481248140,1023,0
1481286637,282,273
1481293399,217,155
1481300706,289,223
1481373036,156,135
1481402274,530,777
1481450214,339,199
1481459434,167,209
1481472218,732,116
1481545840,161,133
1481586324,421,455
1481632238,116,122
1481661119,311,281
1481664262,356,230
1481718636,116,139
1481736580,455,215
1481742235,406,257
1481805038,224,362
1481825935,422,177
1481891435,95,150
1481903777,272,131
1481912719,527,416
1481967649,123,114
1481977838,128,158
1481996874,293,327
1482032170,16375,0
1482064239,117,126
1482071567,156,191
1482073067,345,100
1482150636,316,259
1482192678,549,416
1482237036,117,156
1482243764,154,167
1482249137,95,95
1482277383,277,251
