DateTime,AddedIPs,RemovedIPs
1491331709,18,5
1491333623,25,18
1491337550,24,22
1491340651,18,16
1491342552,25,16
1491344695,15,19
1491347379,377,0
1491349509,21,37
1491351654,13,39
1491353561,8,11
1491355469,10,7
1491357392,13,7
1491359312,8,8
1491361334,31,25
1491363167,47,16
1491365070,32,19
1491366995,12,18
1491368915,18,26
1491370822,13,19
1491372760,42,15
1491376608,33,20
1491378519,11,7
1491380429,14,15
1491382598,19,13
1491384518,9,7
1491386518,10,9
1491388361,19,1211
1491390527,402,0
1491394360,29,18
1491396264,22,14
1491398213,19,11
1491400118,20,14
1491402035,47,51
1491403945,39,49
1491405854,41,18
1491407786,49,11
1491409724,38,17
1491411722,15,18
1491413567,17,9
1491415472,29,23
1491419298,31,29
1491421220,16,9
1491423151,14,18
1491425066,10,10
1491427004,11,15
1491428926,10,14
1491430828,13,11
1491432767,4,20
1491434653,381,0
1491436607,11,7
1491438505,6,7
1491440524,9,13
1491442360,10,11
1491444273,6,11
1491446199,10,95
1491448130,9,17
1491450026,8,8
1491451953,14,18
1491453862,2,17
1491455810,11,11
1491457711,11,14
1491459631,10,7
1491461538,5,14
1491463456,18,14
1491465391,20,11
1491467351,35,14
1491469337,34,9
1491471157,78,18
1491473078,46,11
1491475003,67,904
1491476936,439,0
1491478859,42,24
1491480757,13,13
1491482683,21,7
1491484608,18,13
1491486528,18,19
1491488433,23,15
1491490358,27,28
1491492257,34,46
1491494188,49,28
1491496125,15,17
1491498129,10,11
1491499962,25,30
1491501881,11,30
1491503803,14,21
1491505733,14,12
1491507636,15,13
1491509584,10,13
1491511452,10,12
1491513403,7,12
1491515326,11,14
1491517222,11,19
1491519143,34,17
1491521073,441,0
1491522993,50,17
1491524914,61,15
1491526916,57,2
1491528771,62,16
1491530678,40,13
1491532595,19,10
1491534534,19,65
1491536450,8,25
1491538358,6,22
1491540274,8,18
1491542184,15,11
1491544106,92,15
1491546047,8,22
1491547965,37,27
1491549869,34,9
1491551799,23,11
1491553717,11,14
1491555740,7,9
1491557560,11,14
1491559727,18,974
1491561650,19,17
1491563573,447,0
1491565462,21,19
1491567403,14,8
1491569311,17,4
1491571270,21,13
1491573159,15,10
1491575057,18,10
1491576975,22,7
1491578915,23,11
1491580914,23,9
1491582763,14,10
1491584675,45,9
1491586598,5,8
1491588534,18,13
1491590440,19,11
1491592344,21,14
1491594256,9,26
1491596189,13,28
1491598103,23,53
1491600042,12,28
1491601954,11,46
1491603863,7,34
1491605793,12,39
1491607719,404,0
1491609723,10,13
1491611570,11,8
1491613732,17,13
1491615646,12,12
1491617578,14,9
1491619473,14,8
1491621404,6,8
1491623314,14,10
1491625233,9,11
1491627170,11,4
1491629074,10,9
1491630989,24,13
1491632926,14,7
1491634920,18,6
1491636789,23,8
1491638662,33,47
1491642494,37,78
1491644431,13,42
1491646344,15,1164
1491648271,27,12
1491650206,606,0
1491652116,16,44
1491654049,25,51
1491655988,21,76
1491657855,19,58
1491659791,25,36
1491661706,23,26
1491663720,22,16
1491665541,17,8
1491667494,32,12
1491671332,17,16
1491673230,16,35
1491675161,11,26
1491677053,12,33
1491679000,9,29
1491680914,17,32
1491682836,7,15
1491684751,13,12
1491686672,9,10
1491688589,14,7
1491690513,9,13
1491692536,11,9
1491694378,591,0
1491696514,25,106
1491698443,3,55
1491700363,8,59
1491702261,10,28
1491704189,7,33
1491706112,6,12
1491708045,10,8
1491709963,12,5
1491711852,10,8
1491713787,6,5
1491715703,10,17
1491717730,6,19
1491719562,14,32
1491721471,16,29
1491723389,42,62
1491725321,11,16
1491727249,10,12
1491729169,12,10
1491731324,13,5
1491733242,44,790
1491735162,40,19
1491737321,452,0
1491739332,36,7
1491741149,170,16
1491745260,163,20
1491747166,54,14
1491749064,33,13
1491750975,54,9
1491752896,53,14
1491754828,55,14
1491756748,10,8
1491758649,31,14
1491760573,39,27
1491762504,10,16
1491764510,58,18
1491766366,31,41
1491768265,17,9
1491770188,43,46
1491774047,94,32
1491775956,26,19
1491777848,9,20
1491779818,353,0
1491781711,14,7
1491783657,7,9
1491785570,9,7
1491787467,8,8
1491789392,10,10
1491791313,6,14
1491793344,7,12
1491795172,12,9
1491797316,13,12
1491799229,53,25
1491801171,10,10
1491803064,15,20
1491804988,24,19
1491806897,23,10
1491808835,27,41
1491810772,10,10
1491812649,18,18
1491814573,24,26
1491816503,28,18
1491818507,17,12
1491820379,40,756
1491822268,27,65
1491824189,407,0
1491828032,59,23
1491829947,20,10
1491831862,18,14
1491833814,40,9
1491835727,11,10
1491837633,23,11
1491839563,31,16
1491841464,32,8
1491843405,31,13
1491845368,25,11
1491847325,25,12
1491849149,62,21
1491851080,14,12
1491853005,11,17
1491854930,32,27
1491856825,14,11
1491859016,38,15
1491860931,44,14
1491862834,17,34
1491864745,10,41
1491866663,339,0
1491868610,17,14
1491870526,7,11
1491872514,12,7
1491874337,57,9
1491876273,47,16
1491878213,18,6
1491880141,20,10
1491882027,38,22
1491883949,34,9
1491885872,37,11
1491887829,16,10
1491889734,18,8
1491891631,12,15
1491893552,11,17
1491895463,21,16
1491897408,25,17
1491899328,23,11
1491901332,42,13
1491903138,20,8
1491905077,16,13
1491907027,49,1551
1491908957,431,0
1491910962,47,19
1491912768,35,4
1491914681,71,10
1491916636,52,10
1491918556,56,9
1491920428,128,6
1491922371,63,10
1491924533,15,14
1491926517,54,33
1491930273,48,31
1491932205,43,26
1491934138,46,18
1491937949,80,55
1491939861,26,9
1491941814,54,28
1491944221,26,19
1491946111,44,30
1491948162,48,13
1491949969,41,29
1491951873,31,26
1491953790,389,0
1491955734,19,12
1491957649,12,10
1491959556,8,8
1491961451,7,7
1491963395,14,6
1491965312,13,8
1491967260,16,13
1491969166,9,15
1491971063,22,26
1491972997,15,19
1491974908,17,9
1491976942,33,18
1491978778,32,34
1491982867,34,26
1491984763,43,25
1491986666,19,26
