DateTime,Entries,UniqueIPs
1491344695,1740,1740
1491347379,2117,2117
1491349509,2101,2101
1491351654,2075,2075
1491353561,2072,2072
1491355469,2075,2075
1491357392,2081,2081
1491359312,2081,2081
1491361334,2087,2087
1491363167,2118,2118
1491365070,2131,2131
1491366995,2125,2125
1491368915,2117,2117
1491370822,2111,2111
1491372760,2138,2138
1491376608,2151,2151
1491378519,2155,2155
1491380429,2154,2154
1491382598,2160,2160
1491384518,2162,2162
1491386518,2163,2163
1491388361,971,971
1491390527,1373,1373
1491394360,1384,1384
1491396264,1392,1392
1491398213,1400,1400
1491400118,1406,1406
1491402035,1402,1402
1491403945,1392,1392
1491405854,1415,1415
1491407786,1453,1453
1491409724,1474,1474
1491411722,1471,1471
1491413567,1479,1479
1491415472,1485,1485
1491419298,1487,1487
1491421220,1494,1494
1491423151,1490,1490
1491425066,1490,1490
1491427004,1486,1486
1491428926,1482,1482
1491430828,1484,1484
1491432767,1468,1468
1491434653,1849,1849
1491436607,1853,1853
1491438505,1852,1852
1491440524,1848,1848
1491442360,1847,1847
1491444273,1842,1842
1491446199,1757,1757
1491448130,1749,1749
1491450026,1749,1749
1491451953,1745,1745
1491453862,1730,1730
1491455810,1730,1730
1491457711,1727,1727
1491459631,1730,1730
1491461538,1721,1721
1491463456,1725,1725
1491465391,1734,1734
1491467351,1755,1755
1491469337,1780,1780
1491471157,1840,1840
1491473078,1875,1875
1491475003,1038,1038
1491476936,1477,1477
1491478859,1495,1495
1491480757,1495,1495
1491482683,1509,1509
1491484608,1514,1514
1491486528,1513,1513
1491488433,1521,1521
1491490358,1520,1520
1491492257,1508,1508
1491494188,1529,1529
1491496125,1527,1527
1491498129,1526,1526
1491499962,1521,1521
1491501881,1502,1502
1491503803,1495,1495
1491505733,1497,1497
1491507636,1499,1499
1491509584,1496,1496
1491511452,1494,1494
1491513403,1489,1489
1491515326,1486,1486
1491517222,1478,1478
1491519143,1495,1495
1491521073,1936,1936
1491522993,1969,1969
1491524914,2015,2015
1491526916,2070,2070
1491528771,2116,2116
1491530678,2143,2143
1491532595,2152,2152
1491534534,2106,2106
1491536450,2089,2089
1491538358,2073,2073
1491540274,2063,2063
1491542184,2067,2067
1491544106,2144,2144
1491546047,2130,2130
1491547965,2140,2140
1491549869,2165,2165
1491551799,2177,2177
1491553717,2174,2174
1491555740,2172,2172
1491557560,2169,2169
1491559727,1213,1213
1491561650,1215,1215
1491563573,1662,1662
1491565462,1664,1664
1491567403,1670,1670
1491569311,1683,1683
1491571270,1691,1691
1491573159,1696,1696
1491575057,1704,1704
1491576975,1719,1719
1491578915,1731,1731
1491580914,1745,1745
1491582763,1749,1749
1491584675,1785,1785
1491586598,1782,1782
1491588534,1787,1787
1491590440,1795,1795
1491592344,1802,1802
