DateTime,AddedIPs,RemovedIPs
1484828899,2,0
1484843564,2,0
1484858208,6,1
1484872831,4,0
1484887466,5,0
1484902101,3,2
1484916752,1,0
1484931400,10,0
1484946080,2,0
1484960674,9,0
1484975312,4,0
1484989938,3,0
1485004596,3,0
1485019214,5,1
1485033861,5,0
1485048511,4,0
1485063144,6,0
1485077786,4,0
1485092409,4,0
1485107051,7,0
1485121695,1,0
1485136382,6,0
1485151009,5,1
1485165681,2,0
1485180517,3,0
1485195150,6,0
1485210037,4,1
1485224667,6,0
1485239561,13,0
1485254171,10,1
1485268835,6,0
1485283463,4,0
1485298101,7,0
1485312741,1,0
1485327370,8,0
1485342083,9,0
1485356911,6,0
1485371561,7,0
1485386175,7,0
1485400833,9,0
1485415463,8,1
1485430095,8,0
1485444742,6,0
1485459388,6,0
1485474032,2,0
1485488662,5,0
1485503321,10,1
1485517946,5,0
1485532908,8,0
1485547724,8,0
1485562346,3,1
1485577234,9,0
1485591874,9,0
1485606502,4,0
1485621141,10,0
1485635794,6,1
1485650429,4,0
1485665049,6,0
1485679720,15,0
1485694342,5,0
1485708974,6,0
1485723673,7,0
1485738517,13,0
1485753149,6,1
1485768043,6,0
1485782652,10,0
1485797556,5,0
1485812196,11,0
1485826808,8,0
1485841469,7,0
1485856102,5,0
1485870763,5,0
1485885378,8,0
1485900105,5,0
1485914915,3,0
1485929548,4,0
1485944436,5,0
1485959055,5,0
1485973967,4,0
1485988585,7,1
1486003232,5,0
1486017858,2,1
1486032501,2,1
1486047146,3,0
1486061784,5,0
1486091315,5,0
1486105949,4,0
1486120838,3,0
1486135963,2,0
1486150591,6,0
1486165208,3,0
1486179859,3,1
1486194500,5,0
1486209153,2,0
1486223770,3,0
1486238514,1,0
1486253329,1,0
1486267933,6,0
1486282842,5,0
1486312100,3,0
1486327024,4,1
1486341612,1,0
1486356291,4,0
1486370921,2,0
1486385557,4,0
1486400182,2,0
1486414876,2,0
1486429458,1,0
1486444098,2,0
1486458756,3,0
1486473393,3,0
1486488035,2,1
1486502656,2,1
1486517313,3,0
1486531936,1,0
1486546577,5,0
1486575849,1,0
1486590500,2,1
1486605139,3,0
1486619803,3,0
1486634516,2,0
1486649084,1,1
1486663694,3,0
1486678346,1,0
1486693230,2,1
1486707853,1,0
1486722506,2,1
1486737165,3,0
1486751784,2,0
1486766410,2,1
1486781057,3,0
1486795691,2,1
1486810360,3,1
1486824999,2,0
1486839698,3,0
1486854518,1,0
1486869141,1,1
1486883798,1,0
1486898665,5,0
1486913289,5,0
1486927933,1,0
1486942570,0,1
1486971867,1,1
1486986498,3,0
1487001133,2,0
1487015789,1,1
1487030501,2,1
1487045070,5,1
1487059726,2,0
1487074352,2,0
1487088980,3,0
1487103635,1,0
1487118508,2,0
1487133399,1,0
1487148035,1,0
1487162662,3,1
1487177295,2,0
1487206573,2,0
1487221300,3,0
1487235870,1,0
