DateTime,Entries,UniqueIPs
1484828899,23905,23905
1484843564,23907,23907
1484858208,23912,23912
1484872831,23916,23916
1484887466,23921,23921
1484902101,23922,23922
1484916752,23923,23923
1484931400,23933,23933
1484946080,23935,23935
1484960674,23944,23944
1484975312,23948,23948
1484989938,23951,23951
1485004596,23954,23954
1485019214,23958,23958
1485033861,23963,23963
1485048511,23967,23967
1485063144,23973,23973
1485077786,23977,23977
1485092409,23981,23981
1485107051,23988,23988
1485121695,23989,23989
1485136382,23995,23995
1485151009,23999,23999
1485165681,24001,24001
1485180517,24004,24004
1485195150,24010,24010
1485210037,24013,24013
1485224667,24019,24019
1485239561,24032,24032
1485254171,24041,24041
1485268835,24047,24047
1485283463,24051,24051
1485298101,24058,24058
1485312741,24059,24059
1485327370,24067,24067
1485342083,24076,24076
1485356911,24082,24082
1485371561,24089,24089
1485386175,24096,24096
1485400833,24105,24105
1485415463,24112,24112
1485430095,24120,24120
1485444742,24126,24126
1485459388,24132,24132
1485474032,24134,24134
1485488662,24139,24139
1485503321,24148,24148
1485517946,24153,24153
1485532908,24161,24161
1485547724,24169,24169
1485562346,24171,24171
1485577234,24180,24180
1485591874,24189,24189
1485606502,24193,24193
1485621141,24203,24203
1485635794,24208,24208
1485650429,24212,24212
1485665049,24218,24218
1485679720,24233,24233
1485694342,24238,24238
1485708974,24244,24244
1485723673,24251,24251
1485738517,24264,24264
1485753149,24269,24269
1485768043,24275,24275
1485782652,24285,24285
1485797556,24290,24290
1485812196,24301,24301
1485826808,24309,24309
1485841469,24316,24316
1485856102,24321,24321
1485870763,24326,24326
1485885378,24334,24334
1485900105,24339,24339
1485914915,24342,24342
1485929548,24346,24346
1485944436,24351,24351
1485959055,24356,24356
1485973967,24360,24360
1485988585,24366,24366
1486003232,24371,24371
1486017858,24372,24372
1486032501,24373,24373
1486047146,24376,24376
1486061784,24381,24381
1486091315,24386,24386
1486105949,24390,24390
1486120838,24393,24393
1486135963,24395,24395
1486150591,24401,24401
1486165208,24404,24404
1486179859,24406,24406
1486194500,24411,24411
1486209153,24413,24413
1486223770,24416,24416
1486238514,24417,24417
1486253329,24418,24418
1486267933,24424,24424
1486282842,24429,24429
1486312100,24432,24432
1486327024,24435,24435
1486341612,24436,24436
1486356291,24440,24440
1486370921,24442,24442
1486385557,24446,24446
1486400182,24448,24448
1486414876,24450,24450
1486429458,24451,24451
1486444098,24453,24453
1486458756,24456,24456
1486473393,24459,24459
1486488035,24460,24460
1486502656,24461,24461
1486517313,24464,24464
1486531936,24465,24465
1486546577,24470,24470
1486575849,24471,24471
1486590500,24472,24472
1486605139,24475,24475
1486619803,24478,24478
1486634516,24480,24480
1486649084,24480,24480
1486663694,24483,24483
1486678346,24484,24484
1486693230,24485,24485
1486707853,24486,24486
1486722506,24487,24487
1486737165,24490,24490
1486751784,24492,24492
1486766410,24493,24493
