DateTime,AddedIPs,RemovedIPs
1491886802,475,301
1491887702,342,137
1491888602,326,140
1491889502,372,223
1491890402,241,99
1491891302,259,98
1491892201,244,102
1491893102,242,86
1491894002,358,99
1491894902,282,94
1491895802,340,79
1491896703,425,89
1491897602,367,113
1491898502,378,85
1491899402,419,212
1491900302,373,141
1491901203,452,155
1491902103,350,82
1491903003,545,95
1491903902,626,101
1491904803,474,108
1491905703,290,89
1491906604,253,108
1491907503,1125,100
1491908404,3708,128
1491909304,5967,1854
1491910205,4717,3002
1491911104,5006,3557
1491912004,5468,853
1491912905,4666,656
1491913805,2932,1043
1491914706,3457,1930
1491915607,8969,6897
1491916508,11321,10741
1491917409,10592,10615
1491918310,9731,9633
1491919209,5945,6097
1491920111,9085,9212
1491921009,11381,11367
1491921909,8990,9022
1491922809,5849,6089
1491923710,7351,7137
1491924612,8153,8151
1491925511,5546,5583
1491926412,6020,6055
1491927311,7970,7993
1491928214,6278,6272
1491929114,6910,6993
1491930013,6138,6157
1491930913,6228,6370
1491931812,5960,5954
1491932712,4652,4662
1491933612,5230,5098
1491934513,3917,3906
1491935413,3915,3938
1491936314,6507,6579
1491937212,3993,4246
1491938114,5949,5954
1491939014,4958,5144
1491939912,5555,5598
1491940814,4591,4686
1491941714,4592,4541
1491942611,5028,5047
1491943511,2757,2953
1491944411,1435,1443
1491945312,875,884
1491946212,1296,1305
1491947110,1704,1873
1491948010,2437,2570
1491948909,2537,2674
1491949810,905,1026
1491950711,698,788
1491951612,429,472
1491952510,403,543
1491953411,720,880
1491954309,1636,1913
1491955211,981,1213
1491956108,580,2304
1491957010,519,2936
1491957908,729,3268
1491958809,654,2811
1491959708,612,2208
1491960609,669,820
1491961508,490,609
1491962407,497,616
1491963308,657,799
1491964207,783,889
1491965109,691,783
1491966009,1097,1183
1491966909,684,691
1491967808,437,543
1491968708,414,659
1491969607,503,1040
1491970508,490,1031
1491971409,434,793
1491972307,687,689
1491973207,674,706
1491974107,718,769
1491975006,662,689
1491975906,714,757
1491976807,611,2333
1491977708,690,2583
1491978606,919,2534
1491979506,678,2253
1491980406,751,545
1491981305,683,276
1491982206,543,645
1491983106,966,631
1491984007,10653,6255
1491984908,12045,6591
1491985809,11763,3610
1491986708,8147,4457
1491987607,5624,6955
1491988509,12367,12683
