DateTime,Entries,UniqueIPs
1491884102,7940,7940
1491885002,7728,7728
1491885902,7597,7597
1491886802,7771,7771
1491887702,7976,7976
1491888602,8162,8162
1491889502,8311,8311
1491890402,8453,8453
1491891302,8614,8614
1491892201,8756,8756
1491893102,8912,8912
1491894002,9171,9171
1491894902,9359,9359
1491895802,9620,9620
1491896703,9956,9956
1491897602,10210,10210
1491898502,10503,10503
1491899402,10710,10710
1491900302,10942,10942
1491901203,11239,11239
1491902103,11507,11507
1491903003,11957,11957
1491903902,12482,12482
1491904803,12848,12848
1491905703,13049,13049
1491906604,13194,13194
1491907503,14219,14219
1491908404,17799,17799
1491909304,21912,21912
1491910205,23627,23627
1491911104,25076,25076
1491912004,29691,29691
1491912905,33701,33701
1491913805,35590,35590
1491914706,37117,37117
1491915607,39189,39189
1491916508,39769,39769
1491917409,39746,39746
1491918310,39844,39844
1491919209,39692,39692
1491920111,39565,39565
1491921009,39579,39579
1491921909,39547,39547
1491922809,39307,39307
1491923710,39521,39521
1491924612,39523,39523
1491925511,39486,39486
1491926412,39451,39451
1491927311,39428,39428
1491928214,39434,39434
1491929114,39351,39351
1491930013,39332,39332
1491930913,39190,39190
1491931812,39196,39196
1491932712,39186,39186
1491933612,39318,39318
1491934513,39329,39329
1491935413,39306,39306
1491936314,39234,39234
1491937212,38981,38981
1491938114,38976,38976
1491939014,38790,38790
1491939912,38747,38747
1491940814,38652,38652
1491941714,38703,38703
1491942611,38684,38684
1491943511,38488,38488
1491944411,38480,38480
1491945312,38471,38471
1491946212,38462,38462
1491947110,38293,38293
1491948010,38160,38160
1491948909,38023,38023
1491949810,37902,37902
1491950711,37812,37812
1491951612,37769,37769
1491952510,37629,37629
1491953411,37469,37469
1491954309,37192,37192
1491955211,36960,36960
1491956108,35236,35236
1491957010,32819,32819
1491957908,30280,30280
1491958809,28123,28123
1491959708,26527,26527
1491960609,26376,26376
1491961508,26257,26257
1491962407,26138,26138
1491963308,25996,25996
1491964207,25890,25890
1491965109,25798,25798
1491966009,25712,25712
1491966909,25705,25705
1491967808,25599,25599
1491968708,25354,25354
1491969607,24817,24817
1491970508,24276,24276
1491971409,23917,23917
1491972307,23915,23915
1491973207,23883,23883
1491974107,23832,23832
1491975006,23805,23805
1491975906,23762,23762
1491976807,22040,22040
1491977708,20147,20147
1491978606,18532,18532
1491979506,16957,16957
1491980406,17163,17163
1491981305,17570,17570
1491982206,17468,17468
1491983106,17803,17803
1491984007,22201,22201
1491984908,27655,27655
1491985809,35808,35808
1491986708,39498,39498
1491987607,38167,38167
1491988509,37851,37851
1491989410,37873,37873
1491990311,38224,38224
1491991209,39530,39530
1491992111,39544,39544
1491993012,39054,39054
1491993912,38397,38397
1491994811,38257,38257
1491995711,37399,37399
1491996611,37464,37464
1491997512,37484,37484
1491998413,37042,37042
1491999312,37319,37319
1492000213,38057,38057
1492001112,38265,38265
1492002011,38914,38914
1492002912,39421,39421
1492003815,39578,39578
1492004713,39718,39718
1492005615,39727,39727
1492006515,39802,39802
1492007415,39844,39844
1492008312,39852,39852
1492009214,39890,39890
1492010114,39911,39911
1492011015,39934,39934
1492011913,39955,39955
1492012813,39979,39979
1492013712,39980,39980
1492014613,39988,39988
1492015513,39988,39988
1492016413,39990,39990
1492017313,39990,39990
1492018215,39993,39993
1492019115,39996,39996
1492020016,39992,39992
1492020914,39948,39948
1492021814,39914,39914
1492022716,39845,39845
1492023614,39673,39673
1492024514,39632,39632
1492025415,39606,39606
1492026314,39591,39591
1492027211,39563,39563
1492028110,39456,39456
1492029009,39458,39458
1492029909,39469,39469
1492030809,39465,39465
1492031710,39477,39477
1492032609,39477,39477
1492033509,39477,39477
1492034410,39480,39480
1492035307,39480,39480
1492036209,39289,39289
1492037106,39037,39037
1492038007,38565,38565
1492038907,38145,38145
1492039807,37778,37778
