DateTime,AddedIPs,RemovedIPs
1490079122,16,8
1490082721,11,7
1490086321,6,12
1490089921,16,9
1490093521,10,9
1490097121,7,8
1490100721,10,11
1490104321,21,14
1490107922,12,12
1490111522,16,8
1490115121,17,21
1490118722,9,11
1490122322,14,8
1490125922,10,7
1490129522,15,9
1490133122,11,11
1490136721,9,10
1490140322,13,10
1490143922,8,12
1490147522,8,7
1490151122,11,3
1490154722,16,7
1490158322,15,10
1490161921,20,8
1490165522,9,14
1490169121,15,10
1490172722,9,9
1490176321,17,16
1490179922,9,10
1490183522,16,4
1490187122,10,10
1490190722,11,15
1490194322,11,14
1490197922,10,12
1490201522,8,11
1490205122,12,9
1490208722,14,13
1490212322,7,9
1490215922,4,14
1490219522,23,11
1490223122,13,9
1490226722,7,11
1490230321,13,6
1490233922,10,8
1490237521,7,13
1490241122,7,13
1490244722,9,13
1490248322,7,22
1490251922,18,10
1490255522,15,13
1490259122,9,11
1490262722,16,17
1490266322,9,9
1490269922,10,16
1490273522,11,15
1490277122,14,11
1490280722,7,8
1490284322,8,11
1490287922,19,8
1490291522,12,14
1490295121,15,11
1490298722,11,8
1490302321,9,6
1490305922,16,25
1490309522,7,13
1490313122,11,10
1490316722,7,12
1490320322,10,10
1490323921,18,9
1490327522,7,7
1490331122,13,9
1490334721,13,7
1490338321,17,16
1490341921,10,17
1490345522,14,7
1490349122,13,15
1490352722,6,10
1490356322,10,10
1490359921,14,11
1490363521,11,14
1490367122,5,8
1490370722,11,9
1490374322,5,22
1490377922,9,11
1490381522,16,16
1490385122,11,12
1490388721,22,10
1490392322,7,16
1490396221,15,8
1490399822,10,11
1490403422,9,5
1490407022,9,11
1490410622,8,16
1490414222,4,7
1490417821,14,8
1490421422,10,11
1490425022,18,13
1490428622,15,12
1490432222,10,13
1490435823,16,15
1490439421,11,9
1490443022,10,13
1490446621,14,13
1490450221,12,12
1490453822,13,6
1490457421,11,11
1490461021,17,10
1490464622,12,6
1490468222,12,15
1490472124,17,12
1490476021,9,16
1490479621,10,13
1490483221,13,14
1490486822,10,11
1490490421,2,7
1490494022,11,6
1490497921,11,7
1490501522,8,7
1490505121,14,12
1490508721,10,18
1490512621,10,14
1490516222,13,21
1490519822,12,10
1490523422,10,17
1490527022,20,12
1490530622,4,12
1490534222,12,13
1490537822,10,9
1490541421,5,11
1490545322,14,13
1490548922,9,14
1490552522,10,10
1490556122,9,15
1490559722,9,14
1490563322,17,5
1490566922,7,8
1490570822,13,19
1490574422,7,9
1490578022,7,8
1490581622,13,6
1490585522,9,10
1490589122,9,7
1490592722,11,15
1490596322,14,11
1490599922,5,12
1490603521,10,15
1490607123,16,8
1490610722,14,12
1490614321,11,18
1490617929,11,4
1490621534,4,13
1490625136,11,8
1490628722,13,6
1490632322,10,19
1490635923,16,7
1490639521,6,12
1490643121,4,8
1490646721,8,11
1490650322,3,18
1490653922,8,9
1490657522,9,9
1490661121,9,6
1490664723,6,7
1490668322,15,12
1490671922,10,9
1490675522,4,9
1490679122,15,13
1490682722,10,13
1490686322,14,7
1490689922,13,11
1490693522,12,15
1490697421,7,14
1490701021,7,10
1490704622,13,14
1490708221,17,5
1490711822,13,10
1490715421,15,11
1490719022,9,10
1490722622,6,13
1490726222,14,6
1490729821,9,4
1490733422,7,8
1490737022,15,3
1490740622,16,8
1490744222,14,9
1490747822,13,9
1490751429,10,8
1490755022,9,10
1490758622,11,9
1490762222,15,4
1490765822,14,16
1490769421,13,13
1490773022,7,12
1490776621,14,10
1490780522,13,11
1490784121,10,6
1490787721,13,11
1490791322,7,12
1490794921,8,19
1490798521,14,9
1490802122,11,19
1490805722,14,8
1490809322,10,8
1490812921,8,11
1490816521,13,10
1490820122,5,8
1490823721,19,11
1490827321,5,21
1490830921,6,8
1490834522,9,13
1490838121,10,9
1490841721,12,11
1490845321,8,9
1490848922,12,12
1490852522,12,10
1490856122,8,16
1490859722,9,7
1490863321,7,17
1490867222,12,14
1490871121,17,14
1490874722,11,10
1490878322,8,11
1490881921,13,11
1490885522,15,16
1490889122,12,11
1490893022,16,12
1490896622,13,9
1490900222,9,11
1490903822,16,11
1490907422,13,10
1490911021,8,15
1490914621,14,5
1490918221,9,5
1490921822,12,15
1490925422,18,8
1490929022,13,11
1490932621,15,8
1490936222,8,13
1490939822,16,9
1490943421,14,6
1490947021,12,8
1490950621,9,9
1490954222,11,14
1490957821,13,12
1490961422,13,12
1490965022,15,10
1490968621,14,13
1490972222,10,17
1490976123,13,10
1490980022,19,15
1490983621,11,13
1490987222,9,14
1490990822,12,17
1490994721,12,11
1490998321,7,9
1491001922,10,14
1491005522,15,9
1491009121,7,9
1491012722,9,15
1491016321,11,16
1491019922,11,5
1491023521,11,9
1491027121,5,14
1491030722,17,16
1491034322,7,9
1491037922,10,12
1491041522,6,15
1491045121,7,11
1491048721,10,13
1491052322,17,16
1491055922,7,10
1491059522,14,10
1491063122,12,10
1491066722,13,22
1491070322,10,12
1491074224,11,9
1491077824,11,10
1491081753,14,13
1491182221,298,250
1491185822,16,13
1491189422,22,9
1491193021,18,11
1491196622,24,20
1491200222,23,12
1491203822,17,12
1491207422,12,7
1491211022,20,10
1491214621,12,7
1491218221,15,6
1491221822,14,10
1491225421,13,12
1491229021,7,15
1491232621,12,19
1491236222,5,20
1491239822,19,9
1491243422,9,10
1491247021,11,11
1491250622,8,3
1491254222,12,14
1491257823,8,16
1491261422,6,22
1491265021,6,8
1491268622,10,23
1491272222,7,24
1491275822,13,23
1491279422,7,14
1491283022,8,23
1491286622,5,21
1491290222,9,16
1491293822,8,13
1491297422,11,21
1491301021,5,13
1491304621,5,19
1491308222,9,14
1491311822,7,15
1491315722,13,6
1491319322,7,11
1491322922,9,5
1491326521,4,18
1491330122,9,9
1491333721,4,10
1491337322,10,9
1491342422,10,14
1491347222,13,12
1491351122,8,8
1491354721,10,8
1491358321,5,7
1491361921,6,13
1491365822,9,9
1491369422,10,7
1491373021,6,6
1491376621,5,9
1491380222,16,9
1491383821,9,8
1491387422,7,6
1491391022,12,5
1491394622,9,10
1491398222,5,10
1491401822,11,13
1491405422,12,8
1491409022,12,6
1491412621,11,6
1491416222,9,11
1491419821,15,5
1491423422,7,9
1491427022,9,9
1491430622,5,9
1491434222,6,9
1491437822,6,9
1491441422,12,6
1491445021,3,5
1491448622,14,9
1491452223,10,5
1491455821,11,10
1491459422,9,6
1491463022,8,5
1491466621,11,14
1491470222,10,9
1491473821,7,6
1491477422,10,11
1491481022,10,10
1491484622,11,5
1491488222,5,11
1491491821,19,10
1491495421,12,12
1491499021,15,9
1491502622,14,8
1491506222,10,17
1491509822,5,8
1491513422,7,9
1491517021,8,5
1491520622,11,7
1491524221,10,6
1491527822,12,10
1491531422,10,3
1491535022,1,11
1491538621,11,10
1491542222,12,17
1491545822,14,10
1491549422,19,7
1491553021,6,12
1491556622,8,10
1491560221,14,6
1491563822,11,10
1491567421,14,12
1491571021,16,12
1491574622,8,5
1491578221,13,18
1491582122,13,13
1491585722,16,13
1491589322,8,14
1491592922,7,10
1491596521,11,5
1491600122,8,7
1491645422,155,122
1491649021,30,15
1491654721,42,16
1491658321,31,16
1491662222,30,8
1491665821,25,10
1491669421,20,12
1491673021,23,9
1491676622,16,9
1491680222,23,8
1491683822,25,12
1491687421,10,7
1491691022,7,13
1491694622,11,4
1491698221,6,16
1491701824,10,15
1491705421,5,10
1491709022,5,13
1491712622,9,11
1491716521,11,8
1491720122,9,14
1491723721,11,17
1491727322,8,19
1491731221,9,12
1491734822,8,21
1491738722,8,29
1491742321,10,25
1491745922,3,37
1491749522,8,28
1491753122,8,22
1491756722,4,24
1491760321,5,24
1491763921,5,15
1491767821,4,29
1491771421,7,17
1491775022,7,11
1492084922,458,178
1492088523,11,18
1492092123,13,13
1492095723,7,14
1492099325,13,13
1492103221,12,19
1492106821,5,17
1492110421,10,12
1492114022,11,11
1492117621,11,13
1492121221,9,21
1492124821,11,17
1492128422,10,26
1492132022,5,29
1492135621,12,33
1492139222,16,25
1492142822,16,18
1492146422,11,19
1492150022,10,23
1492153621,14,20
1492157222,14,23
1492161121,19,17
1492164722,11,22
1492168321,9,25
1492171922,11,10
1492175522,10,17
1492179121,15,19
1492182722,13,8
1492186321,7,16
1492189922,16,12
1492193522,12,5
1492197122,12,8
1492200722,9,12
1492204622,11,12
1492208222,12,12
1492211822,9,10
1492215422,6,8
1492219021,10,8
1492222621,16,11
1492226222,13,22
1492229822,14,15
1492233421,10,13
1492237021,12,10
1492240621,12,11
1492244222,12,18
1492248121,7,14
1492251721,13,12
1492255322,14,8
1492258921,11,13
1492262522,18,7
1492266422,14,12
1492270021,12,16
1492273621,10,14
1492277221,8,8
1492280822,16,15
1492284721,10,12
1492288322,16,7
1492292221,8,17
1492295821,8,12
1492299422,13,4
1492303021,10,11
1492306629,12,7
1492310222,7,16
1492313822,11,15
1492317422,5,9
1492321321,9,16
1492324921,15,11
1492328522,6,10
1492332122,10,13
1492335721,11,9
