DateTime,Entries,UniqueIPs
1485082802,2348,2348
1485097202,2379,2379
1485111603,2407,2407
1485126002,2425,2425
1485140402,2470,2470
1485154802,2499,2499
1485169202,2531,2531
1485183602,2568,2568
1485198001,2606,2606
1485212402,2581,2581
1485226802,2586,2586
1485241202,2589,2589
1485255602,2588,2588
1485270002,2575,2575
1485284403,2579,2579
1485298824,2570,2570
1485313223,2570,2570
1485327621,2605,2605
1485342024,2583,2583
1485356422,2595,2595
1485370821,2601,2601
1485385227,2591,2591
1485396024,2565,2565
1485410433,2555,2555
1485424824,2541,2541
1485439229,2536,2536
1485453623,2549,2549
1485468026,2535,2535
1485482424,2515,2515
1485496826,2510,2510
1485511221,2510,2510
1485525623,2502,2502
1485540022,2475,2475
1485554425,2481,2481
1485568824,2479,2479
1485583231,2493,2493
1485597620,2489,2489
1485612019,2478,2478
1485626423,2482,2482
1485640822,2485,2485
1485655223,2497,2497
1485669632,2492,2492
1485684025,2527,2527
1485698424,2531,2531
1485712824,2548,2548
1485727225,2563,2563
1485741625,2568,2568
1485756034,2596,2596
1485770424,2608,2608
1485784825,2613,2613
1485799225,2610,2610
1485813621,2602,2602
1485828021,2577,2577
1485842427,2560,2560
1485856824,2556,2556
1485871232,2525,2525
1485885634,5056,5056
1485900045,5152,5152
1485914433,5163,5163
1485928849,5179,5179
1485943235,5176,5176
1485957665,5180,5180
1485972037,5200,5200
1485986443,5177,5177
1486000833,5144,5144
1486015246,5131,5131
1486029649,5153,5153
1486044035,2552,2552
1486058417,2486,2486
1486072822,2484,2484
1486087225,2440,2440
1486101634,2416,2416
1486116018,2421,2421
1486130424,2411,2411
1486144834,2411,2411
1486159227,2435,2435
1486173626,2407,2407
1486188029,2398,2398
1486202425,2382,2382
1486216823,2364,2364
1486245619,2081,2081
1486260026,2081,2081
1486274426,2062,2062
1486288830,2066,2066
1486303226,2069,2069
1486317628,2056,2056
1486332022,2075,2075
1486346421,2061,2061
1486360835,2074,2074
1486375225,2160,2160
1486389644,2383,2383
1486404025,2401,2401
1486418430,2394,2394
1486432823,2384,2384
1486447231,2362,2362
1486461626,2339,2339
1486476028,2333,2333
1486490425,2316,2316
1486504823,2304,2304
1486519218,2258,2258
1486533632,2211,2211
1486548024,2212,2212
1486562416,2198,2198
1486576824,2209,2209
1486591221,2188,2188
