DateTime,AddedIPs,RemovedIPs
1484924403,39,11
1484938802,16,27
1484953202,7,45
1484967602,16,12
1484982003,16,12
1484996403,8,21
1485010803,15,22
1485025202,20,16
1485039602,3,21
1485054002,27,20
1485068402,19,20
1485082802,6,37
1485097202,35,6
1485111603,20,11
1485126002,12,18
1485140402,27,8
1485154802,27,12
1485169202,15,25
1485183602,11,4
1485198001,29,7
1485212402,26,33
1485226802,29,8
1485241202,33,25
1485255602,2,28
1485270002,21,17
1485284403,22,7
1485298810,17,39
1485313208,24,18
1485327610,21,14
1485342009,5,20
1485356408,26,29
1485370808,17,22
1485385211,23,42
1485399621,54,10
1485414008,40,14
1485428409,26,16
1485442808,45,25
1485457208,20,15
1485471609,18,26
1485486007,50,11
1485500409,25,16
1485514808,11,20
1485529210,35,21
1485543609,12,37
1485558010,10,58
1485572410,13,20
1485586807,24,33
1485601209,21,38
1485615608,38,14
1485630009,27,36
1485644410,2,46
1485658808,39,12
1485673209,16,16
1485687609,8,32
1485702009,28,11
1485716409,28,12
1485730809,28,24
1485745208,36,21
1485759610,38,28
1485774013,13,31
1485788408,35,15
1485802809,14,11
1485817211,19,44
1485831608,35,4
1485846008,18,10
1485860408,9,34
1485874807,12,31
1485889208,14,24
1485903608,16,42
1485918008,17,26
1485932407,22,25
1485946808,5,29
1485961208,13,7
1485975608,14,25
1485990008,23,37
1486004407,38,9
1486018808,32,12
1486033208,5,9
1486047607,26,25
1486062009,20,7
1486076408,30,24
1486090808,30,13
1486105209,18,9
1486119609,4,16
1486134010,8,15
1486148409,6,26
1486162810,7,46
1486177209,27,12
1486191609,23,18
1486206010,4,17
1486220406,24,23
1486249211,35,67
1486263610,35,3
1486278009,23,7
1486292412,4,6
1486306809,43,7
1486321208,18,14
1486335609,18,32
1486350008,27,10
1486364409,15,18
1486378809,1,14
1486393209,29,6
1486407608,20,31
1486422009,33,43
1486436411,31,8
1486450810,16,18
1486465210,12,41
1486479609,39,12
1486494016,21,20
1486508410,28,26
1486522808,27,6
1486537208,12,12
1486551608,6,32
1486566008,15,20
1486580410,17,32
1486594809,6,28
1486609208,22,9
1486623665,17,31
1486638009,8,32
1486652409,15,18
1486666809,17,27
1486681210,22,24
1486695609,28,7
1486710009,13,15
1486724407,4,17
1486738809,41,8
1486753208,16,11
1486767609,15,25
1486782009,22,8
1486796407,22,13
1486810807,13,18
1486825207,22,18
1486839607,22,22
1486854009,34,24
1486868409,34,4
1486882808,11,20
1486897208,2,35
1486911608,12,14
1486926008,12,16
1486940408,28,26
1486954812,24,14
1486969209,15,23
1486983610,3,13
1486998007,25,36
1487012407,27,32
1487026807,33,28
1487041212,30,0
1487055614,18,9
1487070008,6,14
