DateTime,AddedIPs,RemovedIPs
1485079511,238,234
1485093909,223,274
1485108308,240,179
1485122706,260,177
1485137107,258,164
1485151507,263,154
1485165912,242,105
1485180308,203,189
1485194708,227,199
1485209125,201,213
1485223506,208,268
1485237906,193,235
1485252307,215,205
1485266708,239,246
1485281107,245,257
1485295225,113,122
1485309624,100,289
1485324021,339,252
1485338425,71,248
1485352821,217,224
1485367224,196,223
1485381625,211,205
1485396023,203,232
1485410433,199,216
1485424822,72,322
1485439227,695,243
1485453624,232,241
1485468022,206,214
1485482423,211,193
1485496833,104,337
1485511219,66,258
1485525627,574,189
1485540022,209,211
1485554425,182,192
1485568820,183,199
1485583232,206,230
1485597623,195,222
1485612022,209,217
1485626418,191,216
1485640822,203,206
1485655222,209,198
1485669631,9,396
1485684021,617,179
1485698420,232,185
1485712821,238,193
1485727226,217,179
1485741624,234,207
1485756033,203,218
1485770423,203,202
1485784823,221,183
1485799224,237,211
1485813623,838,213
1485828026,202,226
1485842432,128,223
1485856826,336,220
1485871229,241,222
1485885634,1604,238
1485900054,4902,214
1485914452,298,199
1485928865,212,217
1485943248,251,241
1485957667,206,856
1485972049,230,188
1485986445,243,210
1486000847,201,221
1486015264,218,242
1486029649,257,243
1486044069,255,790
1486058423,217,5594
1486072821,235,416
1486087225,391,205
1486101635,253,242
1486116026,219,227
1486130425,225,242
1486144834,246,219
1486159226,218,209
1486173623,208,248
1486188037,222,240
1486202425,211,247
1486216824,100,508
1486231222,1379,364
1486245630,1315,183
1486260030,189,222
1486274436,231,208
1486288833,191,225
1486303228,205,235
1486317630,321,179
1486332028,944,197
1486346432,228,207
1486360845,200,209
1486375230,233,48
1486389628,201,2434
1486404025,212,266
1486418438,193,172
1486432827,194,213
1486447235,194,180
1486461627,184,204
1486476024,176,471
1486490424,191,255
1486504826,203,233
1486519223,194,221
1486533635,209,224
1486548024,70,237
1486562426,349,717
1486576824,198,192
1486591218,205,196
1486605624,192,204
1486620021,199,177
1486634421,188,172
1486648826,326,193
1486663223,191,199
1486677622,204,199
1486692023,191,192
1486706423,199,194
1486720821,74,359
1486735224,214,192
1486749621,253,202
1486764026,460,173
1486778458,185,189
1486792832,171,189
1486807223,209,313
1486821623,206,203
1486836020,204,193
1486850436,213,174
1486864822,206,186
1486879222,167,94
1486893617,106,370
1486908021,0,324
1486922417,235,427
1486936817,226,155
1486951220,215,169
1486965627,212,177
1486980020,109,271
1486994418,0,269
1487008821,246,184
1487023214,226,174
1487037619,215,158
1487052022,159,58
1487066420,195,47
1487080818,188,176
1487095216,180,197
1487109621,231,244
1487124022,140,140
1487138418,205,46
1487152824,208,46
1487167218,206,209
1487181624,211,189
1487196031,194,189
1487210424,172,164
1487224830,190,174
1487239226,184,192
1487253622,172,173
