DateTime,AddedIPs,RemovedIPs
1489917626,5,2
1489921222,3,6
1489924824,4,1
1489928422,7,4
1489932627,2,10
1489938024,1,4
1489942825,2,14
1489946422,6,0
1489949424,5,13
1489953625,2,7
1489957222,1,0
1489960825,5,0
1489964423,2,5
1489967425,9,0
1489971624,3,8
1489975222,4,0
1489978825,1,1
1489982422,5,4
1489986024,4,5
1489989022,5,6
1489992624,7,5
1490000421,15,15
1490007626,5,8
1490011224,1,2
1490014224,2,0
1490017826,1,13
1490025022,9,18
1490029224,5,4
1490032822,2,0
1490036425,5,0
1490040022,3,6
1490043624,3,0
1490047221,6,6
1490050222,10,5
1490054424,7,6
1490058021,6,0
1490065220,10,11
1490068823,3,0
1490076021,10,13
1490079625,7,4
1490083222,4,0
1490086824,4,3
1490089822,3,0
1490094025,4,12
1490097623,6,0
1490101224,4,10
1490104222,10,4
1490108424,11,7
1490112023,3,0
1490119222,4,6
1490122224,3,4
1490129422,3,3
1490133024,5,7
1490136622,1,5
1490143822,6,12
1490148026,3,4
1490151622,3,0
1490155225,1,1
1490158822,2,0
1490161824,3,12
1490169022,9,6
1490172624,5,1
1490176222,8,3
1490179824,4,6
1490184025,3,8
1490187622,5,0
1490191224,2,4
1490194823,3,0
1490198424,1,2
1490202022,1,2
1490205625,11,7
1490209222,4,7
1490212824,4,0
1490216422,4,8
1490220024,2,0
1490223622,7,4
1490227225,5,0
1490230824,3,8
1490234423,1,8
1490238022,1,5
1490241026,1,6
1490248222,10,7
1490251824,4,3
1490255423,3,0
1490259025,4,7
1490263224,3,8
1490270424,1,3
1490274022,4,1
1490277024,2,0
1490281225,3,20
1490284822,7,0
1490288424,3,5
1490295022,5,10
1490298624,3,0
1490305822,10,3
1490309424,2,0
1490313022,2,7
1490316624,2,10
1490320223,1,6
1490323826,9,7
1490327421,6,7
1490331024,0,2
1490334622,6,2
1490338224,7,2
1490341822,2,0
1490349022,2,11
1490352624,3,6
1490356824,3,9
1490360422,7,0
1490363424,2,0
1490367022,2,15
1490370625,8,0
1490374824,3,2
1490378422,1,0
1490381424,2,6
1490385022,4,0
1490388624,1,4
1490392222,6,5
1490395829,8,9
1490399423,5,2
1490403025,1,7
1490406622,7,4
1490410224,2,2
1490413823,2,5
1490417424,4,1
1490421022,2,2
1490424624,2,4
1490428222,2,2
1490431824,5,6
1490435423,3,7
1490439025,3,0
1490443250,2,7
1490446823,4,0
1490449825,2,0
1490454024,3,8
1490457623,4,0
1490460624,1,9
1490464225,1,7
1490467824,4,3
1490471423,4,3
1490475025,5,8
1490478625,4,0
1490481624,8,4
