DateTime,Entries,UniqueIPs
1489924824,2542,2598
1489928422,2545,2601
1489932627,2537,2593
1489938024,2535,2590
1489942825,2522,2578
1489946422,2528,2584
1489949424,2519,2576
1489953625,2515,2571
1489957222,2516,2572
1489960825,2521,2577
1489964423,2518,2574
1489967425,2527,2583
1489971624,2522,2578
1489975222,2526,2582
1489978825,2526,2582
1489982422,2526,2583
1489986024,2526,2582
1489989022,2525,2581
1489992624,2527,2583
1490000421,2527,2583
1490007626,2524,2580
1490011224,2523,2579
1490014224,2525,2581
1490017826,2516,2569
1490025022,2507,2560
1490029224,2508,2561
1490032822,2510,2563
1490036425,2515,2568
1490040022,2511,2565
1490043624,2514,2568
1490047221,2514,2568
1490050222,2519,2573
1490054424,2520,2574
1490058021,2526,2580
1490065220,2525,2579
1490068823,2528,2582
1490076021,2525,2579
1490079625,2524,2582
1490083222,2528,2586
1490086824,2529,2587
1490089822,2532,2590
1490094025,2524,2582
1490097623,2530,2588
1490101224,2527,2582
1490104222,2531,2588
1490108424,2529,2592
1490112023,2532,2595
1490119222,2530,2593
1490122224,2529,2592
1490129422,2529,2592
1490133024,2527,2590
1490136622,2523,2586
1490143822,2518,2580
1490148026,2517,2579
1490151622,2520,2582
1490155225,2520,2582
1490158822,2520,2584
1490161824,2511,2575
1490169022,2514,2578
1490172624,2518,2582
1490176222,2523,2587
1490179824,2521,2585
1490184025,2516,2580
1490187622,2520,2585
1490191224,2518,2583
1490194823,2521,2586
1490198424,2520,2585
1490202022,2519,2584
1490205625,2523,2588
1490209222,2519,2585
1490212824,2523,2589
1490216422,2519,2585
1490220024,2521,2587
1490223622,2524,2590
1490227225,2529,2595
1490230824,2524,2590
1490234423,2517,2583
1490238022,2513,2579
1490241026,2509,2574
1490248222,2511,2577
1490251824,2511,2578
1490255423,2514,2581
1490259025,2511,2578
1490263224,2507,2573
1490270424,2505,2571
1490274022,2508,2574
1490277024,2510,2576
1490281225,2493,2559
1490284822,2500,2566
1490288424,2498,2564
1490295022,2495,2559
1490298624,2498,2562
1490305822,2505,2569
1490309424,2507,2571
1490313022,2501,2566
1490316624,2494,2558
1490320223,2489,2553
1490323826,2491,2555
1490327421,2491,2554
1490331024,2489,2552
1490334622,2493,2556
1490338224,2498,2561
1490341822,2500,2563
1490349022,2491,2554
1490352624,2489,2551
1490356824,2483,2545
1490360422,2490,2552
1490363424,2492,2554
1490367022,2479,2541
1490370625,2487,2549
1490374824,2488,2550
1490378422,2489,2551
1490381424,2485,2547
1490385022,2489,2551
1490388624,2486,2548
1490392222,2486,2549
1490395829,2485,2548
1490399423,2488,2551
1490403025,2482,2545
1490406622,2485,2548
1490410224,2485,2548
1490413823,2482,2545
1490417424,2485,2548
1490421022,2485,2548
1490424624,2483,2546
1490428222,2483,2546
1490431824,2481,2545
1490435423,2476,2541
1490439025,2479,2544
1490443250,2474,2539
1490446823,2477,2543
1490449825,2479,2545
1490454024,2475,2540
1490457623,2479,2544
1490460624,2472,2536
1490464225,2466,2530
1490467824,2467,2531
1490471423,2468,2532
1490475025,2465,2529
1490478625,2469,2533
1490481624,2472,2537
1490485826,2465,2530
1490489422,2469,2534
1490493626,2466,2531
1490497222,2467,2532
1490500825,2464,2528
1490504422,2457,2521
1490507424,2458,2523
1490511023,2460,2526
1490514624,2458,2523
1490518222,2460,2526
1490521825,2462,2528
1490525423,2464,2530
1490529625,2457,2523
1490533223,2453,2518
1490536225,2454,2519
1490539823,2456,2521
1490543425,2456,2521
1490547022,2461,2525
1490550624,2456,2519
1490554824,2457,2520
1490558422,2461,2524
1490562024,2460,2522
1490565023,2460,2521
1490568624,2464,2525
1490572222,2464,2525
1490576425,2460,2521
1490580023,2460,2521
1490583024,2454,2515
1490586623,2458,2519
1490590225,2454,2515
1490593822,2450,2511
1490597425,2450,2511
1490601022,2442,2503
1490604625,2445,2506
1490608222,2433,2491
1490611825,2436,2494
1490615423,2444,2501
1490622623,2438,2491
1490626226,2439,2492
1490629823,2442,2495
1490633427,2440,2495
1490637023,2442,2497
1490640626,2443,2498
1490644828,2756,2816
1490649626,2939,3001
1490655026,2943,3005
1490660425,2945,3007
1490666426,2996,3059
1490671826,2993,3055
1490676626,2996,3058
1490681426,2997,3059
1490687425,3032,3094
1490692226,3108,3171
1490696426,3109,3172
1490701826,3110,3174
1490706626,3128,3192
1490712626,3154,3218
1490718627,3164,3230
1490724026,3196,3261
1490729427,3213,3279
1490734226,3252,3318
1490740226,3285,3352
1490745025,3305,3372
1490750426,3323,3393
1490755826,3336,3406
1490761825,3349,3420
1490767227,3347,3418
1490772025,3357,3427
1490776826,3367,3436
1490782226,3378,3448
1490787627,3391,3461
1490793026,3386,3456
1490798426,3387,3456
1490804427,3410,3480
1490809226,3413,3486
1490814626,3419,3492
1490820026,3427,3500
1490825427,3442,3515
1490830825,3447,3521
1490837426,3464,3539
1490842227,3472,3546
1490847626,3478,3552
1490853025,3488,3562
1490857826,3491,3565
1490863226,3505,3579
1490868626,3523,3597
1490874028,3522,3596
1490880026,3528,3602
1490884827,3536,3610
1490890826,3541,3615
1490895626,3545,3618
1490901026,3553,3626
1490906427,3560,3633
1490911826,3562,3635
1490917226,3645,3716
1490923226,3647,3718
1490928627,3655,3726
1490934026,3712,3782
1490939426,3731,3802
1490944226,3729,3800
1490949626,3740,3811
1490955026,3751,3822
1490960428,3759,3831
1490965830,3761,3834
1490971227,3769,3842
1490977226,3791,3864
1490982027,3974,4054
1490988626,4090,4171
1490994626,4091,4173
1490999427,4102,4183
1491004826,4128,4209
1491009627,4143,4224
1491015026,4147,4229
1491021627,4178,4263
1491028226,4218,4303
1491033626,4231,4315
1491038426,4234,4318
1491043826,4266,4350
1491049226,4281,4365
1491054626,4294,4378
1491060027,4297,4381
1491066029,4315,4402
1491070827,4316,4402
1491076227,4342,4428
1491081627,4345,4432
1491087627,4364,4452
1491093626,4366,4454
1491099628,4374,4462
1491106227,4375,4459
1491112826,4371,4457
1491118227,4373,4459
1491123626,4387,4470
1491128427,4387,4469
1491133826,4398,4481
1491139226,4401,4484
1491144627,4396,4478
1491150027,4389,4471
1491154826,4446,4530
1491161427,4451,4536
1491166828,4444,4529
1491172226,4444,4530
1491177627,4454,4541
1491183026,4454,4540
1491188428,4456,4540
1491194427,4459,4543
1491200426,4476,4560
1491206426,4481,4564
1491211827,4478,4561
1491217226,4476,4558
1491222626,4464,4546
1491228027,4475,4557
1491232827,4470,4551
1491238226,4545,4623
1491244227,4554,4628
1491249629,4570,4645
1491255026,4575,4650
1491260427,4570,4644
1491265827,4563,4638
1491271226,4569,4644
1491276027,4572,4647
1491281428,4589,4664
1491286827,4596,4668
1491292226,4612,4684
1491298228,4620,4692
1491303627,4612,4682
1491309629,4606,4675
1491314427,4606,4675
1491319227,4602,4671
1491324629,4600,4669
1491330027,4594,4663
1491340226,4606,4676
1491345631,4586,4651
1491351028,4589,4654
1491357026,4579,4641
1491362426,4577,4640
1491367227,4582,4651
1491372629,4584,4653
1491378627,4593,4661
1491384027,4608,4677
1491390027,4612,4682
1491396027,4619,4689
1491402027,4616,4686
1491408626,4616,4688
1491412850,4621,4692
1491418228,4625,4695
1491423627,4633,4702
1491428428,4644,4715
1491434426,4653,4725
1491439828,4649,4720
1491445826,4641,4712
1491450627,4642,4713
1491456026,4635,4709
1491460826,4637,4711
1491465027,4634,4708
1491471027,4631,4704
1491475828,4641,4714
1491481828,4649,4722
1491486626,4639,4713
1491492627,4631,4704
1491497427,4644,4717
1491502829,4639,4712
1491508226,4628,4702
1491514226,4636,4710
1491519626,4639,4714
1491524428,4633,4708
1491529826,4624,4700
1491535226,4618,4694
1491540628,4629,4705
1491546025,4632,4708
1491551426,4627,4703
1491556826,4561,4637
1491562227,4478,4554
1491567026,4480,4555
1491572429,4473,4548
1491578426,4468,4543
1491583826,4469,4543
1491588630,4469,4546
1491594027,4466,4543
1491597624,4470,4547
1491603027,4464,4541
1491608426,4454,4533
1491613827,4455,4534
1491619828,4455,4534
1491625226,4407,4486
1491630026,4414,4493
1491633024,4421,4500
1491640224,4424,4502
1491644425,4411,4489
1491648024,4412,4490
1491653426,4406,4484
1491658827,4405,4484
1491663026,4402,4479
1491667827,4402,4477
1491673827,4409,4484
1491678626,4411,4486
1491683426,4408,4485
1491687024,4414,4491
1491690626,4400,4477
1491694224,4389,4464
1491697826,4396,4471
1491702026,4398,4472
1491708027,4376,4448
1491713426,4370,4440
1491718227,4368,4437
1491723626,4366,4435
1491729627,4365,4435
1491735627,4363,4432
1491740426,4362,4430
1491745828,4366,4434
1491751226,4368,4435
1491756627,4363,4430
1491762026,4360,4427
1491767426,4368,4434
1491772226,4382,4452
1491777629,4371,4444
1491783627,4370,4443
1491789028,4377,4449
1491794426,4384,4457
1491800427,4376,4449
1491805226,4366,4439
1491810626,4368,4441
1491816627,4385,4459
1491821426,4374,4448
1491827427,4378,4452
1491832227,4362,4436
1491837627,4368,4443
1491842427,4344,4421
1491848427,4352,4429
1491853827,4343,4420
1491858627,4342,4418
1491864627,4329,4405
1491869434,4319,4394
1491873028,4305,4380
1491879026,4309,4385
1491884427,4305,4381
1491889226,4305,4381
1491894027,4299,4375
1491897624,4304,4380
1491901226,4308,4384
1491905426,4305,4381
1491910827,4302,4378
1491915027,4289,4365
1491920427,4282,4358
1491925828,4280,4356
1491931827,4302,4376
1491937226,4292,4366
1491942627,4298,4372
1491947427,4308,4382
1491952226,4315,4390
1491957630,4321,4397
1491964227,4326,4402
1491969626,4327,4403
1491974427,4334,4410
1491979827,4339,4414
1491985226,4325,4401
1491991227,4321,4401
1491996028,4320,4405
1492002027,4313,4398
1492006828,4308,4393
1492012226,4292,4377
1492017627,4295,4380
1492023028,4302,4387
1492028427,4292,4377
1492033227,4310,4396
1492039226,4297,4384
1492044627,4288,4375
1492050027,4284,4370
1492055429,4294,4380
1492060827,4285,4370
1492065627,4287,4372
1492071027,4270,4354
1492077032,4266,4345
1492082428,4252,4325
1492087828,4254,4329
1492093828,4257,4331
1492099228,4255,4329
1492105227,4257,4331
1492110028,4251,4325
1492115427,4246,4320
1492120227,4239,4312
