DateTime,Entries,UniqueIPs
1489917626,493,493
1489921222,492,492
1489924824,506,506
1489928422,488,488
1489932627,460,460
1489938024,444,444
1489942825,446,446
1489946422,447,447
1489949424,461,461
1489953625,475,475
1489957222,489,489
1489960825,489,489
1489964423,487,487
1489967425,503,503
1489971624,489,489
1489975222,502,502
1489978825,491,491
1489982422,513,513
1489986024,504,504
1489989022,471,471
1489992624,494,494
1490000421,499,499
1490007626,467,467
1490011224,452,452
1490014224,448,448
1490017826,433,433
1490025022,435,435
1490029224,427,427
1490032822,424,424
1490036425,428,428
1490040022,426,426
1490043624,427,427
1490047221,422,422
1490050222,447,447
1490054424,467,467
1490058021,467,467
1490065220,514,514
1490068823,506,506
1490076021,503,503
1490079625,503,503
1490083222,493,493
1490086824,490,490
1490089822,491,491
1490094025,494,494
1490097623,496,496
1490101224,479,479
1490104222,485,485
1490108424,494,494
1490112023,488,488
1490119222,484,484
1490122224,489,489
1490129422,483,483
1490133024,491,491
1490136622,517,517
1490143822,510,510
1490148026,538,538
1490151622,556,556
1490155225,550,550
1490158822,542,542
1490161824,552,552
1490169022,533,533
1490172624,554,554
1490176222,560,560
1490179824,570,570
1490184025,568,568
1490187622,562,562
1490191224,526,526
1490194823,514,514
1490198424,497,497
1490202022,477,477
1490205625,460,460
1490209222,459,459
1490212824,466,466
1490216422,475,475
1490220024,477,477
1490223622,493,493
1490227225,500,500
1490230824,483,483
1490234423,466,466
1490238022,448,448
1490241026,440,440
1490248222,427,427
1490251824,449,449
1490255423,470,470
1490259025,460,460
1490263224,474,474
1490266822,471,471
1490270424,460,460
1490274022,449,449
1490277024,459,459
1490281225,460,460
1490284822,451,451
1490288424,443,443
1490295022,444,444
1490298624,432,432
1490305822,446,446
1490309424,447,447
1490313022,446,446
1490316624,446,446
1490320223,433,433
1490323826,445,445
1490327421,440,440
1490331024,429,429
1490334622,441,441
1490338224,437,437
1490341822,435,435
1490349022,421,421
1490352624,413,413
1490356824,434,434
1490360422,435,435
1490363424,420,420
1490367022,424,424
1490370625,421,421
1490374824,415,415
1490378422,389,389
1490381424,396,396
1490385022,393,393
1490388624,401,401
1490392222,415,415
1490395829,426,426
1490399423,428,428
1490403025,441,441
1490406622,443,443
1490410224,438,438
1490413823,420,420
1490417424,407,407
1490421022,394,394
1490424624,373,373
1490428222,375,375
1490431824,372,372
1490435423,396,396
1490439025,391,391
1490443250,414,414
1490446823,419,419
1490449825,417,417
1490454024,412,412
1490457623,392,392
1490460624,404,404
1490464225,390,390
1490467824,396,396
1490471423,406,406
1490475025,424,424
1490478625,431,431
1490481624,455,455
1490485826,484,484
1490489422,499,499
1490493626,482,482
1490497222,477,477
1490500825,475,475
1490504422,450,450
1490507424,439,439
1490511023,460,460
1490514624,463,463
1490518222,463,463
1490521825,466,466
1490525423,460,460
1490529625,468,468
1490533223,449,449
1490536225,438,438
1490539823,432,432
1490543425,438,438
1490547022,440,440
1490550624,449,449
1490554824,453,453
1490558422,461,461
1490562024,481,481
1490565023,473,473
1490568624,492,492
1490572222,499,499
1490576425,493,493
1490580023,498,498
1490583024,493,493
1490586623,499,499
1490590225,490,490
1490593822,480,480
1490597425,482,482
1490601022,474,474
1490604625,456,456
1490608222,429,429
1490611825,432,432
1490615423,416,416
1490622623,408,408
1490626226,386,386
1490629823,401,401
1490633427,421,421
1490637023,431,431
1490640626,438,438
1490644828,769,769
1490649626,981,981
1490655026,968,968
1490660425,984,984
1490666426,950,950
1490671826,895,895
1490676626,892,892
1490681426,885,885
1490687425,793,793
1490692226,882,882
1490696426,891,891
1490701826,896,896
1490706626,927,927
1490712626,991,991
1490718627,983,983
1490724026,998,998
1490729427,998,998
1490734226,1005,1005
1490740226,1043,1043
1490745025,1046,1046
1490750426,1061,1061
1490755826,1034,1034
1490761825,1023,1023
1490767227,989,989
1490772025,928,928
1490776826,910,910
1490782226,930,930
1490787627,913,913
1490793026,910,910
1490798426,887,887
1490804427,888,888
1490809226,903,903
1490814626,913,913
1490820026,928,928
1490825427,958,958
1490830825,978,978
1490837426,1002,1002
1490842227,998,998
1490847626,963,963
1490853025,921,921
1490857826,926,926
1490863226,948,948
1490868626,935,935
1490874028,947,947
1490880026,924,924
1490884827,913,913
1490890826,908,908
1490895626,920,920
1490901026,922,922
1490906427,919,919
1490911826,943,943
1490917226,1065,1065
1490923226,1065,1065
1490928627,1066,1066
1490934026,1111,1111
1490939426,1122,1122
1490944226,1114,1114
1490949626,1125,1125
1490955026,1069,1069
1490960428,981,981
1490965830,973,973
1490971227,953,953
1490977226,975,975
1490982027,1179,1179
1490988626,1291,1291
1490994626,1321,1321
1490999427,1325,1325
1491004826,1286,1286
1491009627,1288,1288
1491015026,1330,1330
1491021627,1325,1325
1491028226,1283,1283
1491033626,1255,1255
1491038426,1236,1236
1491043826,1243,1243
1491049226,1268,1268
1491054626,1301,1301
1491060027,1331,1331
1491066029,1358,1358
1491070827,1376,1376
1491076227,1433,1433
1491081627,1468,1468
1491087627,1508,1508
1491093626,1488,1488
1491099628,1464,1464
1491106227,1395,1395
1491112826,1380,1380
1491118227,1325,1325
1491123626,1346,1346
1491128427,1326,1326
1491133826,1308,1308
1491139226,1327,1327
1491144627,1322,1322
1491150027,1326,1326
1491154826,1411,1411
1491161427,1429,1429
1491166828,1427,1427
1491172226,1425,1425
1491177627,1427,1427
1491183026,1444,1444
1491188428,1435,1435
1491194427,1405,1405
1491200426,1411,1411
1491206426,1384,1384
1491211827,1384,1384
1491217226,1349,1349
1491228027,1306,1306
1491232827,1304,1304
1491238226,1385,1385
1491244227,1369,1369
1491249629,1397,1397
1491255026,1408,1408
1491260427,1402,1402
1491265827,1411,1411
1491271226,1395,1395
1491276027,1394,1394
1491281428,1400,1400
1491286827,1445,1445
1491292226,1500,1500
1491298228,1480,1480
1491303627,1433,1433
1491309629,1384,1384
1491314427,1331,1331
1491319227,1294,1294
1491324629,1266,1266
1491330027,1251,1251
1491340226,1240,1240
1491345631,1259,1259
1491351028,1292,1292
1491357026,1295,1295
1491362426,1333,1333
1491367227,1365,1365
1491372629,1410,1410
1491378627,1447,1447
1491384027,1492,1492
1491390027,1492,1492
1491396027,1483,1483
1491402027,1463,1463
1491408626,1418,1418
1491412850,1394,1394
1491418228,1362,1362
1491423627,1350,1350
1491428428,1405,1405
1491434426,1408,1408
1491439828,1428,1428
1491445826,1442,1442
1491450627,1392,1392
1491456026,1374,1374
1491460826,1373,1373
1491465027,1368,1368
1491471027,1384,1384
1491475828,1373,1373
1491481828,1354,1354
1491486626,1348,1348
1491492627,1299,1299
1491497427,1326,1326
1491502829,1336,1336
1491508226,1354,1354
1491514226,1388,1388
1491519626,1371,1371
1491524428,1334,1334
1491529826,1315,1315
1491535226,1293,1293
1491540628,1305,1305
1491546025,1317,1317
1491551426,1321,1321
1491556826,1322,1322
1491562227,1310,1310
1491567026,1294,1294
1491572429,1305,1305
1491578426,1295,1295
1491583826,1273,1273
1491588630,1266,1266
1491594027,1272,1272
1491597624,1268,1268
1491603027,1283,1283
1491608426,1328,1328
1491613827,1311,1311
1491619828,1281,1281
1491625226,1272,1272
1491630026,1271,1271
1491633024,1273,1273
1491640224,1283,1283
1491644425,1294,1294
1491648024,1286,1286
1491653426,1277,1277
1491658827,1260,1260
1491663026,1243,1243
1491667827,1228,1228
1491673827,1230,1230
1491678626,1238,1238
1491683426,1270,1270
1491687024,1282,1282
1491690626,1288,1288
1491694224,1306,1306
1491697826,1375,1375
1491702026,1380,1380
1491708027,1395,1395
1491713426,1390,1390
1491718227,1384,1384
1491723626,1431,1431
1491729627,1457,1457
1491735627,1506,1506
1491740426,1494,1494
1491745828,1446,1446
1491751226,1482,1482
1491756627,1462,1462
1491762026,1460,1460
1491767426,1468,1468
1491772226,1505,1505
1491777629,1552,1552
1491783627,1555,1555
1491789028,1580,1580
1491794426,1603,1603
1491800427,1581,1581
1491805226,1582,1582
1491810626,1562,1562
1491816627,1529,1529
1491821426,1495,1495
1491827427,1469,1469
1491832227,1391,1391
