DateTime,AddedIPs,RemovedIPs
1486420228,4,21
1486432827,15,10
1486443027,4,40
1486455029,5,0
1486465229,5,8
1486477230,10,7
1486491628,8,14
1486505427,6,15
1486517427,5,32
1486527626,4,42
1486539026,5,23
1486549829,11,29
1486568429,9,14
1486580428,4,18
1486591828,7,29
1486606227,6,7
1486618226,3,15
1486630829,5,39
1486647629,1,31
1486660828,2,21
1486672828,1,35
1486684228,4,13
1486695026,6,9
1486705827,7,12
1486717229,5,4
1486739428,7,12
1486751427,4,16
1486762228,2,15
1486773028,8,9
1486784428,3,16
1486794027,3,6
1486805429,7,10
1486816229,3,14
1486827032,1,13
1486837228,8,16
1486848028,7,10
1486859427,4,22
1486870227,2,9
1486881027,5,19
1486891829,1,12
1486902028,4,18
1486915228,2,11
1486926028,5,11
1486947027,12,20
1486960826,5,13
1486973430,11,22
1486987228,11,11
1486998031,5,11
1487008828,9,10
1487019629,7,8
1487030428,11,5
1487044227,6,7
1487055627,7,7
1487077228,9,25
1487088028,8,14
1487098228,2,11
1487115028,6,15
1487129429,5,14
1487140226,7,6
1487150429,8,15
1487161228,5,13
1487172628,1,5
1487194228,6,29
1487205026,2,15
1487216426,4,5
1487227827,2,8
1487241029,4,21
1487252429,1,11
1487262629,5,3
1487273428,3,7
1487284228,3,8
1487295627,6,7
1487308826,4,5
1487320229,12,23
1487331028,8,19
1487341829,2,4
1487352028,4,4
1487362828,3,7
1487374227,6,3
1487386226,4,6
1487397626,1,4
1487407830,4,12
1487419229,5,7
1487430030,5,5
1487440228,1,7
1487451027,1,11
1487462428,3,5
1487475628,4,12
1487487632,1,6
1487498429,7,7
1487509228,2,4
1487521830,3,9
1487532029,7,9
1487542828,7,7
1487554226,3,13
1487565026,4,2
1487575826,4,8
1487586029,5,8
1487598029,5,6
1487609429,2,4
1487620228,9,14
1487631028,5,4
1487642426,4,4
1487653227,2,9
1487663427,3,8
1487674229,3,14
1487686829,7,5
1487700028,6,3
1487710828,4,7
1487721627,7,6
1487733033,6,14
1487743226,7,3
1487754028,5,0
