DateTime,Entries,UniqueIPs
1486443027,1196,1196
1486455029,1244,1244
1486465229,1222,1222
1486477230,1203,1203
1486491628,1175,1175
1486505427,1194,1194
1486517427,1099,1099
1486527626,1127,1127
1486539026,1222,1222
1486549829,1210,1210
1486568429,1181,1181
1486580428,1176,1176
1486591828,1192,1192
1486606227,1089,1089
1486618226,1099,1099
1486630829,1049,1049
1486647629,1020,1020
1486660828,957,957
1486672828,965,965
1486684228,945,945
1486695026,992,992
1486705827,1009,1009
1486717229,1057,1057
1486739428,1061,1061
1486751427,1102,1102
1486762228,1143,1143
1486773028,1149,1149
1486784428,1133,1133
1486794027,1116,1116
1486805429,1035,1035
1486816229,1028,1028
1486827032,980,980
1486837228,997,997
1486848028,1103,1103
1486859427,1135,1135
1486870227,1125,1125
1486881027,1134,1134
1486891829,1102,1102
1486902028,1083,1083
1486915228,1111,1111
1486926028,1135,1135
1486947027,1179,1179
1486960826,1182,1182
1486973430,1186,1186
1486987228,1130,1130
1486998031,1082,1082
1487008828,1169,1169
1487019629,1226,1226
1487030428,1275,1275
1487044227,1188,1188
1487055627,1189,1189
1487077228,1078,1078
1487088028,1045,1045
1487098228,1095,1095
1487115028,1230,1230
1487129429,1087,1087
1487140226,1026,1026
1487150429,1067,1067
1487161228,1085,1085
1487172628,1111,1111
1487194228,1256,1256
1487205026,1321,1321
1487216426,1291,1291
1487227827,1289,1289
1487241029,1230,1230
1487252429,1177,1177
1487262629,1160,1160
1487273428,1176,1176
1487284228,1266,1266
1487295627,1260,1260
1487308826,1209,1209
1487320229,1171,1171
1487331028,1188,1188
1487341829,1176,1176
1487352028,1202,1202
1487362828,1332,1332
1487374227,1385,1385
1487386226,1328,1328
1487397626,1271,1271
1487407830,1253,1253
1487419229,1298,1298
1487430030,1236,1236
1487440228,1213,1213
1487451027,1356,1356
1487462428,1371,1371
1487475628,1151,1151
1487487632,1132,1132
1487498429,1205,1205
1487509228,1172,1172
1487521830,1095,1095
1487532029,1098,1098
1487542828,1193,1193
1487554226,1220,1220
1487565026,1197,1197
1487575826,1195,1195
1487586029,1247,1247
1487598029,1208,1208
1487609429,1205,1205
1487620228,1268,1268
1487631028,1260,1260
1487642426,1263,1263
1487653227,1236,1236
1487663427,1317,1317
1487674229,1335,1335
1487686829,1238,1238
1487700028,1165,1165
1487710828,1196,1196
1487721627,1214,1214
1487733033,1156,1156
1487743226,1076,1076
1487754028,1042,1042
1487764828,991,991
1487775028,936,936
1487785827,906,906
1487796028,905,905
1487807427,1021,1021
1487818826,1041,1041
1487829026,1021,1021
1487839829,1041,1041
1487850030,1047,1047
1487861429,1063,1063
1487872228,1053,1053
1487882428,1060,1060
1487893228,1174,1174
1487904627,1189,1189
1487915427,1151,1151
1487926229,1153,1153
1487937030,1178,1178
1487947831,1170,1170
1487959228,1119,1119
1487969428,1132,1132
1487980228,1148,1148
1487991627,1075,1075
1488001826,1033,1033
1488012629,1115,1115
1488023429,1138,1138
1488034230,1243,1243
1488045629,1229,1229
1488055828,1193,1193
1488066028,1238,1238
1488078027,1216,1216
1488088227,1202,1202
1488098430,1242,1242
1488109230,1250,1250
1488120629,1189,1189
1488131429,1196,1196
1488142228,1231,1231
1488152428,1244,1244
1488163828,1244,1244
1488175227,1188,1188
1488185429,1185,1185
1488196229,1206,1206
1488208228,1116,1116
1488218429,1078,1078
1488228028,1071,1071
1488239427,1102,1102
1488250828,1011,1011
1488261026,977,977
1488271829,999,999
1488283229,997,997
1488293429,999,999
1488304829,973,973
1488315629,987,987
1488326428,1016,1016
1488336627,928,928
1488347427,857,857
1488357628,847,847
1488368428,873,873
1488379828,873,873
1488390628,866,866
1488401425,850,850
1488412225,853,853
1488423024,790,790
1488433224,753,753
1488444026,806,806
1488455426,833,833
1488465626,825,825
1488476425,752,752
1488487224,797,797
1488498625,828,828
1488509424,818,818
1488520223,794,794
1488531026,774,774
1488541826,784,784
1488552626,795,795
1488563425,741,741
1488573625,721,721
1488585025,711,711
1488595824,698,698
1488606023,620,620
