DateTime,AddedIPs,RemovedIPs
1490464563,3,0
1490468163,3,0
1490471762,7,0
1490478963,7,0
1490482562,4,0
1490486162,4,8
1490489762,8,9
1490493363,3,10
1490496962,1,1
1490500562,1,0
1490504163,3,17
1490507762,1,8
1490511363,6,0
1490514962,1,13
1490518563,7,0
1490522163,6,44
1490525763,5,3
1490529363,8,10
1490532962,6,0
1490536563,20,10
1490540162,24,19
1490543762,5,22
1490547362,3,0
1490550963,2,15
1490554563,4,0
1490558162,6,14
1490561763,3,0
1490565363,4,34
1490568962,4,2
1490572562,1,8
1490576163,3,11
1490579764,8,9
1490583362,4,4
1490586963,6,0
1490590563,5,48
1490594162,2,11
1490597762,5,0
1490601362,4,18
1490604963,12,14
1490608562,2,18
1490612163,17,0
1490615763,9,9
1490619362,9,49
1490622963,6,19
1490630163,12,23
1490633762,6,24
1490637362,5,9
1490640962,2,6
1490644562,10,2
1490648162,2,0
1490651763,4,10
1490655362,7,16
1490658963,2,15
1490662562,4,17
1490666163,4,13
1490669762,4,0
1490673362,4,24
1490676963,3,11
1490680562,2,0
1490684163,4,13
1490687762,6,32
1490691363,5,0
1490694963,5,25
1490698563,4,24
1490702163,12,0
1490705762,4,32
1490709363,12,10
1490712963,12,13
1490716562,13,16
1490720163,7,5
1490723762,8,0
1490727362,6,14
1490730963,7,0
1490734562,1,17
1490738162,5,0
1490741762,8,22
1490745362,1,10
1490748963,4,19
1490752562,4,0
1490756163,1,28
1490759762,4,0
1490763363,5,19
1490766962,2,13
1490770562,3,11
1490774162,5,0
1490777763,11,12
1490781362,4,18
1490784962,2,23
1490788562,5,33
1490792162,9,51
1490795763,8,7
1490799363,2,16
1490802963,5,11
1490806563,5,11
1490810162,3,0
1490813763,5,19
1490817363,3,3
1490820963,6,0
1490824562,8,14
1490828162,10,0
1490831762,4,14
1490835362,2,0
1490838962,4,21
1490842563,5,0
1490846163,2,23
1490849764,3,0
1490853362,3,23
1490856963,2,0
1490860562,6,12
1490864162,2,13
1490867762,8,8
1490871362,3,5
1490874963,2,11
1490878563,9,26
1490882162,6,15
1490885762,3,0
1490889362,5,20
1490892963,11,11
1490896562,5,0
1490900163,4,6
1490903762,5,10
1490907362,1,11
1490910962,4,0
1490914562,5,5
1490918163,3,0
1490921762,1,18
1490925362,6,14
1490928963,2,6
1490932563,2,6
1490936162,2,9
1490939762,4,11
1490943362,3,0
1490946963,2,12
1490950562,1,25
1490954162,12,10
1490957762,3,0
1490961362,2,10
1490964962,15,29
1490968562,6,0
1490972164,3,7
1490975762,10,11
1490979363,7,28
1490982963,17,4
1490986562,6,0
1490990163,2,3
1490993762,2,0
1490997363,16,23
1491000963,3,0
1491004562,1,4
1491011764,2,19
1491015362,1,7
1491018963,6,0
1491022565,3,12
1491029765,22,27
1491033367,14,16
1491036967,8,0
1491040562,2,5
1491044163,10,7
1491047762,3,14
1491051363,1,5
1491054963,21,8
1491058562,12,17
1491062162,9,19
1491065764,14,7
1491069363,15,0
1491072963,7,2
1491076565,33,11
1491080162,2,15
1491083762,10,8
1491087362,18,3
1491090963,6,0
1491094578,2,14
1491098162,1,0
1491101762,2,12
1491105362,3,5
1491108962,2,6
1491112563,7,7
1491116162,8,0
1491119763,3,12
1491123363,9,14
1491126963,8,8
1491130562,5,0
1491134162,9,12
1491137763,3,8
1491141363,13,0
1491144962,7,14
1491148563,3,0
1491152163,12,14
1491155762,6,0
1491159363,5,11
1491162963,8,0
1491166563,4,8
1491170162,9,0
1491173762,6,8
1491177362,2,8
1491180962,5,13
1491184562,7,20
1491188162,3,0
1491191762,1,6
1491195363,7,10
1491198962,2,14
1491202562,3,0
1491206162,4,7
1491209762,5,13
1491213363,21,11
1491216963,11,8
1491220562,5,0
1491224163,5,4
1491227763,2,6
1491231363,0,10
1491234963,2,5
1491238563,10,17
1491242162,14,0
1491245762,5,8
1491249363,4,10
1491252962,1,0
1491256563,4,14
1491260163,4,13
1491263762,1,0
1491270964,6,0
1491274563,0,5
1491278162,0,10
1491281762,4,0
1491285363,4,7
1491288963,2,17
1491292563,4,10
1491296162,11,6
1491299762,1,15
1491303362,5,0
1491306962,13,9
1491310562,6,0
1491314164,6,6
1491317763,2,3
1491321362,2,10
1491324962,3,0
1491328563,10,7
1491332162,5,12
1491335762,6,4
1491339363,2,12
1491342962,3,7
1491346562,3,4
1491350163,1,1
1491353762,3,5
1491357362,4,0
1491360963,0,6
1491364563,2,13
1491368162,7,0
1491371762,0,26
1491375362,4,0
1491378962,2,0
1491382563,10,16
1491386162,15,11
1491389764,12,42
1491393363,8,10
1491396962,7,68
1491400562,9,2
1491404162,4,1
1491407763,17,0
1491411363,4,17
1491414963,3,0
1491418562,2,17
1491422162,2,8
1491425762,1,42
1491429362,4,58
1491432962,3,20
1491440163,1,32
1491443762,2,23
1491450963,1,29
1491454562,3,10
1491458162,2,0
1491461762,3,6
1491465363,5,37
1491468962,6,24
1491472562,3,0
1491476162,4,32
1491479763,4,0
1491486963,12,19
1491490562,12,7
1491494163,8,4
1491497762,7,0
1491501362,3,2
1491504963,1,9
1491508562,2,0
1491512163,2,8
1491515763,5,0
1491519363,4,7
1491522962,4,5
1491526562,4,6
1491530163,5,0
1491533763,2,16
1491540962,5,10
1491544563,4,15
1491548162,2,33
1491551762,1,0
1491555362,3,36
1491558962,5,15
1491562562,14,12
1491566163,2,6
1491569763,2,0
1491573362,2,10
1491576962,7,11
1491580563,6,7
1491584162,8,0
1491587763,6,14
1491594963,6,7
1491598562,0,22
1491602162,2,0
1491605763,4,16
1491609362,2,10
1491612962,3,14
1491616563,3,0
1491620163,1,16
1491623762,0,14
1491627362,3,15
1491630962,0,29
1491634562,2,14
1491638162,1,14
1491641762,8,40
1491645362,2,120
1491648962,7,0
1491652563,3,0
1491656163,1,0
1491659763,4,0
1491663363,4,0
1491666963,4,0
1491670563,1,0
1491674162,1,0
1491677763,3,0
1491684962,4,0
1491688562,5,0
1491692163,8,0
1491695762,1,0
1491702963,4,0
1491710163,3,0
1491713762,4,0
1491717362,2,0
1491720963,5,0
1491724563,7,0
1491728162,5,0
1491731763,2,0
1491735362,13,0
1491738962,1,0
1491742562,6,0
1491746162,19,0
1491749762,2,0
1491753362,18,0
1491756963,15,0
1491760562,6,0
1491764163,3,0
1491767763,16,0
1491771362,10,0
1491774962,12,0
1491778562,22,0
1491782163,7,0
1491785763,6,0
1491789363,3,0
1491792963,7,0
1491796562,5,0
1491800162,9,0
1491803762,17,0
1491807363,6,0
1491810963,2,0
1491814563,7,0
1491818162,6,0
1491821762,23,0
1491825363,18,0
1491828962,3,0
1491832562,4,0
1491836162,3,0
1491839762,5,0
1491843362,1,0
1491846963,2,0
1491850563,2,0
1491854163,4,0
1491857762,1,0
1491861362,3,0
1491864963,6,0
1491868563,1,0
1491872163,1,0
1491875765,1,0
1491879362,5,0
1491886562,5,0
1491893762,4,0
1491897363,4,0
1491900962,8,0
1491904562,10,0
1491908162,36,0
1491911762,10,0
1491915362,1,0
1491918962,5,0
1491922562,1,0
1491926163,4,0
1491929763,5,0
1491933363,4,0
1491936962,5,0
1491940562,7,0
1491947763,5,0
1491951362,1,0
1491954962,1,0
1491958562,1,0
1491962162,5,0
1491965762,4,0
1491969362,1,0
1491972963,5,0
1491976563,3,0
1491980162,6,0
1491983762,2,0
1491987362,4,0
1491990962,6,0
1491994562,7,0
1491998162,6,0
1492001763,9,0
1492005362,5,0
1492008963,3,0
1492012562,2,0
1492016163,7,0
1492019763,3,0
1492023363,3,0
1492026963,5,0
1492030563,5,0
1492034162,13,0
1492037762,7,0
1492041362,2,0
1492044962,3,0
1492048563,2,0
1492052163,3,0
1492059363,4,0
1492062962,1,0
1492066563,8,0
1492070162,3,0
1492073763,1,0
1492077362,2,0
1492080962,10,7
1492084562,14,10
1492088163,5,3
1492091763,16,4
1492095362,4,15
1492098963,4,2
1492102563,7,17
1492106162,4,0
1492109762,1,12
1492113362,6,0
1492116963,2,6
1492120562,8,0
1492124162,6,11
1492127763,4,2
1492131363,0,1
1492134962,6,0
1492138562,2,9
1492142162,1,0
1492145763,1,4
1492149363,6,5
1492152962,8,0
1492156563,10,13
1492160163,5,0
1492163762,26,4
1492167362,16,30
1492170962,13,11
1492174563,9,3
1492178162,5,3
1492181762,4,0
1492185362,13,11
1492188963,9,11
1492192562,10,0
1492196162,4,6
1492199763,3,6
1492203363,7,0
1492206963,5,9
1492210563,6,0
1492214162,1,1
1492217763,5,3
1492221363,6,15
1492224963,7,0
1492228563,9,7
1492232162,4,5
1492235762,5,10
1492239362,6,7
1492242962,2,6
1492246562,5,0
1492250163,5,12
1492253762,3,9
1492257363,5,2
1492260963,3,0
1492264562,4,7
1492268162,3,7
1492271762,3,6
1492275363,6,19
1492278963,17,0
1492282562,16,14
1492286162,17,0
1492289763,6,12
1492293363,9,0
1492296962,5,8
1492300563,3,2
1492304163,7,8
1492307762,7,2
1492311362,3,5
1492314962,4,0
1492318563,9,6
1492322162,3,0
