DateTime,Entries,UniqueIPs
1490525763,2358,2375
1490529363,2358,2375
1490532962,2366,2383
1490536563,2377,2394
1490540162,2406,2423
1490543762,2400,2417
1490547362,2404,2421
1490550963,2391,2408
1490554563,2396,2413
1490558162,2399,2416
1490561763,2402,2419
1490565363,2386,2402
1490568962,2391,2407
1490572562,2388,2404
1490576163,2383,2399
1490579764,2387,2403
1490583362,2387,2403
1490586963,2394,2410
1490590563,2390,2406
1490594162,2380,2396
1490597762,2388,2404
1490601362,2383,2398
1490604963,2404,2419
1490608562,2390,2405
1490612163,2411,2426
1490615763,2411,2426
1490619362,2417,2432
1490622963,2414,2429
1490626563,2415,2430
1490630163,2421,2436
1490633762,2417,2432
1490637362,2416,2431
1490640962,2407,2422
1490644562,2414,2430
1490648162,2409,2425
1490651763,2414,2430
1490655362,2419,2435
1490658963,2413,2429
1490662562,2411,2427
1490666163,2408,2424
1490669762,2416,2432
1490673362,2408,2424
1490676963,2410,2426
1490680562,2401,2417
1490684163,2406,2422
1490687762,2397,2413
1490691363,2394,2410
1490694963,2400,2416
1490698563,2391,2407
1490702163,2415,2432
1490705762,2407,2424
1490709363,2419,2436
1490712963,2423,2440
1490716562,2422,2439
1490720163,2435,2452
1490723762,2433,2450
1490727362,2442,2459
1490730963,2442,2458
1490734562,2443,2459
1490738162,2427,2443
1490741762,2433,2449
1490745362,2427,2443
1490748963,2431,2447
1490752562,2429,2445
1490756163,2426,2442
1490759762,2432,2448
1490763363,2430,2445
1490766962,2426,2441
1490770562,2412,2427
1490774162,2417,2432
1490777763,2420,2435
1490781362,2403,2418
1490784962,2402,2417
1490788562,2399,2414
1490792162,2409,2424
1490795763,2388,2403
1490799363,2369,2384
1490802963,2374,2389
1490806563,2375,2390
1490810162,2367,2382
1490813763,2372,2387
1490817363,2366,2381
1490820963,2374,2389
1490824562,2358,2372
1490828162,2371,2385
1490831762,2373,2387
1490835362,2376,2390
1490838962,2376,2390
1490842563,2382,2396
1490846163,2384,2398
1490849764,2382,2396
1490853362,2379,2393
1490856963,2375,2389
1490860562,2376,2390
1490864162,2354,2368
1490867762,2367,2381
1490871362,2356,2370
1490874963,2338,2352
1490878563,2338,2353
1490882162,2345,2360
1490885762,2332,2347
1490889362,2332,2347
1490892963,2340,2355
1490896562,2346,2361
1490900163,2349,2364
1490903762,2354,2369
1490907362,2341,2356
1490910962,2346,2362
1490914562,2348,2364
1490918163,2351,2367
1490921762,2349,2365
1490925362,2337,2353
1490928963,2334,2350
1490932563,2327,2343
1490936162,2334,2350
1490939762,2330,2346
1490943362,2331,2347
1490946963,2336,2352
1490950562,2322,2338
1490954162,2339,2355
1490957762,2332,2348
1490961362,2310,2326
1490964962,2313,2329
1490968562,2320,2336
1490972164,2313,2328
1490975762,2325,2340
1490979363,2330,2345
1490982963,2341,2356
1490986562,2349,2364
1490990163,2333,2348
1490993762,2335,2350
1490997363,2337,2352
1491000963,2340,2355
1491004562,2341,2355
1491008162,2342,2356
1491011764,2331,2345
1491015362,2334,2348
1491018963,2337,2351
1491022565,2329,2343
1491029765,2347,2361
1491033367,2353,2367
1491036967,2367,2381
1491040562,2352,2366
1491044163,2366,2380
1491047762,2368,2382
1491051363,2358,2372
1491054963,2391,2405
1491058562,2401,2415
1491062162,2396,2410
1491065764,2409,2423
1491069363,2426,2441
1491072963,2432,2447
1491076565,2456,2471
1491080162,2458,2473
1491083762,2459,2474
1491087362,2477,2493
1491090963,2480,2496
1491094578,2469,2484
1491098162,2465,2480
1491101762,2469,2484
1491105362,2453,2468
1491108962,2451,2466
1491112563,2460,2475
1491116162,2464,2479
1491119763,2459,2474
1491123363,2454,2469
1491126963,2461,2476
1491130562,2462,2477
1491134162,2472,2487
1491137763,2453,2468
1491141363,2468,2483
1491144962,2461,2475
1491148563,2467,2481
1491152163,2473,2487
1491155762,2483,2497
1491159363,2470,2484
1491162963,2478,2492
1491166563,2474,2488
1491170162,2484,2498
1491173762,2477,2491
1491177362,2479,2493
1491180962,2463,2477
1491184562,2465,2479
1491188162,2470,2484
1491191762,2463,2476
1491195363,2464,2477
1491198962,2466,2479
1491202562,2451,2464
1491206162,2456,2469
1491209762,2449,2462
1491213363,2473,2486
1491216963,2444,2456
1491220562,2443,2455
1491224163,2449,2461
1491227763,2445,2457
1491231363,2426,2438
1491234963,2424,2436
1491238563,2437,2449
1491242162,2451,2463
1491245762,2455,2467
1491249363,2452,2464
1491252962,2444,2456
1491256563,2448,2460
1491260163,2440,2452
1491263762,2437,2449
1491267362,2438,2450
1491270964,2442,2454
1491274563,2428,2440
1491278162,2418,2430
1491281762,2424,2436
1491285363,2425,2437
1491288963,2406,2418
1491292563,2409,2421
1491296162,2418,2430
1491299762,2410,2422
1491303362,2398,2409
1491306962,2404,2415
1491310562,2411,2422
1491314164,2408,2419
1491317763,2398,2409
1491321362,2391,2401
1491324962,2378,2387
1491328563,2389,2398
1491332162,2387,2395
1491335762,2391,2399
1491339363,2380,2388
1491342962,2374,2382
1491346562,2373,2381
1491350163,2365,2373
1491353762,2358,2366
1491357362,2363,2371
1491360963,2349,2357
1491364563,2346,2354
1491368162,2349,2357
1491371762,2340,2348
1491375362,2345,2353
1491378962,2344,2352
1491382563,2345,2353
1491386162,2353,2362
1491389764,2370,2379
1491393363,2374,2383
1491396962,2358,2367
1491400562,2368,2377
1491404162,2369,2378
1491407763,2384,2393
