DateTime,Entries,UniqueIPs
1490536563,299,299
1490540162,296,296
1490543762,298,298
1490547362,297,297
1490550963,299,299
1490554563,299,299
1490558162,298,298
1490561763,298,298
1490565363,300,300
1490568962,300,300
1490572562,300,300
1490576163,299,299
1490579764,299,299
1490583362,299,299
1490586963,299,299
1490590563,299,299
1490594162,300,300
1490597762,299,299
1490601362,298,298
1490604963,298,298
1490608562,299,299
1490612163,298,298
1490615763,297,297
1490619362,294,294
1490622963,295,295
1490626563,296,296
1490630163,297,297
1490633762,297,297
1490637362,298,298
1490640962,297,297
1490644562,298,298
1490648162,299,299
1490651763,299,299
1490655362,299,299
1490658963,299,299
1490662562,298,298
1490666163,297,297
1490669762,297,297
1490673362,297,297
1490676963,298,298
1490680562,298,298
1490684163,296,296
1490687762,298,298
1490691363,296,296
1490694963,297,297
1490698563,297,297
1490702163,298,298
1490705762,298,298
1490709363,298,298
1490712963,299,299
1490716562,300,300
1490720163,299,299
1490723762,299,299
1490727362,300,300
1490730963,299,299
1490734562,300,300
1490738162,299,299
1490741762,299,299
1490745362,299,299
1490748963,297,297
1490752562,297,297
1490756163,299,299
1490759762,298,298
1490763363,298,298
1490766962,298,298
1490770562,299,299
1490774162,299,299
1490777763,299,299
1490781362,299,299
1490784962,299,299
1490788562,298,298
1490792162,298,298
1490795763,295,295
1490799363,297,297
1490802963,296,296
1490806563,296,296
1490810162,297,297
1490813763,295,295
1490817363,295,295
1490820963,297,297
1490824562,298,298
1490828162,299,299
1490831762,299,299
1490835362,300,300
1490838962,300,300
1490842563,294,294
1490846163,294,294
1490849764,295,295
1490853362,296,296
1490856963,297,297
1490860562,295,295
1490864162,297,297
1490867762,296,296
1490871362,295,295
1490874963,296,296
1490878563,300,300
1490882162,300,300
1490885762,298,298
1490889362,297,297
1490892963,298,298
1490896562,296,296
1490900163,296,296
1490903762,297,297
1490907362,297,297
1490910962,298,298
1490914562,300,300
1490918163,298,298
1490921762,299,299
1490925362,298,298
1490928963,295,295
1490932563,296,296
1490936162,295,295
1490939762,295,295
1490943362,295,295
1490946963,296,296
1490950562,297,297
1490954162,296,296
1490957762,298,298
1490961362,299,299
1490964962,297,297
1490968562,297,297
1490972164,297,297
1490975762,296,296
1490979363,297,297
1490982963,296,296
1490986562,296,296
1490990163,299,299
1490993762,296,296
1490997363,297,297
1491000963,299,299
1491004562,300,300
1491008162,300,300
1491011764,299,299
1491015362,295,295
1491018963,296,296
1491022565,296,296
1491029765,294,294
1491033367,295,295
1491036967,294,294
1491040562,298,298
1491044163,299,299
1491047762,297,297
1491051363,298,298
1491054963,299,299
1491058562,298,298
1491062162,298,298
1491065764,299,299
1491069363,297,297
1491072963,298,298
1491076565,297,297
1491080162,298,298
1491083762,296,296
1491087362,299,299
1491090963,300,300
1491094578,300,300
1491098162,299,299
1491101762,298,298
1491105362,297,297
1491108962,298,298
1491112563,298,298
1491116162,297,297
1491119763,297,297
1491123363,299,299
1491126963,297,297
1491130562,297,297
1491134162,297,297
1491137763,297,297
1491141363,296,296
1491144962,298,298
1491148563,298,298
1491152163,299,299
1491155762,297,297
1491159363,298,298
1491162963,298,298
1491166563,299,299
1491170162,298,298
1491173762,298,298
1491177362,299,299
1491180962,299,299
1491184562,297,297
1491188162,299,299
1491191762,298,298
1491195363,298,298
1491198962,297,297
1491202562,298,298
1491206162,299,299
1491209762,298,298
1491213363,299,299
1491216963,298,298
1491220562,294,294
1491224163,296,296
1491227763,297,297
1491231363,295,295
1491234963,297,297
1491238563,296,296
1491242162,297,297
1491245762,300,300
1491249363,299,299
1491252962,299,299
1491256563,300,300
1491260163,299,299
1491263762,299,299
1491267362,299,299
1491270964,299,299
1491274563,298,298
1491278162,296,296
1491281762,297,297
1491285363,298,298
1491288963,297,297
1491292563,295,295
1491296162,295,295
1491299762,297,297
1491303362,297,297
1491306962,293,293
1491310562,295,295
1491314164,295,295
1491317763,296,296
1491321362,294,294
1491324962,294,294
1491328563,298,298
1491332162,297,297
1491335762,295,295
1491339363,295,295
