DateTime,Entries,UniqueIPs
1489921220,272,274
1489924823,258,259
1489928420,267,268
1489932625,267,268
1489938023,261,262
1489942822,248,249
1489946421,256,257
1489949422,251,252
1489953623,245,246
1489957220,254,255
1489960823,262,263
1489964421,246,247
1489967423,257,258
1489971622,245,246
1489975220,251,252
1489978823,257,258
1489982421,252,253
1489986022,245,246
1489989020,255,256
1489992622,259,260
1490000420,238,239
1490007624,228,229
1490011222,229,230
1490014222,238,239
1490017824,236,237
1490025020,243,244
1490029222,240,241
1490032820,240,242
1490036424,247,249
1490040020,250,252
1490043622,249,251
1490047219,242,244
1490050221,240,242
1490054422,235,237
1490058020,246,248
1490065219,241,243
1490068822,239,241
1490076019,235,237
1490079623,238,241
1490083220,245,248
1490086822,243,246
1490089820,251,254
1490094023,253,257
1490097621,264,268
1490101222,258,262
1490104220,257,261
1490108422,249,253
1490112021,256,260
1490119220,247,252
1490122222,246,251
1490129420,241,246
1490133022,240,245
1490136621,242,247
1490143820,242,246
1490148024,243,247
1490151620,248,252
1490155222,243,247
1490158820,252,256
1490161822,261,265
1490169020,254,258
1490172622,254,258
1490176220,257,261
1490179823,261,265
1490184023,249,253
1490187620,253,256
1490191222,254,256
1490194821,264,266
1490198422,265,268
1490202020,260,263
1490205623,267,271
1490209220,253,257
1490212822,261,265
1490216420,270,274
1490220022,262,266
1490223620,265,269
1490227223,276,280
1490230821,276,280
1490234422,281,285
1490238020,280,283
1490241024,271,274
1490248220,272,275
1490251822,262,265
1490255421,271,274
1490259023,277,280
1490263223,255,259
1490266821,266,270
1490270422,275,279
1490274021,276,280
1490277022,272,276
1490281223,274,278
1490284820,286,290
1490288422,277,280
1490295020,274,277
1490298622,284,287
1490305820,276,279
1490309423,275,278
1490313020,274,277
1490316622,273,276
1490320221,272,275
1490323824,275,278
1490327419,269,272
1490331022,268,271
1490334620,274,277
1490338222,272,275
1490341820,272,275
1490349020,262,264
1490352623,272,274
1490356823,256,258
1490360420,258,260
1490363423,266,268
1490367021,268,270
1490370623,277,279
1490374823,249,250
1490378420,259,260
1490381422,264,265
1490385020,264,265
1490388622,261,262
1490392221,267,268
1490395827,260,261
1490399421,257,258
1490403023,257,259
1490406621,261,263
1490410222,258,260
1490413822,265,267
1490417422,262,264
1490421020,256,258
1490424622,259,261
1490428221,266,268
1490431822,269,271
1490435421,277,279
1490439023,278,280
1490443249,267,269
1490446822,273,275
1490449823,270,273
1490454022,261,264
1490457621,266,269
1490460622,274,277
1490464223,279,282
1490467822,267,270
1490471421,261,264
1490475023,261,264
1490478623,270,273
1490481622,274,277
1490485824,269,272
1490489420,280,283
1490493624,256,258
1490497221,260,263
1490500823,257,261
1490504420,257,261
1490507422,255,259
1490511021,262,266
1490514622,254,257
1490518220,264,267
1490521823,250,253
1490525421,247,251
1490529622,251,255
1490533221,255,259
1490536223,243,246
1490539821,252,255
1490543423,262,265
1490547020,261,264
1490550622,262,265
1490554822,268,271
1490558420,269,273
1490562023,276,281
1490565021,276,281
1490568622,278,283
1490572220,283,288
1490576423,274,278
1490580021,279,283
1490583022,274,278
1490586621,284,288
