DateTime,AddedIPs,RemovedIPs
1491072977,0,2
1491073456,2,0
1491074896,0,1
1491075374,1,0
1491076341,0,2
1491077297,2,1
1491077778,1,0
1491079219,0,1
1491079696,1,2
1491080175,2,0
1491081133,0,1
1491081873,1,1
1491082340,1,0
1491082815,0,1
1491083777,1,0
1491084263,0,1
1491084734,1,0
1491085216,0,2
1491085697,2,0
1491086178,0,1
1491086654,1,0
1491088573,0,2
1491089058,2,1
1491089538,1,0
1491090021,0,1
1491090493,1,2
1491090974,2,0
1491091458,1,1
1491092416,0,1
1491092896,1,0
1491093376,0,1
1491093898,1,0
1491095066,7,12
1491095533,8,11
1491096020,11,5
1491096495,5,12
1491096984,9,9
1491097457,6,7
1491097933,14,11
1491098906,20,24
1491099373,9,4
1491100099,6,6
1491100573,2,2
1491101067,2,0
1491101545,1,0
1491103695,0,1
1491104173,1,0
1491111380,0,1
1491113078,1,0
1491113534,0,1
1491114021,1,0
1491115453,0,1
1491115936,1,0
1491116660,0,1
1491117134,1,0
1491118579,0,1
1491119059,1,0
1491122900,0,1
1491124816,1,1
1491125776,0,1
1491126256,1,0
1491127954,0,1
1491128423,1,0
1491129375,0,1
1491129853,1,0
1491130826,0,1
1491131537,1,0
1491137774,0,1
1491138550,1,0
1491144735,0,1
1491145455,1,0
1491146893,0,1
1491147374,1,0
1491150017,0,1
1491150974,1,0
1491151459,0,1
1491151935,1,0
1491152897,0,1
1491153426,1,0
1491155776,0,1
1491156258,1,0
1491157218,0,1
1491157958,1,0
1491158415,0,1
1491158893,1,0
1491168738,0,1
1491169215,1,0
1491171616,0,1
1491172099,1,0
1491173535,0,1
1491174734,1,0
1491180272,1,0
1491181700,6,12
1491182180,5,6
1491182655,10,8
1491183147,9,4
1491183615,4,2
1491184099,12,14
1491184574,20,19
1491184906,8,7
1491185295,4,3
1491185773,4,5
1491186253,7,5
1491186738,1,3
1491187217,2,0
1491187699,0,2
1491188174,1,0
1491188917,0,1
1491189871,1,0
1491190335,0,1
1491190817,1,0
1491193219,0,1
1491193699,1,0
1491194180,0,1
1491194655,1,0
1491195136,0,1
1491196100,1,0
1491196585,0,1
1491197058,1,0
1491198496,0,1
1491198973,1,0
1491200655,0,1
1491201134,1,0
1491204018,0,1
1491205458,0,3
1491205934,2,0
1491206655,1,0
1491207134,0,1
1491207615,1,0
1491208098,0,1
1491208580,1,0
1491210494,0,1
1491211223,1,0
1491213140,0,1
1491214101,1,0
1491215305,0,1
1491215774,1,0
1491216255,0,1
1491216733,1,0
1491224658,0,1
1491226095,1,0
1491226573,0,1
1491227059,1,0
1491227534,0,1
1491228254,1,0
1491228734,1,0
1491232336,0,1
1491233295,1,0
1491233783,0,1
1491234733,1,0
1491238098,0,1
1491238575,1,0
1491240022,1,0
1491244334,0,1
1491244822,1,0
1491245293,0,1
1491246255,1,0
1491248187,0,1
1491248659,1,1
1491251058,0,1
1491251534,2,0
1491252015,0,1
1491252502,1,0
1491254423,0,1
1491254898,1,0
1491255377,0,1
1491255855,1,0
1491256340,0,1
1491258262,1,0
1491262105,0,1
1491262583,1,0
1491263533,0,1
1491264086,1,1
1491264496,0,1
1491264979,1,0
1491266896,1,0
1491268102,4,10
1491268574,7,7
1491269053,9,7
1491269534,9,15
1491270023,9,8
1491270503,12,14
1491270974,14,9
1491271456,5,6
1491271938,7,10
1491272417,10,9
1491272894,2,4
1491273375,4,0
1491280579,0,2
1491281054,2,0
1491283693,0,2
1491284177,2,0
1491286336,0,2
1491286815,2,0
1491291624,0,2
1491292097,2,0
1491296657,0,2
1491297136,2,0
1491300973,0,2
1491301460,2,0
1491306733,0,2
1491307698,2,0
1491312260,1,1
1491313217,0,2
1491313693,2,0
1491315869,1,1
1491319698,1,1
1491325700,0,1
1491326173,1,0
1491329535,0,2
1491330015,2,0
1491330495,0,1
1491330973,0,1
1491331458,2,2
1491331933,0,2
1491332896,2,0
1491333855,1,0
1491340609,1,2
1491342518,2,1
1491343939,1,0
1491344663,1,2
1491347335,2,0
1491351626,0,1
1491352094,0,2
1491352574,2,0
1491353053,0,2
1491353541,3,0
1491354029,1,3
1491354496,11,11
1491354999,6,6
1491355461,11,13
1491355934,11,9
1491356417,7,4
1491356893,6,15
1491357381,16,15
1491357854,7,4
1491358334,4,9
1491358815,9,6
1491359301,2,4
1491359777,3,2
1491360253,1,0
1491382577,0,1
1491383060,1,0
1491395302,1,0
1491397699,0,1
1491400600,0,2
1491401061,2,0
1491402253,1,2
1491402738,2,0
1491404175,0,2
1491404656,2,0
1491405141,0,2
1491405615,2,0
1491414974,0,2
1491415459,1,0
1491419538,1,0
1491421457,1,1
1491423616,0,2
1491424589,2,0
1491425059,1,1
1491426977,0,2
1491427454,2,0
1491428419,0,1
1491428901,1,2
1491429374,1,0
1491429857,1,0
1491431295,0,2
1491431773,2,0
1491434895,0,2
1491435373,2,0
1491438254,0,1
1491438734,1,0
1491440174,0,2
1491440912,8,5
1491441378,4,6
1491441854,11,13
1491442336,13,10
1491442817,9,11
1491443300,10,7
1491443775,6,13
1491444257,11,13
1491444739,13,9
1491445218,7,5
1491445693,3,3
1491446175,3,3
1491446657,1,0
1491479777,0,1
1491482658,1,0
1491499937,2,2
1491523938,1,1
1491524415,1,0
1491527299,7,6
1491527775,4,10
1491528253,8,11
1491528742,10,9
1491529218,10,9
1491529695,13,13
1491530174,10,13
1491530663,11,12
1491531136,10,8
1491531615,3,0
1491532097,2,4
1491532580,1,0
1491542894,0,1
1491543374,1,0
1491545055,0,1
1491546020,1,0
1491564977,0,2
1491565455,1,0
1491566432,1,0
1491593056,0,1
1491593534,1,0
1491613711,8,8
1491614178,3,5
1491614661,9,6
1491615138,8,9
1491615626,3,5
1491616099,13,17
1491616577,16,11
1491617060,10,16
1491617547,8,7
1491618017,9,5
1491618497,4,4
1491618977,3,0
1491619466,0,2
1491638175,0,1
1491638903,1,0
1491664334,0,2
1491664818,1,0
1491665293,1,0
1491697934,1,0
1491699854,1,6
1491700337,8,6
1491700817,9,7
1491701297,6,8
1491701795,8,7
1491702255,7,9
1491702737,5,9
1491703697,13,17
1491704175,5,5
1491704657,8,4
1491705618,1,2
1491706100,1,0
1491738253,1,1
1491741865,1,1
1491745701,0,2
1491746174,1,0
1491746655,1,0
1491756494,1,1
1491760337,1,1
1491766335,1,3
1491766817,1,0
1491786511,6,13
1491786978,6,8
1491787458,11,11
1491787935,11,8
1491788449,9,9
1491788894,7,9
1491789379,9,8
1491789856,8,10
1491790353,8,7
1491790817,3,3
1491791298,8,7
1491791775,1,2
1491792272,2,1
1491792733,1,0
1491841455,1,0
1491841939,0,1
1491844821,0,2
1491845336,2,0
1491856336,1,1
1491859937,1,1
1491864736,0,1
1491865695,1,0
1491872656,3,4
1491873133,8,9
1491873618,10,9
1491874094,7,7
1491874575,8,9
1491875053,10,7
1491875546,13,17
1491876256,12,18
1491876734,7,7
1491877216,6,6
1491877695,2,1
1491878181,0,1
1491878657,2,0
1491887300,0,1
1491888253,1,0
1491915144,1,1
1491917058,0,2
1491917533,3,1
1491918979,1,1
1491955698,1,1
1491959301,10,11
1491959774,5,9
1491960254,9,7
1491960733,9,11
1491961217,10,14
1491961699,17,11
1491962174,7,12
1491962898,8,12
1491963380,10,3
1491963868,5,5
1491964340,2,2
1491964814,1,1
1491965296,1,2
1491965775,1,0
1491983293,1,3
1491983774,1,0
1492008743,1,2
1492009454,1,0
1492021694,1,0
1492031075,0,1
1492045701,2,5
1492046173,4,6
1492046655,8,11
1492047134,11,9
1492047619,8,4
1492048093,10,17
1492048579,15,11
1492049056,10,8
1492049542,7,8
1492050741,12,8
1492051216,4,3
1492051699,1,3
1492052174,3,1
1492064178,0,1
1492064654,1,0
1492066580,0,1
1492067300,1,0
1492086030,0,1
1492086493,1,0
1492093226,0,1
1492093700,1,0
1492103305,1,1
1492106660,1,1
1492112420,0,1
1492112901,1,0
1492114817,1,0
1492115295,0,1
1492132104,6,8
1492132576,6,5
1492133060,10,14
1492133542,7,7
1492134019,7,15
1492134501,15,11
1492134975,15,15
1492135466,6,11
1492135934,8,6
1492136425,3,4
1492136894,4,4
1492137378,2,1
1492153962,0,1
1492154416,1,0
1492189698,1,1
1492201936,1,1
1492205778,1,1
1492214175,0,1
1492214665,1,0
1492218514,5,7
1492218976,7,9
1492219455,8,6
1492219939,4,12
1492220418,8,4
1492220899,7,8
1492221374,9,10
1492222097,13,10
1492222574,8,6
1492223057,9,5
1492223540,3,4
1492224020,3,1
1492224495,1,0
1492236983,0,1
1492237454,1,0
1492255248,0,1
1492255694,1,0
1492260977,1,1
1492264575,1,1
1492269861,1,0
1492270335,1,2
1492296254,0,1
1492296737,1,0
1492304655,1,4
1492305139,8,9
1492305615,12,12
1492306097,7,9
1492306573,9,8
1492307054,6,4
1492307534,8,12
1492308501,12,11
1492308975,5,13
1492309695,9,10
1492310173,2,6
1492310657,1,1
1492311140,2,0
1492322655,0,1
1492323375,1,0
1492334179,0,1
1492338029,1,0
