DateTime,Entries,UniqueIPs
1491070108,5212,5212
1491070578,5213,5213
1491071055,5212,5212
1491071534,5213,5213
1491072977,5211,5211
1491073456,5213,5213
1491074896,5212,5212
1491075374,5213,5213
1491076341,5211,5211
1491077297,5212,5212
1491077778,5213,5213
1491079219,5212,5212
1491079696,5211,5211
1491080175,5213,5213
1491081133,5212,5212
1491081873,5212,5212
1491082340,5213,5213
1491082815,5212,5212
1491083777,5213,5213
1491084263,5212,5212
1491084734,5213,5213
1491085216,5211,5211
1491085697,5213,5213
1491086178,5212,5212
1491086654,5213,5213
1491088573,5211,5211
1491089058,5212,5212
1491089538,5213,5213
1491090021,5212,5212
1491090493,5211,5211
1491090974,5213,5213
1491091458,5213,5213
1491092416,5212,5212
1491092896,5213,5213
1491093376,5212,5212
1491093898,5213,5213
1491095066,5208,5208
1491095533,5205,5205
1491096020,5211,5211
1491096495,5204,5204
1491096984,5204,5204
1491097457,5203,5203
1491097933,5206,5206
1491098906,5202,5202
1491099373,5207,5207
1491100099,5207,5207
1491100573,5207,5207
1491101067,5209,5209
1491101545,5210,5210
1491103695,5209,5209
1491104173,5210,5210
1491111380,5209,5209
1491113078,5210,5210
1491113534,5209,5209
1491114021,5210,5210
1491115453,5209,5209
1491115936,5210,5210
1491116660,5209,5209
1491117134,5210,5210
1491118579,5209,5209
1491119059,5210,5210
1491122900,5209,5209
1491124816,5209,5209
1491125776,5208,5208
1491126256,5209,5209
1491127954,5208,5208
1491128423,5209,5209
1491129375,5208,5208
1491129853,5209,5209
1491130826,5208,5208
1491131537,5209,5209
1491137774,5208,5208
1491138550,5209,5209
1491144735,5208,5208
1491145455,5209,5209
1491146893,5208,5208
1491147374,5209,5209
1491150017,5208,5208
1491150974,5209,5209
1491151459,5208,5208
1491151935,5209,5209
1491152897,5208,5208
1491153426,5209,5209
1491155776,5208,5208
1491156258,5209,5209
1491157218,5208,5208
1491157958,5209,5209
1491158415,5208,5208
1491158893,5209,5209
1491168738,5208,5208
1491169215,5209,5209
1491171616,5208,5208
1491172099,5209,5209
1491173535,5208,5208
1491174734,5209,5209
1491180272,5210,5210
1491181700,5204,5204
1491182180,5203,5203
1491182655,5205,5205
1491183147,5210,5210
1491183615,5212,5212
1491184099,5210,5210
1491184574,5211,5211
1491184906,5212,5212
1491185295,5213,5213
1491185773,5212,5212
1491186253,5214,5214
1491186738,5212,5212
1491187217,5214,5214
1491187699,5212,5212
1491188174,5213,5213
1491188917,5212,5212
1491189871,5213,5213
1491190335,5212,5212
1491190817,5213,5213
1491193219,5212,5212
1491193699,5213,5213
1491194180,5212,5212
1491194655,5213,5213
1491195136,5212,5212
1491196100,5213,5213
1491196585,5212,5212
1491197058,5213,5213
1491198496,5212,5212
1491198973,5213,5213
1491200655,5212,5212
1491201134,5213,5213
1491204018,5212,5212
1491205458,5209,5209
1491205934,5211,5211
1491206655,5212,5212
1491207134,5211,5211
1491207615,5212,5212
1491208098,5211,5211
1491208580,5212,5212
1491210494,5211,5211
1491211223,5212,5212
1491213140,5211,5211
1491214101,5212,5212
1491215305,5211,5211
1491215774,5212,5212
1491216255,5211,5211
1491216733,5212,5212
1491224658,5211,5211
1491226095,5212,5212
1491226573,5211,5211
1491227059,5212,5212
1491227534,5211,5211
1491228254,5212,5212
1491228734,5213,5213
1491232336,5212,5212
1491233295,5213,5213
1491233783,5212,5212
1491234733,5213,5213
1491238098,5212,5212
1491238575,5213,5213
1491240022,5214,5214
1491244334,5213,5213
1491244822,5214,5214
1491245293,5213,5213
1491246255,5214,5214
1491248187,5213,5213
1491248659,5213,5213
1491251058,5212,5212
1491251534,5214,5214
1491252015,5213,5213
1491252502,5214,5214
1491254423,5213,5213
1491254898,5214,5214
1491255377,5213,5213
1491255855,5214,5214
1491256340,5213,5213
1491258262,5214,5214
1491262105,5213,5213
1491262583,5214,5214
1491263533,5213,5213
1491264086,5213,5213
1491264496,5212,5212
1491264979,5213,5213
1491266896,5214,5214
1491268102,5208,5208
1491268574,5208,5208
1491269053,5210,5210
1491269534,5204,5204
1491270023,5205,5205
1491270503,5203,5203
1491270974,5208,5208
1491271456,5207,5207
1491271938,5204,5204
1491272417,5205,5205
1491272894,5203,5203
1491273375,5207,5207
1491280579,5205,5205
1491281054,5207,5207
1491283693,5205,5205
1491284177,5207,5207
1491286336,5205,5205
1491286815,5207,5207
1491291624,5205,5205
1491292097,5207,5207
1491296657,5205,5205
1491297136,5207,5207
1491300973,5205,5205
1491301460,5207,5207
1491306733,5205,5205
1491307698,5207,5207
1491312260,5207,5207
1491313217,5205,5205
1491313693,5207,5207
1491315869,5207,5207
1491319698,5207,5207
1491325700,5206,5206
1491326173,5207,5207
1491329535,5205,5205
1491330015,5207,5207
1491330495,5206,5206
1491330973,5205,5205
1491331458,5205,5205
1491331933,5203,5203
1491332896,5205,5205
1491333855,5206,5206
1491340609,5205,5205
1491342518,5206,5206
1491343939,5207,5207
1491344663,5206,5206
1491347335,5208,5208
1491351626,5207,5207
1491352094,5205,5205
1491352574,5207,5207
1491353053,5205,5205
1491353541,5208,5208
1491354029,5206,5206
1491354496,5206,5206
1491354999,5206,5206
1491355461,5204,5204
1491355934,5206,5206
1491356417,5209,5209
1491356893,5200,5200
1491357381,5201,5201
1491357854,5204,5204
1491358334,5199,5199
1491358815,5202,5202
1491359301,5200,5200
1491359777,5201,5201
1491360253,5202,5202
1491382577,5201,5201
1491383060,5202,5202
1491395302,5203,5203
1491397699,5202,5202
1491400600,5200,5200
1491401061,5202,5202
1491402253,5201,5201
1491402738,5203,5203
1491404175,5201,5201
1491404656,5203,5203
1491405141,5201,5201
1491405615,5203,5203
1491414974,5201,5201
1491415459,5202,5202
1491419538,5203,5203
1491421457,5203,5203
1491423616,5201,5201
1491424589,5203,5203
1491425059,5203,5203
1491426977,5201,5201
1491427454,5203,5203
1491428419,5202,5202
1491428901,5201,5201
1491429374,5202,5202
1491429857,5203,5203
1491431295,5201,5201
1491431773,5203,5203
1491434895,5201,5201
1491435373,5203,5203
1491438254,5202,5202
1491438734,5203,5203
1491440174,5201,5201
1491440912,5204,5204
1491441378,5202,5202
1491441854,5200,5200
1491442336,5203,5203
1491442817,5201,5201
1491443300,5204,5204
1491443775,5197,5197
1491444257,5195,5195
1491444739,5199,5199
1491445218,5201,5201
1491445693,5201,5201
1491446175,5201,5201
1491446657,5202,5202
1491479777,5201,5201
1491482658,5202,5202
1491499937,5202,5202
