DateTime,AddedIPs,RemovedIPs
1483142402,5,0
1483143302,0,1
1483164902,1,0
1483165802,0,1
1483174502,1,0
1483175102,1,1
1483183802,0,1
1483229102,3,0
1483315502,2,0
1483401902,2,0
1483488002,3,0
1483553102,1,0
1483553402,1,0
1483574402,2,0
1483660802,2,0
1483747202,2,0
1483833901,1,0
1483920002,3,0
1483980002,4,0
1484006402,2,0
1484179202,1,0
1484298602,2,0
1484352002,2,0
1484389502,1,0
1484404501,0,1
1484481902,1,0
1484556302,0,1
1484697902,1,0
1484870703,1,0
1484900702,1,0
1484910901,2,0
1485116402,1,0
1485126902,0,1
1485129602,1,0
1485287702,1,1
1485302402,1,0
1485344702,1,0
1485357901,2,1
1485382202,1,2
1485389102,1,0
1485431102,1,1
1485451202,1,0
1485456302,1,2
1485467102,1,0
1485467401,0,1
1485499502,1,1
1485545700,1,0
1485546302,0,1
1485764103,1,0
1485833101,1,1
1486007103,0,1
1486025402,2,0
1486047902,0,1
1486105802,1,0
1486155301,1,1
1486228802,1,1
1486379402,1,1
1486396502,1,1
1486457102,1,0
1486458903,0,1
1486647002,1,0
1486647300,1,0
1486664701,0,4
1486682102,1,1
1486735502,1,1
1486797902,1,1
1486801802,1,0
1486851002,1,1
1486918202,1,1
1486977602,1,1
1487028002,1,1
1487030402,1,0
1487063102,1,0
1487076902,1,1
1487087702,1,0
1487088302,1,0
1487092202,1,3
1487103902,1,0
1487117102,1,0
1487139602,1,0
1487139902,0,1
1487144702,1,0
1487152802,1,1
1487182502,0,1
1487194202,2,1
1487241302,1,0
1487245802,0,1
1487316602,1,0
1487320501,0,1
1487332202,1,1
1487343302,1,1
1487354402,1,0
1487393103,1,0
1487394302,0,1
1487404802,0,1
1487411702,1,0
1487412601,2,0
1487413502,0,1
1487424602,0,2
1487426101,1,1
1487426402,1,0
1487439302,1,1
1487448902,1,1
1487497502,0,1
1487509502,1,0
1487512502,1,0
1487523602,0,1
1487523901,1,0
1487537702,1,0
1487543702,0,1
1487548802,1,0
1487575501,0,1
1487587502,1,0
1487610902,1,0
1487611802,1,2
1487616602,1,0
1487621702,1,2
1487622302,1,0
1487631002,1,1
1487648702,0,1
1487649002,1,0
1487658002,1,0
1487658301,0,1
1487660702,1,0
1487668502,1,2
1487691602,1,1
1487703302,1,2
1487721901,1,0
1487750102,1,1
1487761202,3,3
1487772002,1,0
1487784902,2,2
1487811903,1,0
1487812503,0,1
1487823902,1,0
1487826903,1,0
1487831702,1,3
1487841603,2,2
1487894402,1,0
1487904002,0,1
1487904301,1,0
1487915703,1,0
1487921102,1,0
1487931002,0,1
1487945102,1,0
1487945402,0,1
1487961301,2,0
1487961602,0,2
1487980802,3,0
1488010502,1,0
1488024302,1,0
1488024602,0,2
1488067202,3,0
1488078002,1,0
1488086702,1,0
1488089402,0,2
1488102902,1,0
1488103501,1,2
1488120902,1,0
1488121202,0,1
1488153901,2,0
1488163802,1,0
1488168902,1,0
1488170701,0,2
1488184502,2,2
1488189002,1,0
1488195902,4,5
1488226202,1,1
1488226802,0,1
1488259802,2,2
1488260102,1,0
1488272702,1,0
1488273902,1,1
1488274203,0,2
1488282902,1,0
1488289502,2,0
1488289801,1,3
1488295802,1,0
1488308702,1,0
1488313502,2,3
1488313802,1,2
1488354303,1,0
1488355501,0,1
1488355802,1,0
1488356702,1,2
1488363902,1,0
1488375302,2,3
1488375902,0,2
1488396302,2,0
1488396602,1,1
1488396902,1,1
1488425103,1,0
1488432302,1,2
1488432602,0,1
1488452100,1,0
1488452702,2,1
1488462901,1,0
1488471602,1,0
1488477002,1,2
1488477602,1,2
1488497102,1,0
1488498603,0,1
1488499202,1,0
1488514203,1,1
1488514803,0,1
1488515102,1,0
1488534602,2,1
1488535203,1,2
1488547502,1,0
1488549002,2,3
1488552602,1,0
1488553202,1,2
1488562202,1,0
1488562503,1,1
1488563102,1,1
1488576602,1,1
1488576903,1,2
1488594602,0,1
1488594903,1,0
1488599102,1,0
1488610802,0,1
1488618002,1,1
1488636302,1,0
1488643501,0,1
1488672302,1,0
1488673802,1,0
1488678302,1,0
1488678602,0,2
1488687902,1,0
1488696902,0,1
1488697202,0,1
1488697502,1,0
1488705902,0,1
1488706202,1,0
1488717902,1,0
1488718501,1,1
1488737702,1,0
1488742202,0,2
1488758702,2,0
1488798602,1,1
1488798902,1,1
1488812701,1,0
1488818102,1,0
1488819902,0,2
1488820202,1,0
1488820801,1,2
1488824102,1,0
1488840902,0,1
1488845102,1,0
1488853502,1,0
1488863703,1,0
1488879301,0,2
1488880202,1,1
1488900902,1,0
1488903602,1,1
1488903902,1,0
1488904502,0,1
1488905101,0,1
1488914702,1,0
1488926701,0,1
1488927002,1,2
1488963602,1,0
1488964501,1,1
1488969002,1,0
1488969302,0,1
1488990902,1,0
1488991502,0,1
1488999602,1,0
1489008302,1,0
1489013402,1,3
1489017602,2,0
1489059902,1,1
1489060503,0,1
1489117802,1,1
1489142702,1,0
1489168802,1,1
1489226402,1,0
1489237802,2,3
1489255802,1,0
1489260902,0,1
1489276802,2,0
1489359906,1,0
1489360204,0,1
1489363205,1,0
1489391401,1,0
1489405502,1,1
1489428603,1,0
1489431002,0,1
1489442702,1,0
1489449602,2,0
1489449902,0,1
1489476602,1,1
1489497602,2,2
1489513802,1,0
1489515302,1,2
1489524603,0,1
1489536302,1,0
1489622402,2,0
1489667102,1,0
1489708802,5,0
1489763103,1,0
1489766103,1,0
1489776902,0,2
1489795202,2,0
1489881602,1,0
1489956301,1,0
1489956602,0,1
1489968302,2,0
1490015102,1,0
1490016302,1,0
1490021102,0,2
1490035502,1,0
1490035802,0,1
1490054102,1,1
1490054405,3,0
1490104505,2,1
1490104804,0,1
1490124602,1,1
1490138103,1,1
1490141101,2,0
1490201101,1,1
1490227202,4,0
1490267403,1,0
1490285403,1,0
1490296202,0,1
1490313902,4,0
1490348703,1,0
1490361303,0,1
1490375702,1,1
1490400002,4,0
1490436302,1,1
1490439901,1,1
1490458203,1,1
1490462103,1,1
1490471702,1,1
1490483402,1,1
1490486402,4,0
1490546703,1,1
1490550603,1,1
1490573103,2,0
1490670602,1,0
1490673902,0,1
1490713502,1,0
1490713802,0,1
1490745602,4,0
1490752503,1,1
1490756102,1,1
1490767802,1,1
1490784002,1,1
1490792702,1,1
1490825102,1,0
1490826900,0,1
1490832002,7,0
1490870702,2,2
1490875501,1,0
1490890503,0,1
1490895902,1,1
1490899502,1,1
1490918702,9,0
1490929202,1,1
1490951101,1,1
1490958602,1,0
1490979903,0,1
1490980802,1,1
1491003302,1,1
1491005102,8,0
1491006602,1,1
1491014101,1,1
1491017702,1,1
1491021302,1,1
1491024302,1,0
1491091202,6,1
1491095102,1,1
1491099002,1,1
1491124501,1,1
1491177901,14,0
1491179702,1,1
1491183302,1,1
1491205501,1,1
1491228002,1,0
1491239702,1,0
1491248701,0,1
1491251402,1,0
1491264002,2,1
1491267002,1,0
1491281703,0,1
1491282002,1,0
1491295501,1,0
1491312302,1,1
1491313802,0,1
1491314102,1,0
1491316202,1,1
1491319501,1,1
1491331503,0,2
1491333902,1,0
1491340502,1,0
1491342302,0,2
1491343802,2,0
1491344402,1,0
1491351002,3,0
1491351601,0,1
1491353402,1,0
1491397502,0,2
1491397802,1,0
1491402302,1,0
1491414903,0,2
1491415202,1,0
1491419702,1,0
1491421502,1,1
1491425101,1,1
1491428702,0,1
1491429002,1,0
1491437102,6,0
1491441302,0,1
1491441902,1,0
1491479702,0,1
1491482703,1,0
1491500102,2,2
1491523202,5,0
1491524102,1,1
1491524402,1,0
1491544802,0,1
1491545701,1,0
1491564602,0,2
1491565502,1,0
1491566402,1,0
1491592802,0,1
1491593102,1,0
1491609602,5,0
1491637802,0,2
1491638102,1,0
1491638702,1,0
1491664203,0,2
1491664502,1,0
1491665402,1,0
1491684902,0,2
1491685501,2,0
1491696302,1,0
1491738302,1,1
1491742202,1,1
1491745501,0,2
1491745802,1,0
1491746702,1,0
1491756602,1,1
1491760202,1,1
1491766201,1,3
1491766502,1,0
1491782402,3,0
1491841501,1,2
1491841803,1,0
1491844502,0,1
1491844801,0,1
1491845701,2,0
1491856203,1,1
1491859802,1,1
1491864901,0,2
1491865502,2,0
1491868802,2,0
1491887101,0,1
1491888302,1,0
1491915002,1,1
1491917403,1,2
1491917701,1,0
1491918902,1,1
1491955501,1,0
1491955803,1,1
1491959402,1,1
1491961502,0,1
1491964202,1,0
1491983102,1,3
1491983402,1,0
1492008902,1,2
1492009202,1,0
1492021502,1,0
1492030802,0,1
1492041602,2,0
1492103101,1,1
1492106701,1,1
1492115102,1,2
