DateTime,Entries,UniqueIPs
1483135802,11527,11527
1483137002,11526,11526
1483137902,11525,11525
1483140002,11524,11524
1483142402,11529,11529
1483143302,11528,11528
1483164902,11529,11529
1483165802,11528,11528
1483174502,11529,11529
1483175102,11529,11529
1483183802,11528,11528
1483229102,11531,11531
1483315502,11533,11533
1483401902,11535,11535
1483488002,11538,11538
1483553102,11539,11539
1483553402,11540,11540
1483574402,11542,11542
1483660802,11544,11544
1483747202,11546,11546
1483833901,11547,11547
1483920002,11550,11550
1483980002,11554,11554
1484006402,11556,11556
1484179202,11557,11557
1484298602,11559,11559
1484352002,11561,11561
1484389502,11562,11562
1484404501,11561,11561
1484481902,11562,11562
1484556302,11561,11561
1484697902,11562,11562
1484870703,11563,11563
1484900702,11564,11564
1484910901,11566,11566
1485116402,11567,11567
1485126902,11566,11566
1485129602,11567,11567
1485287702,11567,11567
1485302402,11568,11568
1485344702,11569,11569
1485357901,11570,11570
1485382202,11569,11569
1485389102,11570,11570
1485431102,11570,11570
1485451202,11571,11571
1485456302,11570,11570
1485467102,11571,11571
1485467401,11570,11570
1485499502,11570,11570
1485545700,11571,11571
1485546302,11570,11570
1485764103,11571,11571
1485833101,11571,11571
1486007103,11570,11570
1486025402,11572,11572
1486047902,11571,11571
1486105802,11572,11572
1486155301,11572,11572
1486228802,11572,11572
1486379402,11572,11572
1486396502,11572,11572
1486457102,11573,11573
1486458903,11572,11572
1486647002,11573,11573
1486647300,11574,11574
1486664701,11570,11570
1486682102,11570,11570
1486735502,11570,11570
1486797902,11570,11570
1486801802,11571,11571
1486851002,11571,11571
1486918202,11571,11571
1486977602,11571,11571
1487028002,11571,11571
1487030402,11572,11572
1487063102,11573,11573
1487076902,11573,11573
1487087702,11574,11574
1487088302,11575,11575
1487092202,11573,11573
1487103902,11574,11574
1487117102,11575,11575
1487139602,11576,11576
1487139902,11575,11575
1487144702,11576,11576
1487152802,11576,11576
1487182502,11575,11575
1487194202,11576,11576
1487241302,11577,11577
1487245802,11576,11576
1487316602,11577,11577
1487320501,11576,11576
1487332202,11576,11576
1487343302,11576,11576
1487354402,11577,11577
1487393103,11578,11578
1487394302,11577,11577
1487404802,11576,11576
1487411702,11577,11577
1487412601,11579,11579
1487413502,11578,11578
1487424602,11576,11576
1487426101,11576,11576
1487426402,11577,11577
1487439302,11577,11577
1487448902,11577,11577
1487497502,11576,11576
1487509502,11577,11577
1487512502,11578,11578
1487523602,11577,11577
1487523901,11578,11578
1487537702,11579,11579
1487543702,11578,11578
1487548802,11579,11579
1487575501,11578,11578
1487587502,11579,11579
1487610902,11580,11580
1487611802,11579,11579
1487616602,11580,11580
1487621702,11579,11579
1487622302,11580,11580
1487631002,11580,11580
1487648702,11579,11579
1487649002,11580,11580
1487658002,11581,11581
1487658301,11580,11580
1487660702,11581,11581
1487668502,11580,11580
1487691602,11580,11580
1487703302,11579,11579
1487721901,11580,11580
1487750102,11580,11580
1487761202,11580,11580
1487772002,11581,11581
1487784902,11581,11581
1487811903,11582,11582
1487812503,11581,11581
1487823902,11582,11582
1487826903,11583,11583
1487831702,11581,11581
1487841603,11581,11581
1487894402,11582,11582
1487904002,11581,11581
1487904301,11582,11582
1487915703,11583,11583
1487921102,11584,11584
1487931002,11583,11583
1487945102,11584,11584
1487945402,11583,11583
1487961301,11585,11585
1487961602,11583,11583
1487980802,11586,11586
1488010502,11587,11587
1488024302,11588,11588
1488024602,11586,11586
1488067202,11589,11589
1488078002,11590,11590
1488086702,11591,11591
1488089402,11589,11589
1488102902,11590,11590
1488103501,11589,11589
1488120902,11590,11590
1488121202,11589,11589
1488153901,11591,11591
1488163802,11592,11592
1488168902,11593,11593
1488170701,11591,11591
1488184502,11591,11591
1488189002,11592,11592
1488195902,11591,11591
1488226202,11591,11591
1488226802,11590,11590
1488259802,11590,11590
1488260102,11591,11591
