DateTime,AddedIPs,RemovedIPs
1458982202,1,0
1458983701,0,1
1459256102,1,0
1459259702,1,1
1459267502,0,1
1459410901,1,0
1459412102,0,1
1459428302,1,0
1459432501,0,1
1459468801,1,0
1459555202,1,0
1459678502,1,0
1459685401,0,1
1459814401,2,0
1459854602,1,0
1459858201,0,1
1459900801,1,0
1459987202,1,0
1460037001,1,0
1460041202,1,1
1460073602,2,0
1460107501,0,1
1460160002,3,0
1460190002,1,0
1460193901,1,1
1460197501,0,1
1460246401,2,0
1460527501,1,0
1460531102,1,1
1460535001,0,1
1460551501,1,0
1460555401,0,1
1460764801,2,0
1461630301,1,0
1461888002,2,0
1462060802,1,0
1462320301,1,0
1462492802,1,0
1462665901,2,0
1462838702,2,0
1463184002,2,0
1466749801,1,0
1466751902,1,0
1466754002,0,1
1466756702,0,1
1469180101,1,0
1469180402,0,1
1473876002,1,0
1473876302,0,1
1475323802,1,0
1475324101,0,1
1475604602,2,0
1475605501,0,1
1475609703,0,1
1475618101,1,0
1475618402,0,1
1475642102,1,0
1475642702,0,1
1477052700,1,0
1477055702,0,1
1477070101,1,0
1477081802,0,1
1483131901,1,0
1483132201,0,1
1483135802,1,0
1483137001,0,1
1483142401,1,0
1483143301,0,1
1483164902,1,0
1483165802,0,1
1483174501,1,0
1483175102,0,1
1487411701,1,0
1487413501,0,1
1490267402,1,0
1490436302,1,1
1490439900,1,1
1490458202,1,1
1490462102,1,1
1490546702,1,1
1490550602,1,1
1490752502,1,1
1490756102,1,1
1490792701,1,1
1490895902,1,1
1490899501,1,1
1490929202,1,1
1490951100,1,1
1490980802,1,1
1491003302,1,1
1491006601,1,1
1491014100,1,1
1491017702,1,1
1491021301,1,1
1491091202,1,1
1491095102,1,1
1491098702,1,1
1491124500,1,1
1491179701,1,1
1491183302,1,1
1491205500,1,1
1491295501,1,0
1491312302,1,1
1491316202,1,1
1491319501,1,1
1491344402,1,0
1491421202,1,1
1491425100,1,1
1491738302,1,1
1491742202,1,1
1491756602,1,1
1491760201,1,1
1491844801,0,2
1491845701,2,0
1491856202,1,1
1491859802,1,1
1491915002,1,1
1491918902,1,1
1491955802,1,1
1491959401,1,1
1492102802,1,1
1492106701,1,1
1492201802,1,1
1492205702,1,1
1492260601,1,1
1492264502,1,1
1492279501,0,1
1492279802,1,0
1492334101,0,1
1492338001,1,0
