DateTime,Entries,UniqueIPs
1481505483,446,449
1481522192,418,420
1481550503,468,471
1481562282,382,383
1481590991,492,494
1481609369,461,463
1481637579,411,411
1481648904,443,444
1481678304,392,394
1481695404,375,376
1481724274,463,465
1481735510,359,360
1481764450,434,437
1481782014,361,365
1481809942,460,464
1481822252,374,377
1481851685,400,403
1481868153,377,379
1481897396,415,417
1481908271,446,448
1481937914,399,402
1481954809,444,447
1481982427,470,473
1481995066,377,381
1482025458,460,465
1482040755,425,429
1482069665,476,480
1482081345,384,387
1482111470,466,470
1482127746,372,374
1482152516,463,465
1482167899,415,417
1482198150,439,442
1482214635,367,369
1482243549,381,382
1482254146,357,360
1482284228,440,444
1482300492,418,421
1482329606,482,484
1482340290,444,445
1482372041,404,405
1482386567,435,436
1482414884,481,484
1482426623,403,405
1482456903,486,488
1482473065,369,370
1482501320,389,391
1482513576,363,366
1482544376,397,402
1482559397,432,437
1482588182,474,477
1482600460,381,384
1482631134,470,474
1482646588,372,374
1482674611,380,383
1482686557,362,365
1482717404,391,395
1482732622,457,461
1482760965,497,501
1482772226,465,467
1482803057,487,487
1482818774,363,364
1482846584,379,380
1482858696,366,368
1482888998,458,463
1482905194,435,439
1482928514,442,446
1482945445,414,419
1482970328,441,444
1482991462,409,412
1483014260,446,447
1483032291,420,421
1483057564,379,381
1483077954,374,377
1483101277,389,392
1483118354,375,378
1483143764,465,468
1483163932,385,385
1483187006,464,464
1483204107,446,446
1483228063,471,471
1483250373,434,435
1483273203,456,457
1483290293,420,421
1483314281,432,435
1483336877,412,416
1483358947,387,388
1483376819,420,421
1483400397,395,397
1483423472,385,388
1483445384,409,412
1483463312,391,393
1483487568,406,407
1483510023,467,468
1483532630,415,416
1483550337,390,391
1483575531,404,406
1483597069,411,412
1483620405,433,433
1483636767,419,420
1483660588,428,430
1483683406,472,474
1483707299,490,491
1483723043,396,397
1483748130,485,487
1483769560,391,392
1483792320,462,464
1483809548,415,416
1483833720,446,448
1483856036,431,433
1483878748,420,422
1483895879,464,466
1483920389,415,416
1483942375,389,390
1483965069,488,489
1483982225,395,395
