DateTime,AddedIPs,RemovedIPs
1481505483,34,25
1481522192,11,21
1481550503,58,21
1481562282,13,29
1481590991,54,27
1481609369,10,26
1481637579,30,19
1481648904,9,27
1481678304,38,30
1481695404,14,22
1481724274,30,30
1481735510,10,22
1481764450,32,21
1481782014,15,27
1481809942,41,32
1481822252,4,24
1481851685,39,24
1481868153,17,20
1481897396,35,19
1481908271,15,23
1481937914,34,20
1481954809,20,28
1481982427,32,27
1481995066,9,25
1482025458,30,27
1482040755,17,30
1482069665,58,24
1482081345,16,31
1482111470,28,20
1482127746,14,29
1482152516,42,24
1482167899,4,25
1482198150,30,22
1482214635,10,39
1482243549,31,15
1482254146,10,26
1482284228,29,27
1482300492,11,19
1482329606,56,0
1482340290,6,0
1482372041,32,30
1482386567,14,23
1482414884,68,38
1482426623,8,30
1482456903,27,14
1482473065,13,51
1482501320,36,0
1482513576,12,43
1482544376,37,42
1482559397,10,0
1482588182,43,51
1482600460,16,27
1482631134,31,31
1482646588,16,32
1482674611,30,28
1482686557,19,23
1482717404,33,20
1482732622,51,0
1482760965,49,48
1482772226,9,23
1482803057,26,30
1482818774,11,22
1482846584,36,30
1482858696,9,0
1482888998,37,34
1482905194,15,51
1482928514,23,0
1482945445,13,44
1482970328,33,0
1482991462,19,22
1483014260,37,42
1483032291,6,34
1483057564,25,32
1483077954,14,59
1483101277,49,0
1483118354,11,32
1483143764,44,30
1483163932,9,58
1483187006,31,0
1483204107,25,30
1483228063,29,25
1483250373,19,18
1483273203,25,38
1483290293,12,52
1483314281,25,0
1483336877,11,29
1483358947,44,40
1483376819,9,22
1483400397,37,21
1483423472,21,45
1483445384,33,0
1483463312,23,51
1483487568,35,0
1483510023,21,23
1483532630,33,22
1483550337,17,47
1483575531,39,0
1483597069,36,23
1483620405,58,22
1483636767,23,74
1483660588,45,0
1483683406,19,28
1483707299,40,14
1483723043,22,58
1483748130,42,0
1483769560,14,26
1483792320,21,21
1483809548,6,28
1483833720,39,26
1483856036,20,47
1483878748,50,0
1483895879,16,27
1483920389,40,36
1483942375,22,38
1483965069,49,19
1483982225,16,24
1484007722,26,24
1484029298,22,38
1484052903,41,0
1484068543,17,35
1484092726,31,0
1484115240,21,24
1484138113,43,28
1484154895,13,27
1484178611,30,35
1484201554,15,43
1484224192,61,0
1484241345,32,57
1484265568,24,0
1484287519,19,20
1484308449,26,29
1484328343,10,39
1484352578,64,0
1484374225,17,27
1484397595,43,33
1484414336,20,18
1484439576,31,31
1484461168,17,27
1484484506,30,22
1484501208,13,42
1484526184,36,0
1484547954,18,53
1484572257,35,0
1484587603,14,47
1484611308,31,0
1484633810,17,62
1484657162,35,0
1484673593,11,26
1484697825,38,17
1484720409,21,17
1484743964,64,46
1484760696,30,22
1484785954,66,0
1484806525,16,45
1484829598,33,0
1484846032,15,40
1484871085,32,0
1484892867,16,27
1484915430,55,37
1484933578,8,43
1484958047,23,0
1484979788,21,76
1485001900,41,0
1485019032,12,33
1485043920,30,24
1485065896,26,20
1485088522,35,27
1485105709,11,28
1485130607,36,22
1485152127,22,58
1485174969,34,0
1485191220,16,25
1485215636,30,22
1485238509,15,19
1485260998,54,22
1485278587,23,31
1485302985,28,17
1485324914,33,79
1485348162,45,0
1485365028,11,63
1485390367,29,0
1485411494,28,18
1485434821,30,23
1485451443,11,49
1485475263,31,0
1485498368,26,28
1485520559,41,13
1485537448,22,42
1485561416,29,0
1485584456,16,20
1485607037,41,53
1485623598,20,24
1485648768,30,0
1485670624,13,22
1485693737,35,55
1485710697,17,25
1485734881,29,38
1485757344,12,0
1485796544,11,72
1485826300,31,23
1485842664,20,16
1485870228,48,33
1485882585,18,20
1485912008,48,20
1485929645,19,25
1485957173,61,30
1485969128,21,24
1485998738,30,33
1486015949,23,0
1486046292,37,62
1486055798,16,31
1486085012,26,35
1486102947,21,23
1486127815,35,33
1486142146,15,0
1486170643,26,49
1486188798,26,0
1486216475,34,70
1486228756,22,24
1486258060,32,33
1486275057,24,32
1486301817,36,37
1486314867,19,0
1486343949,31,46
1486361692,22,0
1486388920,36,32
1486401131,14,0
1486431767,37,54
1486447952,16,34
1486476410,49,38
1486487355,19,0
1486516515,35,59
1486534350,21,33
1486563025,29,32
1486574164,14,0
1486604226,27,50
1486621101,14,33
1486649319,31,35
1486661221,14,40
1486691451,30,26
1486707677,16,29
1486737507,41,33
1486747408,17,0
1486774060,23,46
1486793534,16,46
1486823501,54,39
1486834063,26,0
1486863479,32,66
1486879912,10,23
1486909287,48,27
1486920331,18,0
1486951001,34,80
1486966976,30,20
1486990885,37,24
1487006112,12,20
1487035976,32,36
1487052886,27,15
1487080715,39,33
1487092988,38,29
1487118584,39,33
1487138985,14,26
1487168018,44,32
1487178305,24,0
1487207380,37,55
1487225300,35,0
1487254441,34,51
1487265150,36,0
1487295232,40,65
1487311781,20,40
1487340678,43,39
1487351572,16,0
1487381271,31,85
1487398471,30,0
1487427022,48,53
1487438105,31,0
1487467391,41,58
1487484675,22,24
