DateTime,AddedIPs,RemovedIPs
1481505483,101,99
1481522192,82,88
1481550503,110,103
1481562282,81,83
1481590991,126,126
1481609369,85,83
1481637579,99,99
1481648904,82,85
1481678304,104,102
1481695404,82,82
1481724274,100,99
1481735510,79,82
1481764450,94,92
1481782014,85,88
1481809942,110,107
1481822252,78,80
1481851685,112,111
1481868153,88,89
1481897396,104,102
1481908271,77,80
1481937914,109,106
1481954809,92,93
1481982427,101,99
1481995066,76,80
1482025458,100,97
1482040755,85,86
1482069665,114,113
1482081345,83,83
1482111470,93,94
1482127746,88,87
1482152516,93,92
1482167899,79,79
1482198150,103,103
1482214635,83,85
1482243549,92,90
1482254146,81,82
1482284228,98,97
1482300492,82,87
1482329606,126,123
1482340290,82,83
1482372041,95,95
1482386567,86,86
1482414884,132,130
1482426623,78,79
1482456903,98,98
1482473065,79,79
1482501320,100,99
1482513576,91,91
1482544376,106,107
1482559397,90,89
1482588182,109,109
1482600460,86,86
1482631134,100,100
1482646588,78,79
1482674611,96,94
1482686557,92,93
1482717404,101,101
1482732622,112,113
1482760965,98,97
1482772226,82,84
1482803057,97,96
1482818774,82,81
1482846584,97,96
1482858696,84,86
1482888998,103,101
1482905194,88,89
1482928514,73,74
1482945445,84,84
1482970328,102,100
1482991462,85,87
1483014260,87,87
1483032291,82,84
1483057564,100,98
1483077954,84,82
1483101277,103,103
1483118354,86,87
1483143764,106,107
1483163932,92,92
1483187006,96,97
1483204107,101,99
1483228063,99,102
1483250373,91,89
1483273203,89,89
1483290293,88,87
1483314281,89,92
1483336877,82,83
1483358947,103,101
1483376819,81,83
1483400397,107,106
1483423472,92,91
1483445384,108,109
1483463312,88,89
1483487568,106,104
1483510023,100,101
1483532630,105,102
1483550337,94,96
1483575531,108,108
1483597069,108,106
1483620405,131,131
1483636767,113,113
1483660588,117,118
1483683406,110,110
1483707299,104,104
1483723043,100,98
1483748130,106,108
1483769560,89,87
1483792320,90,91
1483809548,88,88
1483833720,110,111
1483856036,91,90
1483878748,116,116
1483895879,94,95
1483920389,105,103
1483942375,98,100
1483965069,113,113
1483982225,83,85
1484007722,98,97
1484029298,105,106
1484052903,117,114
1484068543,91,90
1484092726,112,112
1484115240,94,94
1484138113,114,114
1484154895,93,97
1484178611,102,101
1484201554,94,92
1484224192,136,136
1484241345,111,111
1484265568,96,97
1484287519,104,107
1484308449,105,101
1484328343,82,84
1484352578,134,134
1484374225,105,105
1484397595,115,113
1484414336,91,94
1484439576,105,103
1484461168,97,98
1484484506,99,98
1484501208,88,88
1484526184,108,107
1484547954,98,98
1484572257,109,110
1484587603,84,83
1484611308,105,108
1484633810,100,99
