DateTime,Entries,UniqueIPs
1481505483,144,144
1481522192,138,138
1481550503,145,145
1481562282,143,143
1481590991,143,143
1481609369,145,145
1481637579,145,145
1481648904,142,142
1481678304,144,144
1481695404,144,144
1481724274,145,145
1481735510,142,142
1481764450,144,144
1481782014,141,141
1481809942,144,144
1481822252,142,142
1481851685,143,143
1481868153,142,142
1481897396,144,144
1481908271,141,141
1481937914,144,144
1481954809,143,143
1481982427,145,145
1481995066,141,141
1482025458,144,144
1482040755,143,143
1482069665,144,144
1482081345,144,144
1482111470,143,143
1482127746,144,144
1482152516,145,145
1482167899,145,145
1482198150,145,145
1482214635,143,143
1482243549,145,145
1482254146,144,144
1482284228,145,145
1482300492,140,140
1482329606,143,143
1482340290,142,142
1482372041,142,142
1482386567,142,142
1482414884,144,144
1482426623,143,143
1482456903,143,143
1482473065,143,143
1482501320,144,144
1482513576,144,144
1482544376,143,143
1482559397,144,144
1482588182,144,144
1482600460,144,144
1482631134,144,144
1482646588,143,143
1482674611,145,145
1482686557,144,144
1482717404,144,144
1482732622,143,143
1482760965,144,144
1482772226,142,142
1482803057,143,143
1482818774,144,144
1482846584,145,145
1482858696,143,143
1482888998,145,145
1482905194,144,144
1482928514,143,143
1482945445,143,143
1482970328,145,145
1482991462,143,143
1483014260,143,143
1483032291,141,141
1483057564,143,143
1483077954,145,145
1483101277,145,145
1483118354,144,144
1483143764,143,143
1483163932,143,143
1483187006,142,142
1483204107,144,144
1483228063,141,141
1483250373,143,143
1483273203,143,143
1483290293,144,144
1483314281,141,141
1483336877,140,140
1483358947,142,142
1483376819,140,140
1483400397,141,141
1483423472,142,142
1483445384,141,141
1483463312,140,140
1483487568,142,142
1483510023,141,141
1483532630,144,144
1483550337,142,142
1483575531,142,142
1483597069,144,144
1483620405,144,144
1483636767,144,144
1483660588,143,143
1483683406,143,143
1483707299,143,143
1483723043,145,145
1483748130,143,143
1483769560,145,145
1483792320,144,144
1483809548,144,144
1483833720,143,143
1483856036,144,144
1483878748,144,144
1483895879,143,143
1483920389,145,145
