DateTime,AddedIPs,RemovedIPs
1491970321,2,0
1491971522,3,0
1491972722,2,2
1491973322,1,5
1491973922,0,4
1491974522,1,0
1491975722,2,1
1491976322,1,0
1491976921,3,2
1491978121,2,2
1491978721,4,1
1491979322,2,0
1491979922,1,4
1491980522,6,4
1491982321,1,31
1491982922,5,2
1491983522,1,0
1491984721,2,14
1491985922,2,0
1491986522,4,3
1491987721,11,5
1491988322,3,0
1491988922,1,21
1491990121,2,0
1491991322,3,7
1491991921,3,0
1491993121,1,0
1491993722,2,3
1491994322,7,0
1491994921,0,3
1491996122,0,36
1491996722,10,0
1491997322,8,0
1491997922,3,5
1491998521,3,8
1491999721,2,3
1492000921,4,5
1492001521,2,4
1492002122,6,16
1492002721,6,0
1492003922,4,0
1492004521,1,22
1492005121,4,0
1492006322,6,1
1492006922,7,4
1492007522,38,1
1492008122,1,0
1492008722,0,3
1492009322,4,0
1492009922,7,7
1492010522,57,2
1492011122,18,0
1492011722,4,0
1492012322,6,1
1492013522,31,20
1492014121,10,0
1492014721,2,0
1492015322,1,0
1492015922,13,0
1492016522,7,5
1492017122,40,0
1492017721,2,2
1492018321,2,0
1492018921,46,27
1492019522,3,2
1492020127,21,1
1492020722,4,9
1492021328,23,0
1492021921,4,1
1492022522,8,0
1492023121,2,8
1492023722,5,1
1492024322,4,0
1492024921,4,11
1492025521,3,18
1492026121,22,0
1492027322,13,8
1492027922,7,0
1492028522,11,5
1492029122,29,1
1492029722,0,3
1492030322,8,28
1492030921,10,2
1492031522,4,5
1492032122,23,0
1492033322,7,21
1492033921,24,0
1492034522,4,16
1492035122,7,0
1492035722,31,5
1492036321,12,6
1492036922,1,0
1492038122,0,10
1492038723,5,7
1492039321,62,0
1492039922,2,1
1492041121,44,0
1492041722,4,5
1492042322,47,8
1492042922,15,0
1492043523,9,1
1492044121,8,15
1492045321,5,4
1492045921,38,8
1492046521,13,7
1492047122,2,0
1492047722,28,3
1492048922,1,0
1492049522,0,18
1492050122,27,10
1492050721,24,0
1492051321,3,0
1492051921,2,10
1492052521,4,4
1492053121,20,14
1492053723,6,0
1492054322,8,6
1492054922,22,23
1492055521,7,11
1492056122,17,1
1492056723,2,0
1492057322,47,5
1492057922,1,0
1492058522,25,0
1492059722,6,5
1492060322,2,3
1492060922,46,0
1492061521,37,16
1492062122,1,28
1492062722,4,10
1492063322,3,0
1492064521,13,14
1492065121,11,32
1492065721,11,26
1492066322,6,0
1492066922,8,13
1492068121,5,25
1492068722,13,0
1492069322,7,0
1492069922,8,6
1492070522,5,8
1492071721,9,11
1492072322,3,13
