DateTime,Entries,UniqueIPs
1491993121,80,80
1491993722,80,80
1491994322,80,80
1491994921,80,80
1491996122,80,80
1491996722,80,80
1491997322,80,80
1491997922,80,80
1491998521,80,80
1491999721,80,80
1492000921,80,80
1492001521,80,80
1492002122,80,80
1492002721,80,80
1492003322,80,80
1492003922,80,80
1492004521,80,80
1492005121,80,80
1492005722,80,80
1492006322,80,80
1492006922,80,80
1492007522,80,80
1492008122,80,80
1492008722,80,80
1492009322,80,80
1492009922,80,80
1492010522,80,80
1492011122,80,80
1492011722,80,80
1492012322,80,80
1492013522,80,80
1492014121,80,80
1492014721,80,80
1492015322,80,80
1492015922,80,80
1492016522,80,80
1492017122,80,80
1492017721,80,80
1492018321,80,80
1492018921,80,80
1492019522,80,80
1492020127,80,80
1492020722,80,80
1492021328,80,80
1492021921,80,80
1492022522,80,80
1492023121,80,80
1492023722,80,80
1492024322,80,80
1492024921,80,80
1492025521,80,80
1492026121,80,80
1492027322,80,80
1492027922,80,80
1492028522,80,80
1492029122,80,80
1492029722,80,80
1492030322,80,80
1492030921,80,80
1492031522,80,80
1492032122,80,80
1492033322,80,80
1492033921,80,80
1492034522,80,80
1492035122,80,80
1492035722,80,80
1492036321,80,80
1492036922,80,80
1492038122,80,80
1492038723,80,80
1492039321,80,80
1492039922,80,80
1492040521,80,80
1492041121,80,80
1492041722,80,80
1492042322,80,80
1492042922,80,80
1492043523,80,80
1492044121,80,80
1492045321,80,80
1492045921,80,80
1492046521,80,80
1492047122,80,80
1492047722,80,80
1492048922,80,80
1492049522,80,80
1492050122,80,80
1492050721,80,80
1492051321,80,80
1492051921,80,80
1492052521,80,80
1492053121,80,80
1492053723,80,80
1492054322,80,80
1492054922,80,80
1492055521,80,80
1492056122,80,80
1492056723,80,80
1492057322,80,80
1492057922,80,80
1492058522,80,80
1492059722,80,80
1492060322,80,80
1492060922,80,80
1492061521,80,80
1492062122,80,80
1492062722,80,80
1492063322,80,80
1492064521,80,80
