DateTime,Entries,UniqueIPs
1481733908,110,110
1481742907,111,111
1481753707,114,114
1481800508,113,113
1481805907,114,114
1481811308,115,115
1481814906,113,113
1481829306,115,115
1481841906,113,113
1481850908,112,112
1481877907,112,112
1481879707,113,113
1481883312,114,114
1481897707,113,113
1481915706,112,112
1481928307,111,111
1481944506,110,110
1481964308,108,108
1481966112,108,108
1481973316,110,110
1481994905,109,109
1482003906,108,108
1482023708,107,107
1482029107,108,108
1482043508,106,106
1482052510,107,107
1482056107,111,111
1482086707,105,105
1482088507,104,104
1482090309,103,103
1482108307,102,102
1482115508,101,101
1482156906,102,102
1482162307,101,101
1482198307,100,100
1482200106,99,99
1482246911,100,100
1482254106,99,99
1482257707,98,98
1482311711,99,99
1482342307,100,100
1482349506,99,99
1482410706,103,103
1482419722,102,102
1482426907,103,103
1482437708,103,103
1482452106,102,102
1482457506,100,100
1482471909,101,101
1482473715,100,100
1482479113,101,101
1482542107,99,99
1482558314,98,98
1482561908,97,97
1482565514,96,96
1482583506,96,96
1482605106,95,95
1482606907,94,94
1482615907,93,93
1482617705,94,94
1482619507,93,93
1482657308,94,94
1482668110,93,93
1482682507,92,92
1482691508,93,93
1482740123,91,91
1482765309,90,90
1482774306,89,89
1482779706,88,88
1482783306,89,89
1482837308,90,90
1482864309,89,89
1482876906,88,88
1482920115,89,89
1482927311,90,90
1482929109,89,89
1482995715,88,88
1483002910,87,87
1483046106,85,85
1483049708,84,84
1483056907,83,83
1483085710,84,84
1483100111,83,83
1483166708,82,82
1483175707,81,81
1483182909,80,80
1483208107,82,82
1483289106,81,81
1483321506,79,79
1483339508,78,78
1483368309,77,77
1483371906,75,75
1483467307,74,74
1483503309,73,73
1483532120,72,72
1483548306,71,71
1483551906,72,72
1483584307,71,71
1483602310,74,74
1483638306,73,73
1483663507,72,72
1483685114,71,71
1483857908,72,72
1483872308,70,70
1483926306,69,69
1483967713,68,68
1483971309,67,67
1483973109,66,66
1483989306,65,65
1483998307,64,64
1484018107,62,62
1484025310,63,63
1484050524,62,62
1484077506,61,61
1484082906,62,62
1484102706,61,61
1484199911,60,60
1484239508,59,59
1484241307,58,58
1484246707,57,57
1484293507,56,56
1484302508,55,55
1484316909,55,55
1484334907,54,54
1484345708,53,53
1484390710,52,52
1484394309,50,50
1484422207,48,48
1484471714,47,47
1484475308,46,46
1484532907,44,44
1484559909,45,45
1484579709,46,46
1484597707,45,45
1484615707,43,43
1484621107,42,42
1484637310,41,41
1484662511,44,44
1484747132,43,43
1484811909,45,45
1484833509,46,46
1484837111,45,45
1484840707,46,46
1484901912,47,47
1484903710,46,46
1484910910,47,47
1484930708,48,48
1484934307,47,47
1484955907,48,48
1484988311,49,49
1484997309,51,51
1485006307,52,52
1485056707,51,51
1485063932,50,50
1485076508,51,51
1485080110,50,50
1485081926,49,49
1485107107,48,48
1485125107,49,49
1485139507,48,48
1485162909,49,49
1485227707,48,48
1485229508,44,44
1485238515,46,46
1485245707,47,47
1485255618,48,48
1485282607,47,47
1485348308,50,50
1485351909,51,51
1485420310,50,50
1485429309,49,49
1485434710,51,51
1485452707,52,52
1485519311,51,51
1485611110,50,50
1485612911,49,49
1485630907,48,48
1485657907,49,49
1485661507,50,50
1485681306,51,51
1485683113,54,54
1485731707,55,55
1485771315,56,56
1485789307,58,58
1485800109,57,57
1485807307,58,58
1485967508,59,59
1485969308,60,60
1485987307,57,57
1486003506,58,58
1486021509,59,59
1486023312,61,61
1486044910,60,60
1486046710,61,61
1486075508,60,60
1486091706,59,59
1486397710,63,63
1486433707,64,64
1486449910,63,63
1486457118,64,64
1486462514,65,65
1486466110,66,66
1486485908,69,69
1486536313,70,70
1486545312,72,72
1486613710,71,71
1486618209,70,70
1486626309,71,71
1486628115,72,72
1486633511,73,73
1486647908,74,74
1486671308,75,75
1486674908,74,74
1486732513,75,75
1486786509,76,76
1486820709,77,77
1486916128,76,76
1486993513,77,77
1487013307,78,78
1487016907,79,79
1487042108,80,80
1487051109,81,81
1487087110,82,82
1487088909,83,83
1487108708,84,84
1487110508,85,85
1487148309,86,86
1487157310,85,85
1487171708,84,84
1487234710,85,85
1487254509,83,83
1487261710,84,84
