DateTime,AddedIPs,RemovedIPs
1491631322,0,1
1491631922,1,1
1491633722,0,4
1491636122,1,2
1491638521,7,2
1491639721,0,3
1491640321,0,1
1491640921,0,2
1491645122,0,1
1491646322,0,2
1491646922,0,2
1491649321,0,1
1491649921,0,2
1491650521,2,1
1491651722,0,1
1491652321,0,3
1491653522,2,2
1491655921,0,2
1491657721,0,1
1491658321,1,1
1491658921,0,2
1491660121,0,1
1491662521,0,1
1491664921,0,3
1491665522,0,1
1491666721,0,2
1491667321,0,8
1491667921,4,0
1491669722,1,16
1491670322,2,4
1491671523,74,1
1491672121,12,0
1491673321,12,4
1491673922,7,0
1491675721,39,2
1491676922,14,3
1491678121,10,0
1491678722,2,0
1491679322,1,8
1491680522,0,11
1491681121,3,11
1491681722,1,14
1491682922,1,0
1491684122,0,3
1491685322,0,3
1491686521,0,2
1491688921,0,2
1491690721,0,1
1491691321,0,8
1491693722,1,0
1491694321,1,0
1491694922,0,3
1491695521,0,1
1491696122,0,2
1491697321,1,0
1491698521,1,0
1491699721,1,2
1491700321,1,0
1491700922,0,1
1491702121,0,1
1491704522,0,4
1491706322,0,1
1491706922,1,3
1491707522,1,1
1491708121,1,0
1491708722,0,1
1491709922,1,0
1491710521,3,0
1491711722,1,0
1491712322,0,3
1491712922,1,0
1491713521,0,2
1491714121,1,6
1491714721,0,1
1491715922,0,1
1491717122,3,0
1491717721,1,0
1491718922,0,2
1491720121,0,3
1491723721,0,2
1491724322,1,1
1491724922,1,1
1491726121,1,1
1491727322,1,0
1491728521,6,1
1491729122,3,0
1491729722,8,0
1491730322,2,3
1491730921,1,0
1491732122,1,1
1491732722,0,1
1491734521,0,2
1491738722,1,0
1491741122,1,0
1491744122,1,2
1491747722,2,2
1491752522,5,1
1491754922,0,1
1491758521,0,1
1491759722,2,0
1491762721,0,1
1491763322,1,6
1491763922,1,0
1491765721,5,0
1491768122,1,2
1491770522,1,0
1491771721,2,2
1491772322,0,4
1491772921,1,0
1491773521,0,2
1491774122,0,5
1491774721,1,1
1491775322,7,1
1491777122,0,2
1491778921,0,1
1491780122,0,3
1491781322,10,0
1491782522,5,3
1491783122,2,0
1491783722,2,0
1491784321,0,1
1491786122,2,1
1491786721,4,0
1491787321,0,1
1491789722,0,2
1491794521,2,0
1491795121,1,1
1491796922,0,1
1491798121,0,5
1491800523,2,2
1491801722,2,0
1491802321,1,2
1491802922,1,2
1491804122,0,1
1491805321,1,2
1491806521,1,1
1491807722,0,1
1491808322,0,1
1491808922,0,1
1491810122,5,0
1491810721,0,2
1491812521,0,2
1491813122,3,1
1491814322,0,1
1491814922,2,1
1491815521,0,1
