DateTime,AddedIPs,RemovedIPs
1491940322,2,2
1491941522,1,1
1491942721,2,2
1491943322,6,6
1491944522,2,2
1491945121,8,8
1491945722,2,2
1491946922,19,19
1491948722,4,4
1491949321,2,2
1491949921,2,2
1491951722,5,5
1491952322,7,7
1491952926,2,2
1491953521,2,2
1491954127,11,11
1491954721,2,2
1491955322,1,1
1491955922,2,2
1491956522,1,1
1491957122,4,4
1491957721,2,2
1491958921,5,5
1491960122,8,8
1491960721,9,9
1491961321,4,4
1491962522,1,1
1491963721,6,6
1491964321,2,2
1491964921,1,1
1491966122,9,9
1491966721,6,6
1491967322,2,2
1491967921,3,3
1491968521,2,2
1491969722,14,14
1491970321,11,11
1491971522,2,2
1491972122,5,5
1491973322,3,3
1491974522,13,13
1491975722,10,10
1491976322,5,5
1491978121,4,4
1491978721,5,5
1491979322,2,2
1491980522,6,6
1491981722,3,3
1491982922,8,8
1491984122,7,7
1491984721,2,2
1491985322,3,3
1491986522,7,7
1491987122,2,2
1491987721,2,2
1491988322,3,3
1491988922,2,2
1491990121,7,7
1491991322,6,6
1491991921,1,1
1491992522,8,8
1491993722,1,1
1491994322,7,7
1491994921,1,1
1491996122,3,3
1491996722,2,2
1491997922,1,1
1491998521,6,6
1491999121,5,5
1491999721,1,1
1492000322,3,3
1492000921,2,2
1492002122,2,2
1492003322,6,6
1492003922,10,10
1492004521,8,8
1492005722,2,2
1492006322,1,1
1492006922,6,6
1492008122,3,3
1492008722,1,1
1492009321,1,1
1492009922,9,9
1492010522,4,4
1492011722,2,2
1492012322,4,4
1492013522,2,2
1492014121,4,4
1492015321,1,1
1492015922,2,2
1492016522,2,2
1492017721,5,5
1492018321,4,4
1492018921,2,2
1492019522,5,5
1492020127,2,2
1492020722,4,4
1492021328,4,4
1492022522,3,3
1492023121,2,2
1492024322,4,4
1492024921,6,6
1492025521,1,1
1492029122,3,3
1492029722,8,8
1492030921,6,6
1492032122,2,2
1492033322,2,2
1492033921,3,3
1492034522,2,2
1492035722,9,9
1492036321,1,1
1492037521,1,1
1492038121,3,3
1492039321,7,7
1492040521,10,10
1492041121,6,6
1492041722,2,2
1492042922,1,1
1492044121,2,2
1492044721,2,2
1492045321,4,4
1492046521,3,3
1492047122,7,7
1492047722,4,4
1492048321,1,1
1492048922,1,1
1492050122,5,5
1492050721,3,3
1492051321,1,1
1492052521,4,4
1492053121,2,2
1492053722,6,6
1492054922,2,2
1492055521,1,1
1492056122,1,1
1492057322,4,4
1492058522,8,8
1492059722,4,4
1492060322,2,2
1492060922,1,1
1492062122,5,5
1492062722,15,15
1492063322,8,8
1492064521,4,4
1492065121,8,8
1492065721,4,4
1492066322,1,1
1492066922,2,2
1492068121,7,7
1492068722,8,8
1492069322,3,3
1492069922,18,18
1492071721,6,6
1492072922,12,12
1492074122,16,16
1492074721,3,3
1492075323,9,9
1492075922,11,11
1492076521,1,1
1492077121,3,3
1492077721,5,5
1492078321,4,4
1492078921,2,2
1492079522,2,2
1492080122,2,2
1492081322,17,17
1492081921,13,13
1492082521,9,9
1492083121,16,16
1492083722,4,4
1492084921,4,4
1492085525,13,13
1492086121,8,8
1492086722,7,7
1492087322,5,5
1492087923,2,2
1492088521,10,10
1492089121,9,9
1492089722,7,7
1492090321,6,6
1492090921,1,1
1492091521,2,2
1492092122,2,2
1492092723,2,2
1492093322,1,1
1492093922,5,5
1492094522,4,4
1492095122,11,11
1492095722,3,3
1492096321,2,2
1492096921,2,2
1492097522,2,2
1492098121,2,2
1492098722,2,2
1492099321,2,2
1492099922,3,3
1492100521,1,1
1492101721,5,5
1492102921,5,5
1492103521,2,2
1492104122,28,28
1492105321,9,9
1492106521,5,5
1492107122,4,4
1492109523,1,1
1492110121,2,2
1492110721,1,1
1492111321,5,5
1492111921,2,2
1492112522,4,4
1492113121,15,15
1492113722,6,6
1492114322,3,3
1492114921,4,4
1492115522,2,2
1492116122,5,5
1492116721,1,1
1492117321,4,4
1492118521,4,4
1492119121,5,5
1492119721,1,1
1492120922,4,4
1492122122,4,4
1492122721,4,4
1492123321,5,5
1492123921,8,8
1492124522,4,4
1492125122,1,1
1492125722,3,3
1492126322,2,2
1492126921,2,2
1492127521,1,1
1492128122,3,3
1492128722,5,5
1492129321,3,3
1492129921,8,8
1492130522,2,2
1492131123,6,6
1492131722,12,12
1492132322,5,5
1492132922,4,4
1492133522,1,1
1492134122,5,5
1492134721,1,1
1492135321,1,1
1492136521,14,14
1492137122,4,4
1492137721,4,4
1492138322,2,2
1492138921,6,6
1492139521,4,4
1492140122,6,6
1492140721,6,6
1492141321,6,6
1492142521,10,10
1492143122,2,2
1492143721,1,1
1492144921,4,4
1492146121,5,5
1492146721,3,3
1492147322,2,2
1492147921,4,4
1492148522,3,3
1492149122,7,7
1492149721,7,7
1492150322,6,6
1492150922,3,3
1492151521,2,2
