DateTime,Entries,UniqueIPs
1490510723,4540,4540
1490514323,4633,4633
1490517923,4744,4744
1490521524,4863,4863
1490525123,4997,4997
1490528723,5066,5066
1490532324,5177,5177
1490535924,5242,5242
1490539523,5331,5331
1490543123,5403,5403
1490546723,5480,5480
1490550324,5558,5558
1490553924,5638,5638
1490557524,5700,5700
1490561123,5758,5758
1490564723,5918,5918
1490568324,6006,6006
1490571924,6085,6085
1490575523,3619,3619
1490579124,3748,3748
1490582724,3834,3834
1490586324,3909,3909
1490589924,3993,3993
1490593524,4079,4079
1490597124,4189,4189
1490600724,4314,4314
1490604324,4451,4451
1490607924,4579,4579
1490611524,4712,4712
1490615124,4892,4892
1490618724,5107,5107
1490622324,5248,5248
1490625924,5437,5437
1490629524,5622,5622
1490633124,5723,5723
1490636724,5849,5849
1490640324,5926,5926
1490643924,6047,6047
1490647524,6166,6166
1490651124,6306,6306
1490654724,6390,6390
1490658324,6454,6454
1490661924,4228,4228
1490665524,4383,4383
1490669124,4482,4482
1490672724,4569,4569
1490676324,4681,4681
1490679924,4795,4795
1490683524,4900,4900
1490687124,5005,5005
1490690724,5174,5174
1490694325,5280,5280
1490697924,5422,5422
1490701524,5574,5574
1490705124,5707,5707
1490708724,5845,5845
1490712325,5988,5988
1490715924,6241,6241
1490719525,6379,6379
1490723125,6484,6484
1490726725,6598,6598
1490730324,6697,6697
1490733924,6800,6800
1490737525,6870,6870
1490741125,6948,6948
1490744724,7031,7031
1490748325,4226,4226
1490751924,4394,4394
1490755524,4485,4485
1490759124,4611,4611
1490762724,4718,4718
1490766325,4847,4847
1490769924,5003,5003
1490773525,5134,5134
1490777125,5278,5278
1490780725,5398,5398
1490784325,5517,5517
1490787924,5661,5661
1490791525,5820,5820
1490795125,5988,5988
1490798725,6350,6350
1490802325,6547,6547
1490805925,6714,6714
1490809525,6828,6828
1490813125,6978,6978
1490816725,7061,7061
1490820325,7142,7142
1490823925,7215,7215
1490827524,7287,7287
1490831125,7353,7353
1490834724,4554,4554
1490838325,4658,4658
1490841925,4741,4741
1490845525,4851,4851
1490849125,4959,4959
1490852725,5075,5075
1490856325,5194,5194
1490859925,5338,5338
1490863525,5525,5525
1490867125,5698,5698
1490870726,5838,5838
1490874325,6102,6102
1490877925,6234,6234
1490881525,6377,6377
1490885124,6484,6484
1490888726,6614,6614
1490892325,6769,6769
1490895926,6852,6852
1490899525,6995,6995
1490903125,7109,7109
1490906725,7194,7194
1490910325,7372,7372
1490913926,7470,7470
1490917525,7541,7541
1490921125,4509,4509
1490924725,4590,4590
1490928325,4687,4687
1490931925,4794,4794
1490935525,4889,4889
1490939125,5037,5037
1490942725,5139,5139
1490946325,5286,5286
1490949925,5410,5410
1490953525,5559,5559
1490957125,5686,5686
1490960725,5811,5811
1490964325,5921,5921
1490967925,6012,6012
1490971526,6180,6180
1490975125,6293,6293
1490978725,6375,6375
1490982326,6482,6482
1490985925,6595,6595
1490989525,6672,6672
1490993125,6770,6770
1490996726,6839,6839
