DateTime,AddedIPs,RemovedIPs
1490418146,3,0
1490421806,3,1
1490425347,1,4
1490429006,2,4
1490436147,2,2
1490439747,3,2
1490443407,3,3
1490446947,0,3
1490450547,1,0
1490454208,0,2
1490457807,2,0
1490461347,3,3
1490464947,0,1
1490468607,1,0
1490472147,1,4
1490475807,0,3
1490479407,1,0
1490482947,2,5
1490486548,1,0
1490490147,2,1
1490493747,1,2
1490497347,1,0
1490501007,1,2
1490504607,5,7
1490508147,1,1
1490511808,3,0
1490515348,0,4
1490518949,0,1
1490522549,2,0
1490526148,2,8
1490529749,1,0
1490533408,3,0
1490537008,0,1
1490540548,3,0
1490544148,1,0
1490547808,1,1
1490551348,3,0
1490554948,3,2
1490558608,2,4
1490562208,2,0
1490565808,2,1
1490569408,1,1
1490573008,2,5
1490576609,1,0
1490580208,3,1
1490583748,2,2
1490587408,3,4
1490590948,2,0
1490594609,3,0
1490598149,2,4
1490601809,1,0
1490605409,1,0
1490608949,2,2
1490612549,4,1
1490616149,1,5
1490619749,1,0
1490623349,1,0
1490627009,3,2
1490630609,1,0
1490634209,4,2
1490637809,1,1
1490641349,1,0
1490644950,2,0
1490648609,3,2
1490652209,3,2
1490655809,6,0
1490659349,1,1
1490663009,1,3
1490666549,0,3
1490670210,1,0
1490673810,1,3
1490677350,2,5
1490680950,1,0
1490684610,1,2
1490688150,1,1
1490691750,0,2
1490695410,3,5
1490699010,2,0
1490702610,3,1
1490706150,1,0
1490709750,1,1
1490713410,1,3
1490717010,3,3
1490720610,3,0
1490724150,2,1
1490727810,7,6
1490731410,3,3
1490735010,1,0
1490738610,4,3
1490742150,2,2
1490745750,4,2
1490749351,1,1
1490756611,0,1
1490760151,0,2
1490763751,3,4
1490767411,0,5
1490770951,1,1
1490781751,1,7
1490785411,0,3
1490788951,1,0
1490792551,2,0
1490796211,3,5
1490799811,1,5
1490803351,2,3
1490806951,3,0
1490810551,1,0
1490814211,2,1
1490817811,0,3
1490821351,1,6
1490824951,1,1
1490828611,2,3
1490839351,0,4
1490843011,1,0
1490846552,4,5
1490850152,2,2
1490853812,4,0
1490857352,2,1
1490860952,1,0
1490864612,0,1
1490868152,2,0
1490871812,0,4
1490875352,1,4
1490879012,1,1
1490882552,2,0
1490886152,3,1
1490889752,2,1
1490893352,3,5
1490897012,1,4
1490900612,5,1
1490904152,2,1
1490907752,2,0
1490911352,1,1
1490914952,2,2
1490918552,2,1
1490922153,0,2
1490929413,2,2
1490932953,3,3
1490936553,0,3
1490940213,1,3
1490943813,3,0
1490947353,1,0
1490950953,0,1
1490954554,2,0
1490958153,3,2
1490961753,2,1
1490965353,0,1
1490968954,2,0
1490972614,3,5
1490976154,1,0
1490979754,2,2
1490983413,5,2
1490986953,4,6
1490990554,1,0
1490994154,8,5
1490997814,6,0
1491001354,1,2
1491005014,5,3
1491008614,3,0
1491012154,8,0
1491015814,2,4
1491019354,4,0
1491022954,1,6
1491026554,2,0
1491030214,3,2
1491033754,1,2
1491037355,1,5
1491040954,2,0
1491044554,0,2
1491048214,1,1
1491051814,2,0
1491055355,3,2
1491059014,2,1
1491062554,2,2
1491066214,2,2
1491069756,2,3
1491073355,2,0
1491076955,4,1
1491080555,5,7
1491084216,0,4
1491087755,0,4
1491091355,3,0
1491094956,0,2
1491098616,0,3
1491102156,1,0
1491105755,2,3
1491109357,1,1
1491112956,2,1
1491116555,3,6
1491120155,4,3
1491123816,1,0
1491127355,3,7
1491130956,1,5
1491134616,1,0
1491138216,1,4
1491145357,2,3
1491148955,4,2
1491152616,2,0
1491156156,2,1
1491159816,0,8
1491163416,2,0
1491166956,1,5
1491170557,1,2
1491174177,2,0
1491177816,2,3
1491181356,2,0
1491184956,1,3
1491188556,1,2
1491192216,3,5
1491195756,2,0
1491199416,1,4
1491202956,3,4
1491206556,1,0
1491210156,2,3
1491213756,2,2
1491217357,1,0
1491221017,3,2
1491224616,3,0
1491228217,1,2
1491231756,7,6
1491235357,6,0
1491239017,0,4
1491242617,1,3
1491246218,1,3
1491249818,2,0
1491253357,0,1
1491256957,2,0
1491260618,3,8
1491264157,2,2
1491267757,0,1
1491271357,1,0
1491274957,2,1
1491278559,3,5
1491282159,2,1
1491285757,0,4
1491289359,2,3
1491296557,1,3
1491300159,2,0
1491303758,0,1
1491307359,2,1
1491310958,2,3
1491314558,1,0
1491318219,4,0
1491321758,3,7
1491325418,2,2
1491328958,3,0
1491332619,1,1
1491336158,1,5
1491339818,2,0
1491343358,6,1
1491346959,5,1
1491350559,3,1
1491354159,1,0
1491357758,0,5
1491361418,2,0
1491364960,3,7
1491368558,2,0
1491372220,1,4
1491379419,2,2
1491382959,2,0
1491386560,2,2
1491390160,0,1
1491393759,1,0
1491397359,1,3
1491401020,3,0
1491404559,2,5
1491408219,3,1
1491411759,1,3
1491415359,0,4
1491419019,1,0
1491422560,6,1
1491426219,4,2
1491429820,1,6
1491433359,2,1
1491437020,2,2
1491440559,2,4
1491447759,1,5
