DateTime,Entries,UniqueIPs
1490331791,1254,1340
1490335331,1253,1341
1490338991,1252,1340
1490342591,1254,1342
1490346191,1250,1338
1490349791,1245,1333
1490353391,1244,1332
1490356991,1245,1333
1490360531,1245,1333
1490364191,1242,1330
1490367791,1244,1332
1490371391,1238,1326
1490374992,1237,1325
1490385791,1240,1328
1490389391,1239,1327
1490392991,1237,1325
1490396606,1243,1331
1490400147,1244,1332
1490403807,1243,1331
1490407346,1238,1326
1490414606,1234,1322
1490418146,1237,1325
1490421806,1240,1328
1490425347,1238,1326
1490429006,1240,1328
1490432606,1237,1325
1490436147,1236,1324
1490439747,1238,1326
1490443407,1238,1326
1490450547,1238,1326
1490454208,1234,1321
1490457807,1235,1322
1490461347,1235,1322
1490468607,1233,1320
1490472147,1234,1321
1490475807,1231,1318
1490479407,1232,1319
1490482947,1232,1319
1490486548,1231,1318
1490490147,1233,1320
1490493747,1233,1320
1490497347,1234,1321
1490501007,1230,1317
1490504607,1234,1321
1490508147,1230,1317
1490511808,1232,1319
1490515348,1228,1315
1490518949,1225,1312
1490522549,1221,1308
1490526148,1221,1308
1490529749,1222,1309
1490533408,1226,1311
1490540548,1229,1314
1490544148,1229,1314
1490547808,1227,1311
1490551348,1229,1313
1490554948,1229,1312
1490558608,1231,1314
1490562208,1232,1315
1490565808,1232,1315
1490569408,1233,1316
1490573008,1233,1315
1490576609,1233,1315
1490580208,1235,1317
1490583748,1234,1316
1490587408,1234,1316
1490590948,1236,1318
1490594609,1235,1317
1490598149,1237,1319
1490601809,1236,1318
1490605409,1235,1317
1490608949,1236,1318
1490612549,1235,1317
1490616149,1233,1315
1490619749,1234,1316
1490623349,1233,1315
1490627009,1230,1312
1490630609,1231,1313
1490634209,1233,1315
1490637809,1227,1309
1490641349,1228,1310
1490644950,1228,1310
1490648609,1231,1313
1490652209,1228,1310
1490655809,1234,1316
1490659349,1232,1314
1490663009,1233,1315
1490666549,1231,1313
1490670210,1230,1312
1490673810,1231,1313
1490677350,1229,1311
1490680950,1230,1312
1490684610,1230,1312
1490688150,1230,1312
1490691750,1229,1311
1490695410,1227,1309
1490699010,1229,1311
1490702610,1229,1310
1490706150,1230,1311
1490709750,1228,1309
1490713410,1226,1307
1490717010,1229,1310
1490720610,1231,1312
1490724150,1232,1313
1490727810,1233,1314
1490731410,1234,1315
1490735010,1235,1316
1490738610,1238,1319
1490742150,1239,1320
1490745750,1242,1323
1490749351,1241,1322
1490756611,1240,1321
1490760151,1239,1320
1490763751,1241,1322
1490767411,1239,1320
1490770951,1240,1321
1490774611,1238,1319
1490781751,1236,1317
1490785411,1234,1315
1490788951,1233,1314
1490792551,1231,1312
1490796211,1232,1312
1490799811,1230,1310
1490803351,1230,1310
1490806951,1232,1312
1490810551,1232,1312
1490814211,1233,1313
1490817811,1230,1310
1490821351,1231,1311
1490824951,1227,1307
1490828611,1225,1305
1490835752,1222,1302
1490843011,1221,1301
1490846552,1224,1304
1490850152,1221,1301
1490853812,1225,1305
1490857352,1223,1303
1490860952,1222,1302
1490864612,1219,1299
1490868152,1218,1298
1490875352,1217,1297
1490879012,1215,1295
