DateTime,AddedIPs,RemovedIPs
1490454208,0,1
1490457807,3,1
1490461347,4,1
1490468607,1,2
1490472147,1,2
1490475807,0,3
1490479407,2,2
1490482947,2,1
1490486548,1,5
1490490147,2,1
1490493747,1,2
1490497347,1,1
1490501007,1,2
1490504607,5,4
1490508147,2,0
1490511808,3,5
1490518949,0,1
1490522549,3,4
1490526148,2,1
1490529749,3,2
1490533408,4,4
1490537008,2,2
1490540548,3,2
1490544148,2,1
1490547808,1,2
1490551348,4,2
1490554948,3,0
1490558608,2,1
1490562208,3,1
1490565808,3,1
1490569408,2,2
1490573008,2,1
1490576609,1,2
1490580208,3,1
1490583748,3,3
1490587408,4,4
1490590948,2,2
1490594609,3,5
1490598149,2,2
1490601809,1,1
1490605409,1,1
1490608949,3,3
1490612549,4,5
1490616149,3,1
1490619749,1,1
1490623349,1,1
1490627009,3,3
1490630609,1,1
1490634209,4,3
1490637809,3,2
1490641349,2,4
1490644950,3,2
1490648609,3,3
1490652209,4,4
1490655809,6,3
1490659349,1,0
1490663009,1,2
1490666549,0,2
1490670210,1,1
1490673810,2,3
1490677350,2,4
1490680950,2,2
1490684610,1,4
1490688150,1,1
1490695410,4,7
1490699010,2,2
1490702610,3,2
1490706150,1,0
1490709750,1,5
1490713410,1,3
1490717010,4,3
1490720610,4,4
1490724150,2,0
1490727810,7,1
1490731410,5,3
1490735010,1,2
1490738610,5,5
1490742150,2,1
1490745750,4,3
1490749351,1,1
1490752951,0,2
1490756611,0,4
1490763751,3,5
1490767411,0,3
1490770951,1,1
1490774611,1,1
1490778211,1,2
1490781751,2,1
1490785411,1,4
1490788951,2,0
1490792551,3,4
1490796211,3,1
1490799811,1,1
1490803351,3,2
1490806951,3,3
1490810551,1,6
1490814211,2,4
1490817811,1,1
1490821351,2,2
1490824951,1,1
1490828611,2,2
1490832152,0,1
1490835752,1,0
1490839351,0,4
1490843011,2,2
1490846552,4,3
1490850152,3,3
1490853812,4,1
1490857352,3,3
1490860952,1,0
1490868152,2,1
1490871812,0,3
1490875352,1,1
1490879012,2,2
1490882552,3,0
1490886152,5,3
1490889752,3,2
1490893352,3,3
1490897012,1,2
1490900612,5,5
1490904152,4,2
1490907752,2,3
1490911352,1,2
1490914952,2,2
1490918552,3,3
1490929413,2,2
1490932953,3,4
1490936553,0,4
1490940213,2,3
1490943813,3,3
1490947353,2,2
1490954554,2,5
1490958153,4,2
1490961753,3,2
1490965353,0,1
1490968954,2,2
1490972614,5,2
1490976154,1,3
1490979754,2,1
1490983413,6,2
1490986953,4,3
1490990554,1,1
1490994154,9,7
1490997814,6,2
1491001354,1,2
1491005014,5,4
1491008614,3,2
1491012154,8,0
1491015814,3,4
1491019354,4,4
1491022954,1,3
1491026554,3,1
1491030214,3,7
1491033754,1,3
1491037355,2,1
1491040954,3,7
1491044554,1,3
1491048214,1,3
1491051814,3,3
1491055355,4,4
1491059014,3,3
1491062554,3,3
1491066214,3,3
1491069756,2,1
1491073355,2,6
1491076955,4,3
1491080555,7,5
1491084216,0,1
1491087755,1,3
1491091355,3,3
1491094956,3,2
1491098616,0,3
1491102156,1,0
1491105755,5,2
1491109357,1,5
1491112956,2,2
1491116555,3,2
1491120155,4,6
1491123816,1,0
1491127355,5,7
1491130956,2,2
1491134616,1,1
1491138216,1,2
1491141756,1,1
1491145357,2,1
1491148955,6,7
1491152616,2,5
1491156156,3,1
1491159816,0,2
1491163416,2,3
1491166956,1,1
1491170557,1,0
1491174177,2,8
1491177816,2,2
1491181356,2,1
1491184956,1,0
1491188556,1,2
1491192216,4,8
