DateTime,Entries,UniqueIPs
1490468607,1031,1031
1490472147,1030,1030
1490475807,1027,1027
1490479407,1027,1027
1490482947,1028,1028
1490486548,1024,1024
1490490147,1025,1025
1490493747,1024,1024
1490497347,1024,1024
1490501007,1023,1023
1490504607,1024,1024
1490508147,1026,1026
1490511808,1024,1024
1490518949,1023,1023
1490522549,1022,1022
1490526148,1023,1023
1490529749,1024,1024
1490533408,1024,1024
1490537008,1024,1024
1490540548,1025,1025
1490544148,1026,1026
1490547808,1025,1025
1490551348,1027,1027
1490554948,1030,1030
1490558608,1031,1031
1490562208,1033,1033
1490565808,1035,1035
1490569408,1035,1035
1490573008,1036,1036
1490576609,1035,1035
1490580208,1037,1037
1490583748,1037,1037
1490587408,1037,1037
1490590948,1037,1037
1490594609,1035,1035
1490598149,1035,1035
1490601809,1035,1035
1490605409,1035,1035
1490608949,1035,1035
1490612549,1034,1034
1490616149,1036,1036
1490619749,1036,1036
1490623349,1036,1036
1490627009,1036,1036
1490630609,1036,1036
1490634209,1037,1037
1490637809,1038,1038
1490641349,1036,1036
1490644950,1037,1037
1490648609,1037,1037
1490652209,1037,1037
1490655809,1040,1040
1490659349,1041,1041
1490663009,1040,1040
1490666549,1038,1038
1490670210,1038,1038
1490673810,1037,1037
1490677350,1035,1035
1490680950,1035,1035
1490684610,1032,1032
1490688150,1032,1032
1490695410,1029,1029
1490699010,1029,1029
1490702610,1030,1030
1490706150,1031,1031
1490709750,1027,1027
1490713410,1025,1025
1490717010,1026,1026
1490720610,1026,1026
1490724150,1028,1028
1490727810,1034,1034
1490731410,1036,1036
1490735010,1035,1035
1490738610,1035,1035
1490742150,1036,1036
1490745750,1037,1037
1490749351,1037,1037
1490752951,1035,1035
1490756611,1031,1031
1490763751,1029,1029
1490767411,1026,1026
1490770951,1026,1026
1490774611,1026,1026
1490778211,1025,1025
1490781751,1026,1026
1490785411,1023,1023
1490788951,1025,1025
1490792551,1024,1024
1490796211,1026,1026
1490799811,1026,1026
1490803351,1027,1027
1490806951,1027,1027
1490810551,1022,1022
1490814211,1020,1020
1490817811,1020,1020
1490821351,1020,1020
1490824951,1020,1020
1490828611,1020,1020
1490832152,1019,1019
1490835752,1020,1020
1490839351,1016,1016
1490843011,1016,1016
1490846552,1017,1017
1490850152,1017,1017
1490853812,1020,1020
1490857352,1020,1020
1490860952,1021,1021
1490868152,1022,1022
1490871812,1019,1019
1490875352,1019,1019
1490879012,1019,1019
1490882552,1022,1022
1490886152,1024,1024
1490889752,1025,1025
1490893352,1025,1025
1490897012,1024,1024
1490900612,1024,1024
1490904152,1026,1026
1490907752,1025,1025
1490911352,1024,1024
1490914952,1024,1024
1490918552,1024,1024
1490929413,1024,1024
1490932953,1023,1023
1490936553,1019,1019
1490940213,1018,1018
1490943813,1018,1018
1490947353,1018,1018
1490954554,1015,1015
1490958153,1017,1017
1490961753,1018,1018
1490965353,1017,1017
1490968954,1017,1017
1490972614,1020,1020
1490976154,1018,1018
1490979754,1019,1019
1490983413,1023,1023
1490986953,1024,1024
1490990554,1024,1024
1490994154,1026,1026
1490997814,1030,1030
1491001354,1029,1029
1491005014,1030,1030
1491008614,1031,1031
1491012154,1039,1039
1491015814,1038,1038
1491019354,1038,1038
1491022954,1036,1036
1491026554,1038,1038
1491030214,1034,1034
1491033754,1032,1032
1491037355,1033,1033
1491040954,1029,1029
1491044554,1027,1027
1491048214,1025,1025
1491051814,1025,1025
1491055355,1025,1025
1491059014,1025,1025
1491062554,1025,1025
1491066214,1025,1025
1491069756,1026,1026
1491073355,1022,1022
1491076955,1023,1023
1491080555,1025,1025
1491084216,1024,1024
1491087755,1022,1022
1491091355,1022,1022
1491094956,1023,1023
1491098616,1020,1020
1491102156,1021,1021
1491105755,1024,1024
1491109357,1020,1020
1491112956,1020,1020
1491116555,1021,1021
1491120155,1019,1019
1491123816,1020,1020
1491127355,1018,1018
1491130956,1018,1018
1491134616,1018,1018
1491138216,1017,1017
1491141756,1017,1017
1491145357,1018,1018
1491148955,1017,1017
1491152616,1014,1014
1491156156,1016,1016
1491159816,1014,1014
1491163416,1013,1013
1491166956,1013,1013
1491170557,1014,1014
1491174177,1008,1008
1491177816,1008,1008
1491181356,1009,1009
1491184956,1010,1010
1491188556,1009,1009
1491192216,1005,1005
1491195756,1006,1006
1491199416,1005,1005
1491202956,1007,1007
1491206556,1007,1007
1491210156,1009,1009
1491213756,1007,1007
1491217357,1007,1007
1491221017,1008,1008
1491224616,1010,1010
1491228217,1011,1011
1491231756,1018,1018
1491235357,1018,1018
1491239017,1017,1017
1491242617,1015,1015
1491246218,1014,1014
1491249818,1014,1014
1491253357,1016,1016
1491256957,1018,1018
1491260618,1020,1020
1491264157,1021,1021
1491267757,1020,1020
1491271357,1020,1020
1491274957,1018,1018
1491278559,1017,1017
1491282159,1016,1016
1491289359,1014,1014
1491293017,1012,1012
1491296557,1013,1013
1491300159,1013,1013
1491307359,1014,1014
1491310958,1012,1012
1491314558,1013,1013
1491318219,1012,1012
1491321758,1014,1014
1491325418,1013,1013
1491328958,1015,1015
1491332619,1014,1014
1491336158,1014,1014
1491339818,1013,1013
1491343358,1013,1013
1491346959,1017,1017
1491350559,1018,1018
1491354159,1017,1017
1491357758,1015,1015
1491361418,1015,1015
1491364960,1015,1015
1491368558,1014,1014
1491372220,1009,1009
1491375819,1007,1007
1491379419,1007,1007
1491382959,1007,1007
1491386560,1008,1008
1491393759,1005,1005
1491397359,1004,1004
1491401020,1005,1005
1491404559,1007,1007
1491408219,1004,1004
1491411759,1004,1004
1491415359,1005,1005
1491419019,1004,1004
1491422560,1001,1001
1491426219,1004,1004
1491429820,1001,1001
1491433359,1001,1001
1491437020,1002,1002
1491440559,1003,1003
1491444160,1001,1001
1491447759,1001,1001
1491451359,999,999
1491455020,998,998
1491458620,1001,1001
1491462220,1002,1002
1491465821,1002,1002
1491469360,1001,1001
1491472961,1001,1001
1491476561,1000,1000
1491480221,999,999
1491483821,998,998
1491487421,996,996
1491491021,998,998
1491494561,1001,1001
1491498221,1000,1000
1491501760,997,997
1491505422,997,997
1491508961,996,996
1491512621,993,993
1491516220,994,994
1491519820,991,991
1491523361,990,990
1491526961,989,989
1491530561,990,990
1491534222,989,989
1491537761,989,989
1491541421,990,990
1491544962,992,992
1491548622,993,993
1491555761,988,988
1491559421,988,988
1491562963,992,992
1491566563,993,993
1491570163,992,992
1491573823,991,991
1491577363,990,990
1491580963,991,991
1491584563,992,992
1491588163,989,989
1491591823,988,988
1491595362,985,985
1491598963,986,986
1491602562,984,984
1491606222,987,987
1491609823,986,986
1491613422,985,985
1491616963,985,985
1491620562,987,987
1491624162,987,987
1491634964,987,987
1491638624,983,983
1491642164,983,983
1491645764,982,982
1491649364,985,985
1491652963,987,987
1491656563,989,989
1491660223,990,990
1491663764,988,988
1491667363,986,986
1491670963,985,985
1491674564,984,984
1491678164,987,987
1491681764,986,986
1491685363,985,985
1491688964,986,986
1491692623,987,987
1491696163,989,989
1491699764,989,989
1491703425,988,988
1491706964,987,987
1491710565,986,986
1491717824,988,988
1491721365,987,987
1491725025,988,988
1491728565,989,989
1491732164,988,988
1491735765,988,988
1491739366,986,986
1491742966,985,985
1491746566,987,987
1491750165,984,984
1491753826,983,983
1491757426,986,986
1491761026,983,983
1491764565,983,983
1491768165,985,985
1491771766,987,987
1491775365,986,986
1491778965,986,986
1491782625,988,988
1491786165,989,989
1491789826,990,990
1491793366,991,991
1491796965,993,993
1491800566,992,992
1491804166,992,992
1491807826,991,991
1491811426,992,992
1491814967,992,992
1491818567,992,992
1491822167,992,992
1491825767,990,990
1491829367,988,988
1491832966,990,990
1491836566,992,992
1491840166,993,993
1491843767,992,992
1491847367,995,995
1491850966,995,995
1491854626,995,995
1491858167,993,993
1491861766,991,991
1491869027,990,990
1491872627,987,987
1491876166,986,986
1491879766,987,987
1491883367,983,983
1491886967,983,983
1491890567,981,981
1491894168,981,981
1491897828,980,980
1491901426,980,980
1491904968,981,981
1491912228,981,981
1491915768,981,981
1491919369,987,987
1491922967,987,987
1491926567,992,992
1491930168,989,989
1491933768,989,989
1491937368,991,991
1491940967,994,994
1491944568,997,997
1491948169,996,996
1491951767,996,996
1491955428,996,996
1491959027,996,996
1491962569,994,994
1491966167,994,994
1491969769,993,993
1491973368,993,993
1491977027,993,993
1491980567,994,994
1491984167,991,991
1491987828,988,988
1491991368,990,990
1491994968,990,990
1491998568,990,990
1492005768,991,991
1492009368,991,991
1492012968,994,994
1492016628,995,995
1492023768,996,996
1492027428,995,995
1492030968,996,996
1492034568,996,996
1492038168,995,995
1492041768,996,996
1492045368,996,996
1492048968,994,994
1492052569,991,991
1492056228,994,994
1492059828,991,991
1492062829,991,991
1492066969,990,990
1492070571,989,989
1492074229,989,989
1492077770,990,990
1492081369,990,990
1492085029,992,992
1492088570,995,995
1492092170,998,998
1492095829,1000,1000
1492099430,1000,1000
1492102969,1004,1004
