DateTime,AddedIPs,RemovedIPs
1489962994,5,1
1489966843,16,14
1489970660,11,9
1489974512,17,18
1489978346,23,21
1489982188,9,10
1489986116,11,9
1489989877,32,35
1489993722,22,18
1489997549,13,13
1490001415,3,5
1490005255,2,3
1490009084,10,11
1490012917,11,10
1490016775,13,11
1490020595,11,14
1490024420,12,11
1490028259,9,6
1490032110,15,19
1490035956,25,20
1490039809,10,9
1490043693,9,5
1490047714,8,8
1490051800,6,10
1490055641,0,1
1490063349,0,1
1490067154,17,20
1490070999,32,29
1490074823,27,23
1490078691,15,15
1490082519,29,29
1490086350,42,43
1490090196,25,23
1490094094,2,6
1490098149,1,1
1490101951,6,8
1490105798,2,2
1490109631,2,3
1490113499,3,5
1490117309,7,8
1490121151,10,11
1490124996,12,13
1490128819,9,6
1490132715,1,5
1490140355,0,2
1490144205,2,3
1490148123,2,4
1490151880,0,3
1490155706,0,1
1490159543,1,6
1490167250,0,4
1490171069,58,54
1490174911,197,173
1490178751,122,110
1490182586,122,91
1490186430,121,124
1490190273,128,124
1490194134,121,121
1490197952,131,134
1490201802,138,135
1490205708,73,73
1490209902,1,1
1490213786,1,1
1490217638,1,1
1490225318,1,2
1490232995,1,2
1490240679,12,13
1490244524,11,13
1490248360,2,2
1490252191,7,7
1490256108,7,8
1490259872,7,7
1490263719,7,9
1490267566,6,9
1490271399,3,4
1490275228,1,3
1490282912,6,8
1490286762,0,1
1490305983,9,10
1490309777,10,10
1490313715,2,4
1490317479,3,4
1490321333,3,3
1490329001,15,18
1490332839,2,4
1490336673,2,2
1490340522,4,7
1490348208,2,5
1490355864,11,12
1490359988,12,13
1490363802,12,13
1490367697,13,16
1490371728,15,19
1490375572,17,18
1490379296,6,6
1490382988,20,21
1490386837,5,5
1490390672,17,19
1490394505,3,4
1490398347,2,4
1490402201,10,14
1490406034,10,14
1490409872,8,9
1490413730,1,2
1490417544,4,6
1490421392,1,4
1490425321,2,6
1490429075,13,14
1490432925,5,9
1490436741,5,6
1490440587,13,16
1490444443,13,15
1490448272,9,9
1490452103,14,14
1490455950,11,10
1490459820,11,5
1490463873,8,12
1490467716,2,5
1490471875,8,7
1490475741,17,13
1490479489,8,11
1490483336,5,2
1490487160,1,1
1490490993,6,4
1490494853,10,8
1490498672,17,16
1490502530,13,10
1490506644,12,18
1490510436,7,8
1490514285,10,13
1490518127,10,8
1490521964,7,11
1490525790,3,3
1490529729,16,12
1490533479,11,18
1490537334,10,9
1490541162,0,2
1490545148,3,6
1490548829,3,1
1490552675,5,6
1490556551,16,16
1490560364,31,27
1490564213,9,8
1490568017,13,9
1490571873,20,14
1490575723,12,8
1490579571,9,9
1490583385,1,2
1490587322,1,2
1490591316,2,5
1490595152,10,11
1490598981,3,9
1490602826,2,6
1490606669,4,6
1490610501,0,3
1490614362,2,2
1490618213,4,6
1490625851,4,6
1490629744,6,10
1490633559,4,6
1490637383,2,3
1490641316,5,3
1490645331,3,6
1490649165,1,1
1490656830,1,6
1490660668,0,1
1490664525,1,4
1490668373,3,6
