DateTime,Entries,UniqueIPs
1489951471,376,376
1489955321,389,389
1489959149,394,394
1489962994,398,398
1489966843,400,400
1489970660,402,402
1489974512,401,401
1489978346,403,403
1489982188,402,402
1489986116,404,404
1489989877,401,401
1489993722,405,405
1489997549,405,405
1490001415,403,403
1490005255,402,402
1490009084,401,401
1490012917,402,402
1490016775,404,404
1490020595,401,401
1490024420,402,402
1490028259,405,405
1490032110,401,401
1490035956,406,406
1490039809,407,407
1490043693,411,411
1490047714,411,411
1490051800,407,407
1490055641,406,406
1490063349,405,405
1490067154,402,402
1490070999,405,405
1490074823,409,409
1490078691,409,409
1490082519,409,409
1490086350,408,408
1490090196,410,410
1490094094,406,406
1490098149,406,406
1490101951,404,404
1490105798,404,404
1490109631,403,403
1490113499,401,401
1490117309,400,400
1490121151,399,399
1490124996,398,398
1490128819,401,401
1490132715,397,397
1490140355,395,395
1490144205,394,394
1490148123,392,392
1490151880,389,389
1490155706,388,388
1490159543,383,383
1490167250,379,379
1490171069,383,383
1490174911,407,407
1490178751,419,419
1490182586,450,450
1490186430,447,447
1490190273,451,451
1490194134,451,451
1490197952,448,448
1490201802,451,451
1490205708,451,451
1490209902,451,451
1490213786,451,451
1490217638,451,451
1490225318,450,450
1490232995,449,449
1490240679,448,448
1490244524,446,446
1490248360,446,446
1490252191,446,446
1490256108,445,445
1490259872,445,445
1490263719,443,443
1490267566,440,440
1490271399,439,439
1490275228,437,437
1490282912,435,435
1490286762,434,434
1490305983,433,433
1490309777,433,433
1490313715,431,431
1490317479,430,430
1490321333,430,430
1490329001,427,427
1490332839,425,425
1490336673,425,425
1490340522,422,422
1490348208,419,419
1490355864,418,418
1490359988,417,417
1490363802,416,416
1490367697,413,413
1490371728,409,409
1490375572,408,408
1490379296,408,408
1490382988,407,407
1490386837,407,407
1490390672,405,405
1490394505,404,404
1490398347,402,402
1490402201,398,398
1490406034,394,394
1490409872,393,393
1490413730,392,392
1490417544,390,390
1490421392,387,387
1490425321,383,383
1490429075,382,382
1490432925,378,378
1490436741,377,377
1490440587,374,374
1490444443,372,372
1490448272,372,372
1490452103,372,372
1490455950,373,373
1490459820,379,379
1490463873,375,375
1490467716,372,372
1490471875,373,373
1490475741,377,377
1490479489,374,374
1490483336,377,377
1490487160,377,377
1490490993,379,379
1490494853,381,381
1490498672,382,382
1490502530,385,385
1490506644,379,379
1490510436,378,378
1490514285,375,375
1490518127,377,377
1490521964,373,373
1490525790,373,373
1490529729,377,377
1490533479,370,370
1490537334,371,371
1490541162,369,369
1490545148,366,366
1490548829,368,368
1490552675,367,367
1490556551,367,367
1490560364,371,371
1490564213,372,372
1490568017,376,376
1490571873,382,382
1490575723,386,386
1490579571,386,386
1490583385,385,385
1490587322,384,384
1490591316,381,381
1490595152,380,380
1490598981,374,374
1490602826,370,370
1490606669,368,368
1490610501,365,365
1490614362,365,365
1490618213,363,363
1490625851,361,361
1490629744,357,357
