DateTime,AddedIPs,RemovedIPs
1490067156,270,270
1490071002,58,60
1490074826,62,79
1490078695,33,40
1490082524,57,78
1490086352,69,71
1490090200,43,45
1490094096,21,41
1490098152,8,12
1490101954,4,20
1490105802,7,18
1490109633,2,5
1490113502,3,21
1490117313,24,24
1490121153,27,24
1490125000,34,39
1490128821,30,16
1490132719,29,33
1490136533,4,4
1490140357,7,19
1490144208,1,11
1490148126,2,4
1490151882,5,16
1490155708,2,7
1490159546,4,15
1490163380,4,6
1490167253,2,9
1490171071,128,71
1490174913,152,134
1490178753,292,194
1490182591,185,184
1490186436,177,177
1490190275,198,198
1490194137,225,224
1490197956,207,208
1490201805,161,162
1490205710,123,125
1490209904,7,13
1490213788,6,6
1490217641,2,8
1490221471,3,6
1490225321,1,6
1490229163,4,4
1490232998,7,15
1490236830,2,16
1490240683,24,27
1490244527,46,63
1490248362,11,18
1490252194,38,51
1490256111,33,39
1490259875,35,44
1490263723,22,48
1490267568,23,23
1490271404,13,36
1490275231,7,9
1490282914,14,10
1490286764,2,4
1490290631,7,0
1490305985,47,52
1490309779,18,11
1490313717,24,14
1490317482,21,23
1490321335,31,28
1490329003,43,51
1490332841,20,22
1490336678,21,27
1490340524,13,14
1490348210,11,37
1490352032,7,0
1490355870,30,20
1490359991,24,24
1490363805,17,15
1490367700,23,32
1490371731,77,51
1490375576,72,46
1490379301,292,183
1490382991,347,346
1490386840,450,449
1490390676,241,241
1490394509,451,451
1490398350,426,428
1490402203,203,202
1490406036,22,22
1490409875,36,38
1490413734,446,443
1490417548,450,450
1490421395,450,450
1490425325,448,451
1490429079,41,40
1490432928,54,57
1490436745,37,38
1490440589,44,57
1490444445,30,33
1490448276,15,17
1490452106,19,48
1490455954,26,35
1490459822,27,29
1490463877,136,125
1490467720,449,396
1490471878,71,73
1490475743,67,67
1490479491,25,32
1490483338,204,206
1490487162,444,433
1490490997,80,80
1490494856,23,25
1490498677,97,102
1490502534,256,256
1490506647,81,75
1490510439,78,80
1490514288,95,112
1490518129,64,67
1490521969,11,37
1490525792,270,237
1490529732,17,15
1490533482,20,42
1490537339,60,57
1490541165,434,401
1490545151,450,451
1490548832,451,450
1490552677,451,451
1490556554,47,49
1490560367,53,53
1490564217,39,43
1490568021,37,42
1490571877,18,23
1490575729,45,47
1490579574,18,29
1490583387,4,6
1490587324,5,18
1490591319,29,34
1490595157,26,47
1490598983,34,51
1490602829,31,36
1490606671,13,20
1490610503,12,28
1490614364,4,4
1490618215,8,22
1490625854,14,21
1490629747,33,57
1490633561,22,25
1490637385,37,16
1490641319,19,18
1490645333,17,8
1490649168,2,3
1490656832,13,19
1490660671,8,15
1490664527,9,5
1490668376,32,33
1490672201,31,17
1490676029,46,30
1490679870,29,36
1490683713,18,18
1490687562,6,14
1490691411,7,12
1490699081,12,31
1490702932,30,22
1490706750,38,24
1490710590,48,35
1490714445,26,31
1490718281,19,14
1490722133,11,16
1490741326,36,46
1490745166,33,20
1490749001,24,11
1490752896,39,33
1490756680,49,38
1490760581,21,12
1490764354,20,35
1490772028,12,27
1490791246,41,74
1490802759,21,51
1490806600,31,34
1490810523,22,22
1490814279,42,41
1490818123,27,9
1490821976,151,66
1490825808,363,293
1490829640,443,441
1490833477,327,327
1490837320,448,449
1490841166,450,449
1490845012,208,208
1490848844,52,57
1490852655,412,410
1490856546,444,443
1490860381,451,449
1490864203,450,450
1490868110,70,72
1490871873,36,50
1490875736,38,49
1490879553,33,36
1490883391,30,57
1490887555,40,54
1490891358,57,59
1490895186,124,136
1490899001,445,362
1490902840,50,51
1490906808,82,86
1490910543,39,46
1490914390,449,435
1490918210,372,373
1490922109,58,58
1490925875,171,171
1490929713,202,205
1490933550,46,50
1490937391,36,38
1490941253,52,68
1490945075,285,269
1490948927,36,41
1490952759,38,38
1490956597,176,179
1490960442,450,432
1490964277,449,450
1490968125,450,449
1490971979,217,217
1490975934,42,44
1490979730,38,40
1490983733,45,48
1490987565,56,57
1490991428,26,32
1490999072,15,26
1491002936,12,23
1491010594,7,17
1491022103,12,44
1491029800,11,42
1491037731,14,38
1491056921,31,92
1491076374,35,51
1491084300,16,30
1491099648,16,42
1491107336,9,19
1491119079,31,14
1491122930,15,10
1491126772,44,13
1491130604,27,33
1491134522,29,23
1491138584,31,13
1491142375,40,15
1491146263,33,7
1491150047,25,13
1491153874,28,19
1491157620,24,17
1491161314,38,30
1491165163,36,34
1491168994,38,17
1491172831,31,32
1491176669,33,27
1491184341,56,54
1491188189,24,29
1491192097,9,7
1491196136,21,30
1491199956,21,28
1491203788,24,35
1491207637,27,20
1491211468,19,35
1491215337,23,20
1491219169,42,61
1491222990,25,20
1491226837,58,48
1491230680,46,43
1491234515,71,43
1491238360,53,48
1491242063,53,28
1491245825,316,276
1491249731,343,337
1491253480,451,446
1491257321,369,371
1491261161,448,448
1491265010,449,448
1491268832,74,77
1491272660,74,75
1491276508,434,430
1491280359,450,450
1491284204,450,450
1491288020,450,450
1491291863,109,113
1491295718,58,60
1491299556,71,106
1491303396,75,83
1491307339,39,42
1491311336,61,93
1491315468,63,35
1491319244,141,118
1491323082,434,403
1491326905,69,73
1491330750,96,98
1491461056,426,436
1491464923,218,228
1491468761,28,5
1491472607,41,75
1491476537,448,409
1491480285,449,449
1491484136,450,449
1491487967,451,451
1491491787,80,80
1491495651,83,86
1491499483,37,40
1491503421,49,56
1491507155,84,94
1491511011,55,60
1491514828,14,29
1491530195,49,138
1491534104,19,41
1491537885,4,5
1491541716,9,52
1491545567,7,26
1491549403,24,38
1491553254,31,8
1491560939,30,31
1491564755,14,5
1491568646,26,17
1491572440,12,7
1491576280,15,1
1491580105,11,19
1491583948,8,13
1491587780,19,15
1491591715,41,36
1491595475,29,7
1491599324,23,14
1491603164,19,1
1491606986,11,17
1491610841,18,12
1491614677,11,3
1491618515,8,2
1491622366,18,27
1491626198,10,40
1491630055,11,19
1491633883,13,46
1491637718,6,19
1491641556,22,21
1491676108,124,102
1491679971,35,5
1491683793,18,8
1491687659,20,12
1491691485,13,2
1491695330,18,23
1491699168,10,5
1491702984,13,7
1491706927,17,31
1491710926,12,8
1491714766,20,18
1491718601,41,40
1491722464,51,69
1491726289,54,29
1491730046,57,59
1491733726,306,188
