DateTime,AddedIPs,RemovedIPs
1488564117,0,1
1488567887,1,1
1488591160,1,0
1488595003,1,2
1488598840,1,1
1488606536,0,1
1488614204,1,0
1488618109,0,1
1488625578,2,3
1488629338,1,0
1488633165,1,0
1488637001,1,1
1488640853,1,0
1488660037,1,0
1488667731,1,0
1488687166,1,0
1488691007,0,2
1488698682,1,0
1488702539,1,1
1488710216,0,2
1488714065,2,1
1488721722,1,2
1488729415,0,3
1488733331,0,2
1488745003,1,0
1488783712,1,0
1488787735,2,0
1488791571,2,1
1488795402,1,2
1488799244,3,1
1488803082,0,1
1488806905,3,2
1488810779,1,1
1488818445,0,4
1488829944,1,1
1488837726,0,1
1488845335,0,1
1488861179,1,1
1488865023,1,1
1488868853,1,1
1488876533,1,0
1488880347,1,2
1488888141,3,1
1488899796,1,0
1488911306,2,0
1488915157,2,0
1488919000,2,0
1488922839,1,0
1488926665,2,3
1488930538,1,0
1488942112,0,1
1488945906,0,3
1488949734,1,1
1488953551,0,2
1488957421,0,1
1488965090,2,0
1488972779,2,0
1488991983,2,1
1489003742,2,1
1489022936,1,0
1489030609,0,2
1489034450,0,1
1489042135,0,1
1489045970,0,1
1489049816,0,1
1489053718,1,0
1489057744,2,0
1489061602,0,3
1489073328,1,3
1489081011,2,1
1489084847,2,0
1489088686,2,0
1489104103,0,1
1489127148,1,0
1489130930,0,2
1489134758,0,3
1489146288,2,1
1489153978,1,2
1489161736,1,0
1489169333,1,0
1489173174,2,0
1489196205,1,1
1489203884,1,1
1489207723,1,3
1489242286,1,1
1489246134,2,0
1489249975,1,0
1489261483,1,0
1489265271,1,0
1489269158,1,0
1489272995,1,0
1489276916,1,0
1489280938,1,1
1489284776,3,3
1489288591,0,2
1489292468,1,2
1489296281,1,0
1489311677,2,0
1489319319,1,0
1489323174,1,1
1489330908,5,0
1489334676,0,1
1489342362,3,0
1489350318,3,2
1489354121,0,1
1489357959,3,2
1489361811,0,2
1489365634,1,2
1489377159,0,1
1489381008,2,2
1489392547,1,0
1489396399,1,0
1489400209,0,2
1489404069,1,2
1489407881,0,1
1489415581,2,3
1489419411,2,2
1489423268,3,2
1489430928,1,1
1489434793,4,1
1489438598,1,0
1489442557,1,0
1489453984,1,1
1489457839,2,2
1489461655,3,1
1489469339,0,2
1489477020,1,0
1489480845,1,0
1489484690,0,1
1489492370,2,0
1489503891,1,3
1489519266,1,0
1489523085,2,1
1489538478,2,2
1489542286,1,0
1489549971,0,2
1489561508,1,1
1489565320,0,1
1489576891,3,0
1489580773,1,0
1489588629,3,0
1489592512,1,0
1489596301,0,1
1489603973,1,2
1489607808,1,0
1489615542,1,2
1489623169,0,1
1489627030,3,1
1489634665,0,129
1489638501,1,0
1489642374,2,0
1489646202,2,0
1489650037,1,0
1489653856,3,0
1489657723,1,0
1489661562,1,0
1489665402,2,0
1489673102,1,0
1489677171,1,0
1489684854,1,0
1489688683,1,0
1489692553,4,0
1489700193,1,0
1489707872,1,0
1489719727,1,0
1489723727,5,0
1489727583,1,0
1489731411,3,0
1489735237,1,0
1489742957,1,0
1489746765,1,0
1489750626,2,0
1489758267,3,0
1489762143,2,0
1489765961,1,0
1489777967,2,0
1489781794,1,0
1489793564,1,0
1489812780,3,0
1489816604,2,0
1489820536,1,0
1489843719,5,0
1489866773,1,0
1489882380,1,0
1489886207,3,0
1489893877,1,0
1489897728,2,0
1489901583,1,0
1489905430,1,0
1489924597,4,0
1489928520,1,0
1489932365,5,0
1489936149,1,0
1489947652,1,0
1489951480,2,0
1489974520,2,0
1489978354,2,0
1489986124,1,0
1489989890,2,0
1489993729,1,0
1489997561,2,0
1490001424,1,0
1490009103,3,0
1490016787,1,0
1490020605,2,0
1490039818,1,0
1490063364,1,0
