DateTime,Entries,UniqueIPs
1488591160,110,110
1488595003,109,109
1488598840,109,109
1488606536,108,108
1488614204,109,109
1488618109,108,108
1488625578,107,107
1488629338,108,108
1488633165,109,109
1488637001,109,109
1488640853,110,110
1488660037,111,111
1488667731,112,112
1488687166,113,113
1488691007,111,111
1488698682,112,112
1488702539,112,112
1488710216,110,110
1488714065,111,111
1488721722,110,110
1488729415,107,107
1488733331,105,105
1488745003,106,106
1488783712,107,107
1488787735,109,109
1488791571,110,110
1488795402,109,109
1488799244,111,111
1488803082,110,110
1488806905,111,111
1488810779,111,111
1488818445,107,107
1488829944,107,107
1488837726,106,106
1488845335,105,105
1488861179,105,105
1488865023,105,105
1488868853,105,105
1488876533,106,106
1488880347,105,105
1488888141,107,107
1488899796,108,108
1488911306,110,110
1488915157,112,112
1488919000,114,114
1488922839,115,115
1488926665,114,114
1488930538,115,115
1488942112,114,114
1488945906,111,111
1488949734,111,111
1488953551,109,109
1488957421,108,108
1488965090,110,110
1488972779,112,112
1488991983,113,113
1489003742,114,114
1489022936,115,115
1489030609,113,113
1489034450,112,112
1489042135,111,111
1489045970,110,110
1489049816,109,109
1489053718,110,110
1489057744,112,112
1489061602,109,109
1489073328,107,107
1489081011,108,108
1489084847,110,110
1489088686,112,112
1489104103,111,111
1489127148,112,112
1489130930,110,110
1489134758,107,107
1489146288,108,108
1489153978,107,107
1489161736,108,108
1489169333,109,109
1489173174,111,111
1489196205,111,111
1489203884,111,111
1489207723,109,109
1489242286,109,109
1489246134,111,111
1489249975,112,112
1489261483,113,113
1489265271,114,114
1489269158,115,115
1489272995,116,116
1489276916,117,117
1489280938,117,117
1489284776,117,117
1489288591,115,115
1489292468,114,114
1489296281,115,115
1489311677,117,117
1489319319,118,118
1489323174,118,118
1489330908,123,123
1489334676,122,122
1489342362,125,125
1489350318,126,126
1489354121,125,125
1489357959,126,126
1489361811,124,124
1489365634,123,123
1489377159,122,122
1489381008,122,122
1489392547,123,123
1489396399,124,124
1489400209,122,122
1489404069,121,121
1489407881,120,120
1489415581,119,119
1489419411,119,119
1489423268,120,120
1489430928,120,120
1489434793,123,123
1489438598,124,124
1489442557,125,125
1489453984,125,125
1489457839,125,125
1489461655,127,127
1489469339,125,125
1489477020,126,126
1489480845,127,127
1489484690,126,126
1489492370,128,128
1489503891,126,126
1489519266,127,127
1489523085,128,128
1489538478,128,128
1489542286,129,129
1489549971,127,127
1489561508,127,127
1489565320,126,126
1489576891,129,129
1489580773,130,130
1489588629,133,133
1489592512,134,134
1489596301,133,133
1489603973,132,132
1489607808,133,133
1489615542,132,132
1489623169,131,131
1489627030,133,133
1489634665,4,4
1489638501,5,5
1489642374,7,7
1489646202,9,9
1489650037,10,10
1489653856,13,13
1489657723,14,14
1489661562,15,15
1489665402,17,17
1489673102,18,18
1489677171,19,19
1489684854,20,20
1489688683,21,21
1489692553,25,25
1489700193,26,26
1489707872,27,27
1489719727,28,28
1489723727,33,33
1489727583,34,34
1489731411,37,37
1489735237,38,38
1489742957,39,39
1489746765,40,40
1489750626,42,42
1489758267,45,45
1489762143,47,47
1489765961,48,48
1489777967,50,50
1489781794,51,51
1489793564,52,52
1489812780,55,55
1489816604,57,57
1489820536,58,58
1489843719,63,63
1489866773,64,64
1489882380,65,65
1489886207,68,68
1489893877,69,69
1489897728,71,71
1489901583,72,72
1489905430,73,73
1489924597,77,77
1489928520,78,78
1489932365,83,83
1489936149,84,84
1489947652,85,85
1489951480,87,87
1489974520,89,89
1489978354,91,91
1489986124,92,92
1489989890,94,94
1489993729,95,95
1489997561,97,97
1490001424,98,98
1490009103,101,101
1490016787,102,102
1490020605,104,104
1490039818,105,105
1490063364,106,106
1490067167,107,107
1490078705,108,108
1490098159,111,111
1490105811,110,110
1490113509,110,110
1490117319,111,111
1490121161,112,112
1490125015,114,114
1490140364,113,113
1490144214,112,112
1490148132,112,112
1490163386,112,112
1490174919,113,113
1490182599,115,115
1490197963,116,116
1490205715,117,117
1490209911,118,118
1490213794,117,117
1490217647,116,116
1490229168,115,115
1490233003,115,115
1490236836,114,114
1490244533,115,115
1490252201,112,112
1490256116,114,114
1490259882,115,115
1490263731,112,112
1490271412,109,109
1490282919,104,104
1490286769,102,102
1490290636,103,103
1490305991,107,107
1490317487,108,108
1490321342,109,109
1490329011,109,109
1490332846,111,111
1490336690,112,112
1490340530,112,112
1490348215,112,112
1490352039,113,113
1490355878,113,113
1490367709,112,112
1490379310,113,113
1490386849,113,113
1490390683,114,114
1490394516,115,115
1490398358,113,113
1490413741,111,111
1490417554,110,110
1490421406,110,110
1490432935,110,110
1490440599,111,111
1490444452,111,111
1490452112,112,112
1490459829,113,113
1490463884,112,112
1490471885,111,111
1490475755,113,113
1490479498,115,115
1490483345,114,114
1490487169,113,113
1490494863,110,110
1490498687,109,109
1490502542,109,109
1490506660,108,108
1490514296,108,108
1490525799,110,110
1490529740,113,113
1490533488,113,113
1490541172,112,112
1490545159,111,111
1490560376,113,113
1490564233,115,115
1490571884,115,115
1490575744,113,113
1490579581,114,114
1490583392,115,115
1490587330,114,114
1490595165,113,113
1490602836,113,113
1490610508,111,111
1490614370,110,110
1490633567,110,110
1490641326,111,111
1490645339,112,112
1490649173,112,112
1490656837,111,111
1490668383,112,112
1490672208,112,112
1490676035,110,110
1490679880,106,106
1490683720,105,105
1490687568,107,107
1490691416,108,108
1490699087,111,111
1490706756,111,111
1490714452,109,109
1490722138,110,110
1490741333,109,109
1490745173,110,110
1490752902,112,112
1490756688,113,113
1490764361,114,114
1490791252,118,118
1490802765,113,113
1490818137,114,114
1490821984,114,114
1490833484,113,113
1490837328,112,112
1490841174,114,114
1490845022,115,115
1490848860,114,114
1490868119,115,115
1490871886,116,116
1490875747,116,116
1490883401,117,117
1490887566,116,116
1490891368,114,114
1490899009,110,110
1490902848,111,111
1490906816,112,112
1490922120,110,110
1490925890,111,111
1490929721,112,112
1490933557,111,111
1490937401,111,111
1490941264,113,113
1490952767,111,111
1490956604,113,113
1490964291,113,113
1490971991,110,110
1490975941,110,110
1490983741,111,111
1490991434,115,115
1490999080,120,120
1491002941,121,121
1491022108,120,120
1491029806,117,117
1491037738,117,117
1491056926,117,117
1491076381,125,125
1491099658,124,124
1491107342,124,124
1491119086,127,127
1491122939,126,126
1491126779,127,127
1491130612,125,125
1491138592,126,126
1491142383,125,125
1491146272,124,124
1491150056,126,126
1491157628,127,127
1491165172,128,128
1491169001,129,129
1491184347,128,128
1491188196,129,129
1491192104,130,130
1491196143,129,129
1491199966,129,129
1491203795,130,130
1491211474,128,128
1491215345,127,127
1491219184,123,123
1491230689,124,124
1491242073,123,123
1491245833,127,127
1491249739,129,129
1491253489,128,128
1491272673,131,131
1491276526,132,132
1491284218,132,132
1491291873,131,131
1491299565,132,132
1491303405,131,131
1491311346,126,126
1491319259,125,125
1491323092,124,124
1491461803,126,126
1491465722,126,126
1491473565,131,131
1491477412,130,130
1491481252,129,129
1491485070,128,128
1491492770,125,125
1491496613,130,130
1491500454,131,131
1491504271,132,132
1491508130,135,135
1491511957,136,136
1491523481,138,138
1491531175,139,139
1491535015,137,137
1491542669,136,136
1491546528,134,134
1491554219,134,134
1491558068,129,129
1491561875,132,132
1491569598,126,126
1491581500,125,125
1491600786,126,126
1491604602,125,125
1491616125,126,126
1491619966,125,125
1491627731,126,126
1491631477,125,125
1491635338,125,125
1491639155,124,124
1491642988,121,121
1491646898,121,121
1491677674,121,121
1491700857,121,121
1491708797,120,120
1491712602,119,119
1491716695,120,120
1491720528,119,119
1491724381,118,118
1491728212,117,117
1491732104,120,120
1491739990,122,122
1491743802,121,121
1491751482,118,118
1491755311,117,117
1491759170,119,119
1491767275,119,119
1491771175,120,120
1491778930,119,119
1491782686,121,121
1491790392,122,122
1491805723,123,123
1491813395,121,121
1491821081,117,117
1491825182,116,116
1491832924,113,113
1491840671,114,114
1491852143,114,114
1491855894,113,113
1491879157,114,114
