DateTime,AddedIPs,RemovedIPs
1489955339,3,0
1489959170,3,5
1489963007,3,4
1489966857,0,1
1489970676,3,2
1489974529,3,2
1489978364,3,4
1489982208,1,3
1489986132,1,4
1489989898,7,13
1489993736,3,5
1489997570,3,2
1490001432,1,5
1490009112,2,2
1490012933,3,2
1490016800,1,1
1490020616,2,3
1490024444,1,2
1490028281,3,1
1490032132,1,1
1490035978,1,2
1490039828,7,2
1490043713,2,0
1490047733,1,4
1490051819,2,1
1490055658,1,4
1490059511,2,4
1490063375,0,2
1490067187,6,7
1490071017,0,1
1490074842,3,2
1490078715,1,0
1490082542,5,3
1490086366,0,2
1490090217,1,0
1490094111,3,2
1490101969,2,1
1490105820,3,1
1490113517,2,4
1490117325,2,3
1490121167,3,3
1490125021,4,1
1490128832,6,2
1490132733,3,3
1490136548,1,1
1490140369,2,2
1490148137,1,3
1490151893,1,4
1490155719,0,3
1490159558,0,7
1490163392,3,7
1490167266,3,7
1490171084,1,1
1490174926,4,2
1490178765,4,2
1490182606,2,2
1490186460,1,2
1490190288,1,1
1490194152,1,0
1490197970,2,3
1490201820,1,2
1490205719,1,0
1490209917,11,3
1490213801,1,0
1490217654,1,1
1490221481,2,1
1490225333,2,6
1490229176,0,1
1490233008,3,2
1490240694,3,2
1490244540,0,2
1490248373,1,0
1490252207,1,9
1490256123,4,8
1490259887,4,4
1490263739,3,6
1490267578,1,0
1490271421,4,3
1490275242,2,2
1490282924,3,3
1490286774,12,0
1490290641,3,0
1490305997,15,7
1490309790,3,3
1490313732,4,0
1490317495,2,0
1490321350,1,0
1490329017,7,7
1490332854,4,7
1490336702,3,4
1490340535,2,5
1490348221,2,3
1490352046,1,0
1490355889,3,2
1490360003,3,3
1490363815,1,0
1490367718,1,2
1490371743,4,3
1490375590,2,3
1490383005,7,1
1490386859,9,6
1490390690,3,1
1490394522,1,2
1490398364,3,1
1490402218,2,1
1490406050,1,2
1490409887,3,8
1490413747,1,4
1490417562,3,4
1490421415,1,2
1490425341,5,0
1490429094,6,2
1490432943,3,0
1490436761,1,0
1490440606,3,1
1490444459,2,0
1490452119,4,3
1490455966,2,1
1490459837,5,2
1490463892,2,0
1490467737,2,1
1490471895,9,6
1490475762,2,0
1490479507,0,1
1490483351,1,3
1490487175,3,3
1490491011,1,2
1490494870,2,7
1490498702,2,4
1490502549,0,9
1490506667,1,8
1490510454,2,1
1490514303,3,3
1490518143,0,1
1490521988,0,2
1490525807,2,3
1490529750,2,1
1490533494,3,3
1490537355,2,1
1490541179,3,1
1490545167,2,3
1490548852,6,1
1490552692,1,1
1490556570,6,4
1490564245,3,0
1490568040,3,3
1490571893,1,4
1490575752,4,1
1490579588,3,1
1490583399,1,0
1490587336,4,11
1490591333,2,5
1490595172,1,6
1490598998,3,5
1490602842,2,6
1490606682,1,1
1490610514,2,2
1490614376,1,0
1490618230,1,3
1490625868,3,2
1490629765,4,3
1490633574,3,2
1490637400,1,1
1490641332,3,2
1490645345,5,7
1490649180,2,2
1490652986,2,2
1490656843,1,0
1490660689,0,2
1490664539,1,1
1490668393,1,6
1490672215,1,2
1490676040,3,6
1490679889,2,6
1490683726,5,6
1490687574,2,2
1490691422,2,2
1490699094,5,1
1490702944,1,0
1490706762,2,3
1490710604,2,0
1490714461,1,1
1490718292,5,2
1490722144,4,0
1490741339,10,7
1490745181,1,3
1490752910,3,4
1490756695,3,3
1490760593,5,2
1490764370,2,3
1490772041,8,9
1490791259,21,18
1490802771,6,4
1490810545,2,1
1490814292,2,0
1490818150,3,1
1490829654,0,1
1490833491,3,2
1490837334,1,1
1490841182,2,3
1490845029,2,1
1490852672,1,0
1490856568,4,2
1490860397,2,1
1490864220,6,1
1490868125,3,0
1490871897,4,3
1490875754,7,13
1490879582,0,2
1490883413,4,5
1490887575,1,2
1490891375,2,1
1490899018,4,2
1490902858,5,1
1490906824,3,0
1490910568,3,5
1490914413,3,0
1490918228,2,0
1490922130,2,6
1490925901,1,0
1490929727,3,4
1490933566,0,2
1490937410,3,0
1490941272,3,2
1490945091,4,3
1490948944,2,6
1490952774,0,2
1490956612,5,11
1490960458,1,1
1490964300,3,4
1490968149,3,1
1490972006,3,2
1490975949,1,1
1490979745,1,1
1490983749,1,2
1490987582,2,2
1490991440,5,1
1490999087,3,1
1491002948,0,1
1491010606,2,1
1491022116,4,7
1491029812,6,7
1491037746,4,6
1491056934,11,19
1491076389,13,6
1491084315,7,1
1491099664,11,6
1491107348,2,5
1491119093,7,4
1491122946,2,2
1491126786,2,1
1491130622,2,4
1491134541,3,1
1491138603,3,6
1491142391,4,8
1491150064,4,12
1491153893,3,2
1491157635,1,0
1491161328,5,3
1491165179,2,1
1491169008,2,1
1491172853,2,0
1491176685,2,2
1491184354,2,1
1491188203,2,3
1491192115,1,0
1491196150,0,2
1491199978,2,3
1491203802,3,8
1491207654,2,5
1491211481,3,0
1491215355,2,1
1491219197,6,4
1491223004,3,4
1491226869,3,6
1491230699,2,8
1491234529,2,0
1491238383,1,1
1491242083,4,2
1491245843,7,3
1491249747,6,1
1491253499,1,1
1491261184,1,0
1491265028,1,4
1491268858,3,3
1491272683,5,5
1491276536,2,3
1491280384,1,3
1491284232,2,5
1491288051,4,6
1491291882,3,9
1491295737,0,1
1491299574,4,1
