DateTime,Entries,UniqueIPs
1489970676,175,175
1489974529,176,176
1489978364,175,175
1489982208,173,173
1489986132,170,170
1489989898,164,164
1489993736,162,162
1489997570,163,163
1490001432,159,159
1490009112,159,159
1490012933,160,160
1490016800,160,160
1490020616,159,159
1490024444,158,158
1490028281,160,160
1490032132,160,160
1490035978,159,159
1490039828,164,164
1490043713,166,166
1490047733,163,163
1490051819,164,164
1490055658,161,161
1490059511,159,159
1490063375,157,157
1490067187,156,156
1490071017,155,155
1490074842,156,156
1490078715,157,157
1490082542,159,159
1490086366,157,157
1490090217,158,158
1490094111,159,159
1490101969,160,160
1490105820,162,162
1490113517,160,160
1490117325,159,159
1490121167,159,159
1490125021,162,162
1490128832,166,166
1490132733,166,166
1490136548,166,166
1490140369,166,166
1490148137,164,164
1490151893,161,161
1490155719,158,158
1490159558,151,151
1490163392,147,147
1490167266,143,143
1490171084,143,143
1490174926,145,145
1490178765,147,147
1490182606,147,147
1490186460,146,146
1490190288,146,146
1490194152,147,147
1490197970,146,146
1490201820,145,145
1490205719,146,146
1490209917,154,154
1490213801,155,155
1490217654,155,155
1490221481,156,156
1490225333,152,152
1490229176,151,151
1490233008,152,152
1490240694,153,153
1490244540,151,151
1490248373,152,152
1490252207,144,144
1490256123,140,140
1490259887,140,140
1490263739,137,137
1490267578,138,138
1490271421,139,139
1490275242,139,139
1490282924,139,139
1490286774,151,151
1490290641,154,154
1490305997,162,162
1490309790,162,162
1490313732,166,166
1490317495,168,168
1490321350,169,169
1490329017,169,169
1490332854,166,166
1490336702,165,165
1490340535,162,162
1490348221,161,161
1490352046,162,162
1490355889,163,163
1490360003,163,163
1490363815,164,164
1490367718,163,163
1490371743,164,164
1490375590,163,163
1490383005,169,169
1490386859,172,172
1490390690,174,174
1490394522,173,173
1490398364,175,175
1490402218,176,176
1490406050,175,175
1490409887,170,170
1490413747,167,167
1490417562,166,166
1490421415,165,165
1490425341,170,170
1490429094,174,174
1490432943,177,177
1490436761,178,178
1490440606,180,180
1490444459,182,182
1490452119,183,183
1490455966,184,184
1490459837,187,187
1490463892,189,189
1490467737,190,190
1490471895,193,193
1490475762,195,195
1490479507,194,194
1490483351,192,192
1490487175,192,192
1490491011,191,191
1490494870,186,186
1490498702,184,184
1490502549,175,175
1490506667,168,168
1490510454,169,169
