DateTime,AddedIPs,RemovedIPs
1488309390,2,0
1488313261,2,0
1488317086,3,0
1488320920,1,0
1488324769,3,0
1488328595,1,0
1488336264,1,0
1488379026,1,0
1488398227,1,0
1488425077,1,0
1488428911,1,0
1488440447,1,0
1488444300,1,0
1488451963,2,0
1488467569,1,0
1488483403,1,0
1488487268,1,0
1488506540,1,0
1488518028,1,0
1488533324,1,0
1488571715,1,0
1488583579,1,0
1488587335,1,0
1488591161,1,0
1488629339,1,0
1488637002,1,0
1488656202,1,0
1488679327,1,0
1488694834,1,0
1488717869,1,0
1488721724,1,0
1488768287,1,0
1488772110,1,0
1488795404,2,0
1488803084,1,0
1488810781,1,0
1488837728,1,0
1488841484,1,0
1488857333,1,0
1488876536,1,0
1488899798,1,0
1488915158,2,0
1488942113,1,0
1488949736,1,0
1488957424,2,0
1488965091,1,0
1488976608,1,0
1489007571,1,0
1489015253,1,0
1489022938,1,0
1489045971,1,0
1489049818,2,0
1489053720,2,0
1489057746,2,0
1489065687,1,0
1489077159,1,0
1489088688,1,0
1489134759,1,0
1489146290,2,0
1489157818,1,0
1489173176,2,0
1489177005,1,0
1489180861,2,0
1489192372,1,0
1489196206,1,0
1489200026,3,0
1489203885,1,0
1489223081,2,0
1489226928,2,0
1489230778,5,0
1489234593,2,0
1489238461,2,0
1489242287,1,0
1489246137,6,0
1489249977,7,0
1489253812,1,0
1489265273,1,0
1489284780,5,0
1489288594,2,0
1489296283,1,0
1489303949,1,0
1489307801,2,0
1489315485,1,0
1489327001,6,0
1489330911,2,0
1489334678,2,0
1489338547,10,0
1489342364,5,0
1489346488,6,0
1489350320,3,0
1489354124,4,0
1489357960,4,0
1489373332,1,0
1489381010,1,0
1489388682,1,0
1489392549,8,0
1489396402,4,0
1489400216,5,0
1489404073,7,0
1489407886,4,0
1489411745,8,0
1489415584,1,0
1489419414,8,0
1489423271,4,0
1489427082,7,0
1489430935,7,0
1489434795,5,0
1489438602,4,0
1489442560,4,0
1489446307,7,0
1489450141,8,0
1489453987,2,0
1489457845,4,0
1489461660,3,0
1489473199,1,0
1489477025,5,0
1489480849,4,0
1489484697,4,0
1489488553,3,0
1489492375,3,0
1489496225,4,0
1489500176,2,0
1489511582,10,0
1489515409,5,0
1489519272,10,0
1489523092,1,0
1489526995,1,0
1489530799,2,0
1489534636,5,0
1489542291,7,2
1489546147,3,3
1489565322,1,1
1489584818,2,1
1489588635,2,1
1489596307,5,3
1489600118,9,8
1489603977,4,3
1489607811,6,1
1489611806,1,0
1489615547,1,2
1489619335,2,2
1489623171,1,4
1489627033,2,3
1489634665,2,360
1489638501,3,0
1489642375,1,0
1489646203,3,0
1489650037,3,0
1489653857,3,0
1489657724,3,0
1489661563,4,0
1489665403,2,0
1489669325,5,0
1489673103,4,0
1489677172,8,0
1489681017,6,0
1489684855,7,0
1489688685,2,0
1489692554,2,0
1489696381,3,0
1489700194,6,0
1489704024,8,0
1489712117,4,0
1489715795,6,0
1489719728,1,0
1489723728,2,0
1489727584,8,0
1489731413,2,0
1489735237,5,0
1489739083,5,0
1489742958,4,0
1489750627,4,0
1489754434,10,0
1489758268,1,0
1489762144,9,0
1489765962,7,0
1489770285,6,0
1489774125,2,0
1489777968,1,0
1489781795,2,0
1489785650,5,0
1489789730,7,0
1489793566,3,0
1489797410,2,0
1489812781,1,0
1489832204,5,0
1489843721,12,0
1489851409,6,0
1489855248,4,0
1489859081,6,0
1489862908,8,0
1489866774,3,0
1489870607,6,0
1489874552,3,0
1489882381,5,0
1489886208,10,0
1489890076,5,0
1489893878,4,0
1489897731,6,0
1489905431,4,0
1489909288,3,0
1489913087,5,0
1489916931,5,0
1489920763,5,0
1489924598,4,0
1489928522,6,0
1489932367,2,0
1489936155,8,0
1489939972,7,0
1489943818,1,0
1489947654,2,0
1489951482,1,0
1489959163,1,0
1489963003,2,0
1489966852,3,0
1489970670,5,0
1489974523,2,0
1489978357,7,0
1489982200,3,0
1489986126,6,0
1489989892,5,0
1489993731,4,0
1490001426,1,0
1490012926,1,0
1490016791,5,0
1490020608,3,0
1490024435,3,0
1490028275,11,0
1490032122,4,0
1490035969,2,0
1490063366,1,0
1490073174,4,0
1490077252,6,0
1490081084,2,0
1490085198,1,0
1490100541,4,0
1490104347,5,1
1490108289,5,4
1490112100,1,1
