DateTime,AddedIPs,RemovedIPs
1490047730,449,450
1490051816,450,450
1490055656,41,43
1490059507,65,67
1490063371,46,52
1490067182,407,397
1490071014,447,446
1490074838,449,449
1490078710,449,449
1490082537,449,450
1490086364,450,449
1490090212,450,450
1490094108,413,417
1490098162,72,74
1490101967,50,51
1490105817,48,58
1490109646,18,20
1490113514,22,64
1490117322,382,325
1490121166,447,444
1490125019,438,444
1490128830,442,437
1490132729,413,414
1490136546,20,21
1490140367,47,51
1490144218,25,35
1490148135,10,29
1490151891,46,69
1490155718,23,46
1490159556,35,82
1490163389,15,29
1490167264,23,52
1490171081,94,36
1490174922,234,141
1490178762,226,210
1490182604,324,319
1490186456,385,391
1490190285,233,233
1490194148,241,237
1490197967,349,347
1490201817,269,268
1490205717,183,183
1490209914,50,53
1490213798,28,29
1490217651,16,39
1490221479,14,18
1490225331,20,41
1490229172,11,29
1490233006,12,35
1490236839,15,52
1490240692,222,171
1490244538,247,172
1490248371,300,297
1490252205,347,352
1490256121,283,280
1490259885,273,277
1490263735,323,321
1490267577,262,258
1490271418,195,197
1490275240,33,35
1490282922,45,105
1490286772,37,59
1490290639,20,27
1490305994,199,178
1490309788,230,173
1490313729,186,178
1490317491,289,287
1490321347,264,262
1490329014,432,433
1490332850,298,298
1490336697,221,218
1490340532,168,171
1490348219,75,106
1490352043,12,15
1490355883,385,349
1490360001,449,446
1490363813,450,451
1490367715,401,400
1490371740,445,449
1490375588,442,438
1490379315,450,451
1490383003,445,447
1490386855,381,378
1490390687,449,450
1490394519,380,382
1490398362,306,308
1490402214,269,268
1490406047,396,394
1490409884,446,445
1490413744,56,57
1490417560,44,50
1490421413,244,255
1490425337,397,383
1490429090,439,436
1490432939,451,449
1490436758,448,450
1490440604,446,445
1490444456,348,348
1490448288,450,450
1490452116,450,449
1490455964,449,451
1490459834,436,435
1490463890,451,450
1490467735,450,450
1490471890,436,450
1490475759,444,432
1490479504,445,446
1490483349,300,298
1490487172,45,47
1490491008,370,370
1490494867,445,443
1490498697,332,331
1490502545,447,448
1490506664,450,450
1490510452,449,449
1490514300,447,448
1490518141,447,445
1490521984,446,447
1490525804,377,377
1490529747,450,450
1490533492,450,449
1490537351,451,451
1490541177,44,47
1490545164,246,248
1490548850,332,331
1490552688,449,445
1490556567,446,448
1490560380,449,448
1490564241,447,447
1490568037,450,449
1490571891,441,443
1490575750,451,449
1490579586,245,246
1490583396,18,20
1490587333,68,74
1490591330,373,370
1490595169,437,436
1490598995,446,442
1490602840,447,447
1490606680,356,358
1490610512,67,70
1490614374,20,20
1490618228,14,48
1490625864,181,203
1490629762,374,313
1490633572,445,446
1490637398,418,418
1490641329,430,429
1490645342,165,171
1490649177,12,16
1490656841,46,84
1490660685,23,60
1490664537,115,112
1490668390,394,313
1490672213,435,436
1490676038,404,405
1490679885,438,438
1490683723,229,228
1490687572,64,76
1490691419,26,24
1490699091,40,93
1490702941,347,287
1490706759,416,412
1490710602,446,445
1490714457,441,443
1490718290,205,208
1490722141,22,22
1490741337,224,274
1490745178,426,371
1490752907,446,446
1490756693,447,447
1490760591,428,428
1490764365,448,448
1490772037,64,89
1490791256,123,245
1490802768,45,76
1490806614,442,264
1490810540,449,448
1490814290,448,449
1490818145,448,448
1490821989,448,447
1490825823,274,277
1490829652,156,158
1490833489,296,296
1490837332,69,79
1490841179,190,185
1490845026,446,438
1490848869,451,449
1490852668,449,450
1490856564,449,449
1490860394,411,411
1490864216,448,447
1490868123,443,450
1490871892,450,444
1490875752,446,447
1490879579,435,434
1490883409,450,449
1490887572,451,451
1490891373,449,450
1490899013,450,449
1490902854,450,450
1490906821,449,449
1490910565,449,449
1490914406,447,450
1490918226,449,447
1490922127,448,447
1490925897,448,448
1490929725,449,449
1490933562,447,450
1490937407,293,292
1490941268,448,448
1490945088,433,433
1490948940,450,448
1490952771,451,451
1490956609,448,449
