DateTime,AddedIPs,RemovedIPs
1490043716,116,116
1490047736,165,165
1490051821,152,151
1490055661,171,170
1490059515,185,182
1490063379,150,152
1490067190,216,217
1490071021,199,196
1490074847,253,249
1490078719,172,172
1490082546,263,269
1490086369,223,223
1490090221,197,194
1490094113,343,340
1490098167,72,73
1490101973,158,160
1490105825,298,295
1490109651,65,68
1490113520,222,226
1490117327,403,396
1490121170,111,114
1490125023,297,298
1490128834,208,207
1490132736,162,165
1490136551,76,77
1490140372,239,236
1490144224,144,144
1490148139,148,152
1490151896,234,232
1490155722,141,140
1490159560,221,217
1490163395,124,129
1490167268,254,251
1490171088,94,96
1490174928,172,173
1490178769,247,247
1490182609,46,48
1490186463,241,234
1490190290,142,142
1490194154,53,53
1490197973,256,255
1490201824,208,209
1490205722,74,77
1490209920,270,271
1490213803,56,57
1490217657,43,112
1490221484,73,21
1490225336,82,66
1490229179,31,69
1490233010,177,135
1490236843,111,124
1490240697,115,103
1490244543,214,209
1490248377,140,143
1490252209,208,208
1490256125,250,254
1490259890,108,116
1490263741,421,408
1490267581,64,67
1490271425,206,206
1490275245,249,246
1490282926,208,213
1490286776,301,296
1490290644,130,130
1490306000,400,440
1490309793,143,116
1490313734,152,155
1490317499,229,224
1490321354,134,143
1490329021,352,375
1490332858,284,262
1490336706,88,84
1490340537,325,314
1490348223,310,309
1490352049,64,66
1490355891,154,154
1490360006,214,213
1490363817,31,35
1490367722,185,178
1490371746,185,183
1490375594,80,86
1490379320,90,93
1490383010,149,149
1490386863,189,183
1490390693,92,93
1490394526,77,102
1490398367,108,88
1490402222,148,145
1490406053,133,131
1490409889,122,121
1490413751,133,134
1490417565,187,185
1490421419,134,159
1490425345,280,256
1490429097,78,78
1490432945,302,298
1490436764,79,82
1490440610,188,186
1490444462,161,164
1490448294,54,61
1490452121,263,251
1490455970,57,58
1490459840,57,59
1490463896,108,107
1490467742,114,117
1490471899,243,245
1490475764,124,127
1490479510,70,91
1490483354,101,91
1490487179,180,174
1490491014,105,107
1490494873,184,183
1490498706,176,170
1490502552,149,148
1490506670,231,230
1490510459,127,129
1490514307,293,289
1490518146,117,112
1490521995,215,217
1490525810,152,149
1490529753,76,77
1490533497,252,252
1490537358,56,57
1490541182,59,59
1490545171,279,278
1490548857,81,81
1490552694,106,108
1490556574,221,225
1490560387,149,150
1490564251,97,123
1490568043,74,54
1490571896,82,85
1490575755,119,121
1490579590,180,176
1490583401,84,81
1490587341,180,172
1490591336,121,118
1490595174,240,241
1490599001,162,167
1490602844,216,214
1490606685,139,140
1490610516,212,210
1490614378,55,54
1490618233,69,70
1490625872,254,250
1490629768,205,205
1490633578,195,198
1490637403,111,111
1490641334,123,125
1490645347,200,201
1490649183,69,69
1490652988,107,142
1490656846,100,65
1490660694,149,147
1490664542,46,49
1490668395,217,213
1490672220,115,125
1490676043,212,210
1490679893,227,232
1490683729,123,128
1490687577,224,214
1490699096,255,246
1490702946,72,75
1490706765,225,224
1490710607,75,73
1490714467,113,118
1490718294,302,299
1490722146,108,112
1490741342,406,401
1490745183,94,97
1490752912,240,258
1490756699,197,191
1490760596,109,103
1490764374,240,234
1490772044,305,305
1490791262,293,290
1490802774,236,239
1490806620,80,82
1490810552,55,57
1490814295,89,89
1490818154,216,216
1490821995,100,94
1490825828,69,112
1490829657,44,19
1490833493,117,105
1490837337,161,157
1490841185,54,52
1490845031,380,381
1490848878,423,417
1490852675,444,449
1490856573,446,445
1490860401,395,393
1490864223,445,445
1490868129,445,443
1490871903,366,373
1490875758,445,441
1490879586,264,263
1490883421,447,447
1490887579,438,444
1490891381,339,337
1490899024,449,445
1490902862,442,442
1490906827,394,396
1490910572,339,344
1490914419,264,272
1490918232,382,374
1490922134,446,439
1490925905,328,332
1490929730,295,294
1490933569,178,183
1490937412,64,64
1490941275,235,232
1490945093,60,72
1490948946,233,237
1490952777,108,101
1490956615,156,148
1490960461,45,51
1490964303,206,201
1490968154,53,54
1490972016,55,86
1490975952,208,178
1490979747,42,51
1490983752,104,108
1490987586,71,74
1490991442,192,183
1490999090,149,193
1491002951,128,85
1491010608,244,238
1491022118,221,217
1491029814,255,250
1491037748,320,318
1491056937,163,165
1491076391,439,441
1491084317,168,190
1491099667,234,212
1491107351,251,246
1491119097,270,271
1491122950,383,383
1491126790,421,420
1491130625,445,447
1491134544,413,410
1491138607,448,449
1491142395,446,447
1491146281,366,369
1491150067,449,445
1491153897,444,446
1491157640,392,391
1491161332,444,445
1491165182,385,383
1491169011,397,400
1491172857,385,384
1491176688,449,446
1491184357,443,447
1491188205,444,443
1491192117,307,309
1491196153,446,442
1491199980,442,444
1491203805,446,447
1491207657,408,405
1491211484,444,446
1491215359,413,412
1491219202,446,444
1491223007,359,363
1491226876,401,401
1491230702,443,443
1491234533,363,364
1491238388,371,372
1491242087,372,366
1491245846,443,446
1491249753,446,445
1491253503,359,357
1491257343,434,438
1491261188,447,445
1491265032,441,444
1491268862,403,400
1491272687,446,444
1491276541,450,450
1491280390,440,441
1491284237,446,446
1491288060,392,393
1491291889,450,448
1491295742,361,364
1491299579,446,445
1491303417,445,445
1491307377,357,361
1491311361,448,443
1491315499,371,370
1491319275,448,450
1491323106,448,448
1491326934,362,361
1491330793,399,398
1491461816,427,450
1491465735,224,227
1491469744,108,100
1491473579,224,214
1491477431,96,94
1491481267,66,66
1491485085,255,254
1491488952,47,49
1491492802,97,99
1491496627,255,255
1491500488,94,97
1491504286,52,50
1491508149,174,173
1491511969,159,161
1491515819,89,127
1491523493,191,154
1491531186,216,221
1491535028,171,163
1491538844,119,136
1491542686,208,195
1491546561,301,296
1491550394,445,439
1491554275,335,337
1491558124,446,446
1491561919,383,381
1491565790,346,346
1491569736,440,445
1491573504,437,432
1491577332,356,366
1491581513,447,438
1491585203,448,447
1491589040,433,431
1491592864,446,448
1491596683,355,353
1491600802,448,451
1491604616,435,434
1491608476,446,447
1491612289,400,401
1491616138,439,441
1491619979,447,442
1491623813,417,419
1491627749,445,446
1491631489,440,439
1491635350,446,443
1491639167,396,400
1491643009,444,442
1491647010,283,282
1491677687,445,449
1491681406,431,431
1491685326,443,444
1491689107,404,401
1491692944,419,420
1491696788,443,446
1491700871,448,441
1491704694,425,428
1491708810,446,445
1491712617,433,436
1491716709,448,443
1491720545,446,449
1491724398,446,446
1491728229,401,399
1491732120,447,446
1491736157,390,393
1491740011,444,443
1491743822,447,446
1491747683,397,397
1491751504,446,449
1491755331,429,429
1491759186,386,391
1491763011,405,400
1491767291,438,444
1491771190,333,326
1491775014,137,139
1491778951,148,150
1491782700,233,237
1491786562,67,68
1491790411,288,282
1491794234,83,85
1491798099,326,326
1491801896,70,77
1491805738,307,299
1491809595,61,66
1491813409,320,310
1491817290,80,80
1491821100,180,181
1491825205,187,190
1491829056,191,192
1491832994,337,334
1491836700,330,329
1491840688,173,178
1491844385,206,201
1491848252,177,177
1491852162,237,243
1491855910,187,193
1491859746,81,85
1491863864,123,112
1491867677,66,61
1491871501,160,164
1491875353,147,148
1491879176,85,87
1491883041,242,241
1491886940,82,82
1491890699,287,288
1491894559,69,69
1491898366,301,298
1491902215,68,66
1491906064,224,230
1491909908,155,154
1491913770,52,59
1491917571,271,256
1491921438,67,70
1491925247,108,113
1491929359,330,325
1491933184,75,82
1491937067,190,195
1491940944,244,231
1491948798,172,183
1491952608,113,123
1491956459,278,271
1491960301,77,81
1491964418,315,307
1491968231,94,95
1491972083,331,324
1491975899,81,82
1491979774,285,290
1491983600,90,86
1491987423,152,152
1491991402,312,316
1491995352,125,134
1491999204,223,216
1492003024,197,188
1492006884,41,42
1492010706,161,163
1492014576,220,218
1492018400,84,88
1492026081,212,219
1492029890,191,192
1492033760,110,110
1492037576,170,165
1492041473,74,73
1492045338,243,234
1492049105,74,77
1492052945,273,270
1492056775,95,104
1492060622,299,304
1492064467,86,80
1492068301,291,282
1492072168,110,113
1492075988,153,156
1492079821,253,253
1492083687,88,94
1492087492,219,210
1492091363,204,201
1492099104,226,230
1492102963,273,268
1492106708,123,129
1492118232,419,430
1492122081,106,92
1492125887,122,132
1492129732,169,156
1492133595,151,156
1492137432,194,194
1492141320,128,126
1492145134,256,256
1492149190,157,158
1492153052,179,182
1492156952,249,250
1492160977,194,192
1492164788,300,294
1492168672,83,86
1492172496,67,69
1492176289,264,259
1492180173,52,53
1492183988,134,137
1492187840,351,346
1492191667,64,66
1492195500,115,120
1492199344,277,281
1492203161,127,122
1492207034,64,66
1492210956,122,122
1492214711,211,214
1492218573,115,117
1492222406,257,260
1492226503,202,196
1492230308,241,242
1492234274,132,135
1492237987,218,212
1492241849,70,79
1492245660,384,372
1492249481,69,70
1492253351,317,315
1492257194,184,185
1492261021,61,64
1492264946,254,251
1492268959,117,117
1492272785,62,61
1492276611,74,442
1492280463,139,0
1492284277,221,0
1492288136,113,109
1492292173,97,115
1492296041,103,92
1492299867,157,151
1492303714,106,102
1492307564,158,157
1492311739,175,177
1492315496,165,164
1492327296,374,378
