DateTime,AddedIPs,RemovedIPs
1490043719,6,5
1490047739,8,8
1490051825,9,10
1490055663,6,9
1490059517,10,10
1490063383,5,10
1490067195,6,6
1490071025,15,11
1490074850,13,16
1490078722,7,3
1490082549,11,7
1490086372,13,8
1490090225,13,13
1490094116,11,13
1490098169,5,9
1490101976,0,3
1490105830,6,7
1490109653,11,9
1490113523,10,10
1490117330,7,7
1490121173,7,5
1490125025,9,6
1490128836,11,13
1490132739,10,6
1490136553,7,7
1490140375,4,5
1490144227,8,10
1490148141,4,4
1490151898,3,3
1490155724,6,5
1490159564,5,4
1490163398,6,8
1490167271,7,6
1490171091,5,1
1490174931,6,7
1490178772,8,8
1490182611,7,5
1490186466,6,8
1490190294,7,4
1490194156,3,7
1490197975,7,6
1490201826,5,4
1490205724,5,9
1490209922,8,3
1490213806,6,5
1490217660,6,4
1490221486,3,5
1490225338,6,5
1490229182,5,5
1490233013,7,8
1490236846,6,6
1490240699,3,2
1490244546,6,6
1490248379,4,4
1490252211,1,0
1490256127,7,8
1490259894,7,10
1490263745,2,3
1490267583,3,5
1490271428,7,8
1490275247,5,7
1490282929,10,10
1490286778,6,6
1490290646,7,8
1490306002,29,27
1490309795,12,9
1490313737,12,14
1490317502,10,13
1490321357,9,7
1490329023,19,14
1490332861,3,3
1490336711,6,4
1490340539,6,8
1490348225,10,19
1490352053,3,5
1490355895,11,12
1490360008,11,12
1490363821,18,12
1490367725,11,13
1490371749,12,11
1490375597,11,17
1490379323,11,14
1490383012,11,9
1490386866,2,6
1490390695,8,6
1490394530,8,6
1490398370,14,8
1490402224,10,5
1490406056,10,5
1490409892,15,8
1490413753,5,5
1490417568,7,8
1490421423,4,3
1490425350,4,5
1490429099,15,11
1490432949,11,6
1490436768,6,10
1490440612,4,7
1490444464,11,5
1490448297,8,7
1490452125,7,6
1490455972,10,13
1490459842,9,7
1490463899,9,10
1490467746,9,12
1490471901,7,3
1490475769,11,8
1490479512,7,6
1490483357,7,6
1490487182,13,12
1490491016,7,8
1490494875,7,10
1490498712,13,12
1490502555,10,8
1490506675,10,9
1490510464,14,11
1490514311,10,6
1490518150,13,9
1490521999,9,6
1490525813,6,10
1490529757,8,6
1490533499,13,14
1490537361,9,11
1490541185,3,5
1490545173,8,11
1490548859,4,6
1490552698,5,7
1490556577,9,7
1490560393,11,15
1490564256,5,5
1490568046,14,13
1490571899,10,8
1490575758,8,4
1490579594,5,4
1490583404,8,8
1490587344,5,6
1490591339,6,6
1490595177,8,4
1490599004,4,3
1490602846,11,12
1490606687,6,6
1490610518,6,5
1490614382,7,7
1490618235,6,10
1490625876,12,13
1490629770,2,1
1490633580,2,3
1490637405,14,9
1490641337,7,14
1490645351,9,10
1490649185,8,14
1490652991,10,10
1490656848,10,14
1490660698,8,13
1490664544,9,14
1490668399,7,11
1490672222,8,5
1490676045,6,6
1490679896,6,7
1490683731,4,8
1490687579,8,8
1490699098,17,23
1490702949,2,2
1490706769,10,10
1490710609,7,5
1490714470,8,9
1490718297,3,11
1490722149,4,14
1490741344,31,44
1490745186,11,11
1490752915,10,16
1490756702,10,4
1490760598,0,2
1490764376,3,2
1490772046,18,15
1490791264,39,39
1490802776,20,23
1490806622,14,14
1490810559,10,9
1490814298,10,12
1490818159,12,8
1490821997,9,9
1490825831,13,11
1490829659,18,10
1490833496,10,8
1490837341,13,10
1490841189,8,5
1490845035,15,5
1490848880,25,13
1490852679,6,7
1490856580,7,3
1490860403,7,9
1490864226,9,10
1490868132,11,8
1490871907,4,11
1490875760,11,16
1490879590,15,17
1490883424,8,7
1490887584,5,5
1490891385,11,8
1490899028,20,25
1490902864,12,8
1490906830,10,12
1490910574,7,5
1490914423,7,6
1490918235,8,5
1490922137,15,16
1490925908,7,9
1490929734,8,12
1490933571,12,11
1490937416,11,13
1490941277,13,15
1490945096,11,9
1490948949,12,13
1490952780,15,20
1490956617,11,16
1490960464,3,3
1490964308,8,9
1490968158,5,6
1490972025,7,7
1490975954,10,8
1490979750,8,8
1490983754,16,16
1490987590,9,10
1490991445,15,16
1490999092,12,13
1491002954,15,10
1491010610,10,13
1491022121,24,24
1491029817,14,15
1491037751,16,15
1491056939,37,56
1491076394,42,50
1491084320,19,15
1491099669,24,31
1491103471,6,7
1491107354,5,7
1491119101,23,20
1491122952,13,15
1491126792,3,2
1491130628,7,6
1491134546,7,15
1491138611,10,11
1491142397,8,7
1491146284,9,15
1491150070,3,5
1491153899,4,5
1491157646,6,6
1491161336,1,2
1491165185,6,7
1491169014,6,3
1491172860,10,12
1491176692,3,5
1491184360,5,5
1491188208,8,4
1491192120,6,6
1491196156,3,0
1491199985,7,5
1491203808,10,8
1491207660,12,8
1491211487,7,13
1491215362,6,7
1491219206,7,9
1491223009,4,6
1491226880,13,10
1491230706,8,11
1491234536,7,9
1491238392,6,9
1491242089,10,12
1491245849,12,10
1491249759,6,7
1491253508,7,6
1491257345,10,10
1491261193,8,8
1491265035,10,6
1491268868,16,9
1491272691,19,10
1491276544,7,2
1491280394,6,4
1491284243,8,8
1491288067,11,8
1491291895,16,15
1491295747,12,12
1491299583,2,7
1491303420,11,12
1491307382,16,16
1491311365,12,9
1491315504,12,8
1491319279,14,18
1491323109,5,5
1491326937,10,8
1491330800,12,17
1491461820,76,83
1491465740,7,9
1491469748,14,10
1491473581,11,10
1491477433,10,12
1491481273,9,11
1491485088,6,8
1491488957,4,4
1491492805,10,5
1491496630,16,9
1491500495,11,12
1491504291,21,15
1491508151,12,12
1491511972,10,6
1491515821,9,5
1491531189,22,23
1491535030,5,7
1491538848,5,4
1491542690,7,5
1491546568,7,5
1491550397,7,5
1491554282,9,6
1491558146,6,5
1491561934,7,5
1491565817,3,5
1491569771,11,9
1491573521,8,7
1491577335,9,11
1491581516,7,10
1491585206,2,5
1491589042,8,11
1491592869,6,6
1491596689,8,7
1491600805,17,11
1491604618,5,6
1491608482,1,3
1491612291,5,4
1491616140,6,5
1491619982,6,2
1491623815,3,6
1491627757,5,5
1491631493,2,0
1491635353,4,1
