DateTime,AddedIPs,RemovedIPs
1489115583,0,2
1489119435,1,0
1489123288,1,1
1489130950,0,1
1489134773,1,0
1489138621,0,2
1489142478,3,1
1489146303,1,0
1489150162,2,1
1489154000,0,4
1489157831,3,0
1489161756,2,1
1489165504,7,2
1489169350,3,2
1489173193,5,8
1489177021,0,2
1489180875,2,1
1489184684,3,2
1489188539,1,1
1489192393,2,2
1489196220,3,1
1489200038,0,2
1489203902,3,1
1489207738,0,2
1489211589,0,2
1489215442,1,1
1489219352,0,1
1489223094,2,1
1489226941,3,2
1489230793,0,1
1489234606,2,1
1489238476,1,4
1489242304,0,2
1489246156,7,6
1489249994,0,1
1489253834,2,4
1489257656,1,4
1489261498,2,6
1489265286,2,0
1489269177,2,2
1489273011,0,3
1489280964,1,0
1489284808,0,2
1489288609,2,1
1489292487,0,1
1489303963,1,0
1489307818,3,1
1489311692,18,0
1489315499,2,0
1489319337,1,6
1489323190,5,0
1489327020,1,3
1489330926,2,2
1489334705,1,1
1489338567,1,3
1489342381,3,0
1489346511,1,6
1489350341,3,1
1489354139,2,4
1489357973,1,2
1489361827,1,0
1489365650,1,0
1489369533,0,3
1489373347,1,0
1489388695,1,0
1489396423,1,1
1489400265,1,2
1489404100,0,2
1489407907,0,1
1489411761,2,1
1489415610,1,0
1489419432,0,1
1489423287,3,1
1489427100,0,1
1489430957,0,1
1489434827,5,5
1489438626,2,1
1489442584,0,1
1489446340,0,2
1489450164,2,0
1489454010,0,1
1489457876,1,2
1489461678,0,2
1489465493,2,2
1489469366,0,1
1489473228,1,0
1489477056,0,3
1489484721,2,0
1489492397,2,0
1489496251,0,1
1489500220,1,1
1489503920,1,4
1489507787,2,2
1489511599,1,1
1489515435,3,2
1489519305,1,3
1489523145,3,0
1489527022,2,1
1489530832,2,2
1489534657,3,0
1489538504,1,4
1489542323,1,0
1489546172,1,1
1489553857,0,2
1489557796,2,0
1489561541,1,1
1489565348,0,2
1489569202,3,1
1489573060,2,2
1489576930,0,1
1489580817,0,2
1489584847,0,3
1489588668,1,1
1489596339,4,2
1489604028,0,1
1489607832,3,1
1489611850,1,0
1489615576,2,0
1489623187,0,1
1489627050,1,0
1489630842,0,29
1489634672,6,0
1489638509,2,0
1489642382,3,0
1489646210,1,0
1489653865,1,0
1489657732,3,0
1489669333,1,0
1489684863,4,0
1489688694,2,0
1489692562,3,0
1489700203,3,0
1489731429,2,0
1489735251,0,1
1489742969,0,2
1489750639,1,0
1489754445,0,2
1489758278,1,2
1489762157,1,0
1489765973,1,1
1489770295,2,0
1489774136,1,1
1489777980,1,3
1489781806,1,0
1489785662,0,4
1489789740,1,0
1489812792,0,2
1489816616,3,0
1489820548,2,0
1489832221,5,0
1489843732,1,0
1489851421,0,1
1489855267,3,0
1489859094,0,2
1489862919,3,0
1489866787,1,0
1489870616,2,1
1489874569,0,1
1489878553,1,1
1489882395,1,3
1489890093,1,3
1489897745,1,0
1489901599,1,0
1489905445,2,0
1489909299,0,1
1489928536,0,2
1489932380,0,3
1489936190,0,2
1489939985,1,1
1489943831,2,0
1489947669,2,2
1489951496,1,0
1489955348,1,6
1489959176,1,0
1489963014,0,1
1489974540,1,0
1489982217,1,0
1489986145,1,1
1489993743,0,1
1490001440,2,0
1490009121,1,2
1490012941,0,1
1490024454,0,1
1490032140,3,0
1490039838,2,1
1490047741,1,0
1490051829,1,0
1490063387,2,0
1490067199,1,0
1490078726,1,0
1490086376,0,1
1490090230,1,0
1490094119,1,0
1490113526,2,0
1490121178,1,0
1490125027,5,0
1490128838,1,0
1490132742,0,1
1490140378,1,2
1490144230,1,0
1490148143,0,3
1490167274,3,0
1490171094,1,0
1490178776,2,0
1490190297,0,1
1490201829,2,0
1490205726,1,0
1490209924,2,0
1490213808,0,1
1490221488,2,0
1490225341,0,1
1490229185,2,0
1490233015,1,0
1490244548,1,0
1490271432,1,0
1490275248,1,0
1490282931,2,0
1490286781,1,0
1490306005,5,1
1490340541,0,1
1490348227,14,7
1490352054,3,20
1490355898,4,29
1490360010,1,5
1490363823,0,1
1490367728,1,0
1490371753,0,2
1490375600,1,2
1490379329,1,3
1490386869,3,1
1490390699,0,1
1490398373,1,0
1490402228,1,0
1490406059,2,0
1490409895,0,1
1490413757,1,0
1490417570,1,1
1490421426,1,0
1490425353,2,0
1490429103,0,3
1490432953,3,1
1490436771,0,2
1490440615,1,3
1490444467,2,2
1490448300,0,3
1490452127,3,2
1490455975,1,1
1490459845,1,1
1490463902,5,4
1490467749,3,2
1490471905,5,1
1490475771,2,4
1490479515,1,2
1490483359,3,4
1490487184,6,2
1490491021,2,1
1490494878,2,3
1490498719,2,0
1490502558,0,3
1490506680,1,0
1490510470,2,3
1490514316,3,1
1490518152,2,1
1490522002,0,1
1490525815,1,1
1490529761,1,1
1490533503,2,3
1490537364,1,7
1490541187,2,2
1490545176,1,1
1490548863,3,4
1490552701,1,1
1490556580,4,3
1490560397,1,4
1490564260,1,2
1490568049,0,2
1490571901,3,0
1490575760,1,1
1490579596,0,1
1490583406,2,1
1490587346,3,1
1490591342,0,1
1490595179,1,3
1490599007,1,0
1490602848,4,2
1490606689,0,2
1490610521,1,0
1490625881,2,7
1490629772,1,1
1490633583,3,3
1490637408,2,0
1490641340,1,1
1490645354,6,0
1490649187,0,3
1490652993,1,0
1490656850,1,0
1490660701,3,1
1490676048,1,1
1490679901,1,0
1490687582,1,0
1490699101,3,2
1490706771,2,0
1490714473,1,0
1490718299,3,1
1490722151,6,1
1490741346,6,1
1490752918,1,1
1490756705,2,0
1490764379,2,1
1490772048,1,2
1490791267,12,3
1490802778,0,4
1490806625,2,1
1490810569,1,2
1490818162,2,0
1490845038,1,0
1490852681,0,1
1490856583,1,0
1490868135,1,0
1490887587,1,1
1490891390,2,0
1490902868,3,2
1490925911,2,0
1490933573,1,1
1490937420,1,0
1490941280,0,2
1490956620,1,0
1490960466,1,0
1490964311,0,1
1490968161,2,0
1490972030,2,0
1490975957,2,0
1490979752,1,0
1490983756,2,0
1490987594,1,1
1490991447,5,2
1490999095,1,0
1491002957,1,1
1491010613,1,0
1491022123,2,0
1491029819,1,0
1491037753,1,2
1491056942,2,17
1491076396,9,6
1491084322,2,0
1491099672,1,4
1491103475,1,0
1491107357,1,2
1491119104,0,2
1491122959,1,2
1491126797,0,1
1491130631,1,0
1491134548,2,3
1491142400,1,1
1491146286,1,3
1491150073,3,1
1491153902,1,0
1491157652,2,0
1491161339,2,0
1491165188,3,0
1491169017,1,0
1491172863,1,0
1491176694,1,1
1491184364,1,0
1491192123,2,0
1491196160,1,1
1491199991,0,1
1491203811,2,0
1491207663,1,0
1491211490,1,0
1491215365,1,0
1491223012,0,1
1491230710,1,3
1491238397,0,1
1491242093,2,0
1491245851,2,1
1491257349,1,0
1491265040,0,2
1491276549,0,1
1491280399,0,1
1491284249,1,2
1491291899,1,0
1491311369,0,1
1491315508,1,0
1491323112,3,1
1491326944,2,0
1491330806,2,0
1491462100,17,6
1491465875,1,1
1491477436,1,2
1491481277,0,4
1491496632,2,1
1491500504,3,1
1491508154,3,0
1491511975,2,0
1491515824,0,3
1491531191,0,12
1491535033,1,0
1491538850,0,2
1491542693,0,1
1491546572,1,2
1491558163,0,2
1491561943,0,1
1491569802,0,3
1491573533,0,2
1491577338,1,0
1491581519,1,4
1491589045,2,1
1491592871,4,5
1491596693,0,3
1491600808,0,3
1491604621,3,1
1491608489,2,0
1491612294,2,0
1491616144,2,0
1491619985,0,1
1491623818,1,1
1491643018,2,2
1491647064,1,0
1491677695,10,13
1491681412,2,0
1491689114,2,0
1491700877,1,0
1491708817,0,1
1491732127,1,0
1491736165,1,2
1491740018,1,0
1491743836,2,2
1491755337,2,1
1491759193,1,1
1491771195,1,0
1491798106,1,0
1491801903,1,0
1491805745,1,1
1491813416,0,1
1491817296,1,0
1491825216,2,0
1491829063,0,2
1491833028,2,0
1491836706,1,0
1491844395,2,0
1491848259,0,1
1491852167,1,0
1491855917,1,0
1491863873,0,1
1491871507,1,0
1491883049,0,1
1491890707,2,1
1491898371,0,2
1491906070,0,1
1491909915,2,2
1491913777,0,1
1491917577,0,1
1491921443,0,1
1491929364,2,0
1491937073,3,1
1491948805,1,1
1491952617,1,0
1491964423,0,1
1491972090,1,2
1491975905,0,2
1491979780,0,2
1491987434,0,3
1491995359,0,1
1492014581,3,1
1492029895,2,1
1492033769,0,2
1492037584,1,1
1492056781,1,1
1492060627,1,1
1492068308,1,0
1492072176,0,1
1492075997,1,1
1492102969,2,0
1492106713,1,0
1492118237,3,2
1492125894,2,0
1492145151,0,1
1492149196,1,0
1492153061,1,0
1492156959,1,3
1492191674,0,1
1492195507,2,1
1492199355,1,1
1492203166,0,1
1492207046,1,1
1492218580,1,0
1492222416,2,3
1492226518,1,1
1492230315,1,3
1492237994,1,0
1492241858,1,0
1492249488,0,1
1492257200,0,1
1492264954,1,0
1492276613,0,70
1492280465,5,0
1492284279,3,0
1492288140,6,0
1492292175,2,0
