DateTime,AddedIPs,RemovedIPs
1489966382,3,4
1489969981,6,5
1489973581,4,5
1489977181,12,11
1489980781,8,7
1489984381,8,7
1489987981,6,5
1489991581,8,7
1489995182,7,4
1489998782,7,9
1490002381,7,6
1490005981,5,8
1490009582,1,3
1490013181,3,4
1490016781,6,8
1490020381,7,7
1490023981,11,9
1490027581,10,11
1490031181,7,7
1490034781,6,4
1490038381,6,6
1490041981,7,7
1490045581,2,4
1490049181,7,4
1490052781,8,7
1490056381,6,5
1490059981,5,4
1490063581,7,7
1490067181,5,7
1490070781,5,5
1490074381,5,8
1490077981,4,9
1490081581,7,8
1490085182,2,4
1490088781,6,5
1490092381,4,1
1490095981,10,7
1490099581,12,10
1490103181,8,6
1490106781,8,7
1490110381,8,7
1490113981,7,7
1490117582,9,12
1490121181,1,0
1490124781,4,4
1490128381,2,6
1490131981,8,6
1490135582,10,9
1490139181,7,7
1490142781,9,7
1490146381,5,7
1490149981,12,9
1490153581,7,8
1490157181,4,3
1490164381,10,9
1490167981,12,11
1490171582,12,12
1490175181,6,8
1490178781,4,7
1490182381,5,6
1490185981,6,7
1490189581,9,9
1490193181,1,3
1490196781,5,4
1490200381,6,8
1490203981,11,7
1490207581,7,8
1490211181,7,8
1490214781,7,6
1490218381,11,9
1490221981,8,7
1490225581,3,3
1490229181,6,7
1490232781,6,5
1490236381,5,6
1490239982,7,9
1490243581,6,6
1490247181,13,12
1490250781,7,7
1490254381,9,5
1490257981,7,8
1490261581,6,9
1490265181,5,3
1490268781,6,7
1490272381,3,4
1490275981,8,8
1490279582,7,6
1490283181,11,16
1490286781,5,3
1490290381,11,8
1490293981,11,11
1490297581,6,3
1490301181,8,8
1490304782,9,8
1490308381,7,9
1490311981,4,5
1490315581,3,3
1490319181,6,7
1490322781,8,13
1490326381,3,4
1490329981,10,8
1490333582,3,3
1490337182,8,5
1490340781,12,8
1490344381,3,1
1490347981,4,6
1490351581,5,7
1490355181,11,12
1490358781,8,11
1490362381,8,7
1490365981,5,8
1490369581,5,6
1490373181,6,4
1490376781,8,9
1490380381,5,7
1490383981,2,0
1490387581,4,3
1490391181,8,8
1490394781,8,9
1490398381,6,5
1490401981,9,9
1490405581,7,6
1490409181,5,4
1490412781,5,7
1490416381,1,1
1490419981,6,3
1490423581,6,6
1490427182,8,8
1490430782,7,5
1490434381,7,9
1490437981,4,5
1490441581,12,10
1490445181,6,7
1490448781,6,11
1490452381,2,4
1490455982,3,3
1490459581,8,9
1490463181,8,4
1490466781,5,6
1490470381,9,2
1490473981,4,6
1490477582,12,10
1490481181,11,10
1490484781,2,2
1490488381,13,14
1490491981,5,4
1490495582,2,3
1490499181,5,5
1490502782,5,5
1490506381,10,14
1490509981,5,6
1490513581,6,5
1490517181,12,8
1490520781,8,7
1490524382,3,5
1490527981,6,6
1490531581,7,10
1490535181,3,3
1490538781,5,6
1490542381,8,9
1490545981,7,7
1490549581,7,7
1490553181,9,7
1490556781,10,11
1490560381,10,9
1490563981,9,7
1490567581,4,4
1490571181,4,4
1490574782,5,6
1490578381,7,8
1490581981,10,9
1490585581,6,4
1490589181,7,10
1490592781,11,7
1490596381,6,6
1490599981,3,7
1490603581,5,4
1490607182,3,4
1490610781,2,5
1490614381,7,4
1490617981,11,13
1490621581,8,12
1490625181,6,6
1490628781,9,8
1490632381,4,2
1490635981,7,9
1490639581,7,3
1490643181,3,4
1490646781,24,20
1490650381,2,3
1490657581,4,3
1490661181,8,8
1490668381,14,15
1490671981,5,3
1490679181,7,4
1490682781,7,5
1490689981,16,16
1490693582,3,3
1490697181,6,5
1490704381,9,12
1490707981,9,8
1490715181,12,11
1490718781,9,4
1490725981,19,19
1490729581,12,11
1490736781,13,14
1490740381,7,6
1490747581,14,14
1490751181,8,10
1490758381,6,4
1490761982,9,6
1490769181,11,13
1490772781,7,10
1490779981,10,11
1490783581,7,5
1490790781,7,9
1490794381,4,6
1490801582,5,6
1490805182,10,8
1490812381,4,8
1490815981,12,6
1490823182,10,12
1490826781,9,9
1490833981,4,6
1490837582,7,7
1490844781,12,9
1490848381,11,11
1490855581,10,9
1490859182,5,6
1490866381,8,9
1490869982,12,11
1490877181,7,6
1490880781,9,12
1490887981,8,9
1490891581,5,4
1490898781,8,9
1490902381,7,6
1490909581,13,14
1490913182,8,8
1490920381,10,9
1490923982,11,13
1490931181,10,9
1490934781,9,8
1490941981,11,8
1490945581,12,14
1490952781,10,6
1490956382,7,8
1490963581,15,16
1490967181,6,4
1490974381,3,4
1490977981,5,7
1490985181,18,15
1490988781,7,7
1490995981,3,4
1490999581,7,7
1491006781,6,6
1491010382,4,8
1491017581,8,7
1491024781,7,8
1491028381,8,7
1491035581,2,3
1491039181,9,8
1491046382,8,9
1491049981,3,2
1491057181,4,4
1491060781,11,11
1491067981,12,10
1491071581,4,3
1491078781,11,11
1491082381,7,5
1491089581,10,10
1491096781,4,6
1491100381,3,3
1491107581,14,13
1491114782,10,7
1491118382,6,4
1491125582,10,11
1491129181,6,8
1491136381,9,15
1491139982,2,3
1491147181,9,8
1491150781,5,6
1491157981,7,7
1491161582,4,2
1491168781,12,10
1491172382,8,7
1491179581,15,9
1491183181,5,7
1491190381,7,6
1491197581,17,18
1491201181,14,17
1491208381,4,4
1491211982,7,7
1491219181,8,10
1491222781,6,7
1491229981,4,4
1491233581,10,9
1491240782,10,10
1491244381,18,18
1491251581,3,3
1491255181,5,5
1491262381,11,13
1491265981,12,15
